word_english,imagine_mean,imagine_sd,concrete_mean,conrete_sd,aoa_mean,aoa_sd,familiar_mean,familiar_sd,meaningfulness_mean,meaningfulness_sd
match,6,1.25,6.13,1.17,2.5,0.81,5.55,1.16,5.9,2.51
medal,5.34,1.34,6,1.48,3.35,0.76,3.82,1.46,5.45,2.36
mercy,2.58,1.56,2.07,1.21,4.1,0.94,3.67,1.19,3.17,2.13
midge,4.6,1.72,5.88,1.58,3.25,1.09,2.85,1.33,4.95,2.16
mince,6.08,1.04,6.05,1.32,2.27,0.63,4.5,1.53,4.85,1.68
miner,5.68,1.21,4.07,1.42,3.47,1,3.92,1.46,6.65,2.01
mirth,3.84,2.02,3.22,1.77,5,1,3.02,1.13,4.72,2.13
mixer,5.32,1.76,5.35,1.68,3.2,1.03,3.7,1.42,3.93,1.68
month,3.12,1.9,3.97,1.99,2.5,0.74,5.85,1.06,5.7,2.78
mouth,6.38,1.07,6.38,1.07,1.4,0.49,6.15,1.04,6.29,1.75
nymph,4,1.74,3.7,1.58,5.13,1.36,2.38,0.91,5.25,1.44
odium,1.34,0.89,2.5,1.53,6.9,0.3,1.52,0.71,0.44,0.87
opera,5.54,1.47,5.63,1.22,4.45,0.97,3.52,1.38,4.59,2.15
opium,3.1,1.84,5.32,1.62,6.35,0.73,2.65,1.17,4.62,1.97
orbit,4.4,1.8,3.92,1.63,4.7,1.1,3.47,1.45,5.4,1.85
ounce,2.96,1.93,4.67,1.72,3.47,0.81,4.1,1.5,5.6,2.5
ovary,4.2,2.03,5.42,1.74,6.4,0.73,2.7,1.14,3.93,2
panic,3.98,1.58,3.1,1.59,4.13,0.98,4.4,1.45,5.35,1.62
perch,5.34,1.62,5.63,1.51,3.45,1.02,3.1,1.28,5.55,1.28
pilot,5.72,1.31,6.45,1.02,2.92,0.79,3.6,1.37,5.15,1.82
pitch,5.3,1.63,5.25,1.41,3.85,1.24,4.6,1.26,6.05,1.8
pivot,3.74,1.79,4.57,1.82,5.45,1.12,3,1.3,7.31,2.37
plank,5.78,1.33,6.42,1.05,2.57,0.63,4.5,1.52,4.65,1.85
plant,5.88,1.26,6.22,1.05,2.22,0.61,5.25,1.22,5.62,2.25
pluck,2.98,1.73,3.65,1.89,4.35,1.22,3.07,1.08,4.33,1.81
plume,5.36,1.38,5.55,1.55,4.77,1.11,2.57,1.02,4.9,1.77
porch,5.46,1.42,4.07,1.23,2.97,1.13,3.5,1.12,4.78,1.64
prank,3.04,1.67,3.32,1.47,4,1.1,3.52,1.38,5.55,1.63
prawn,5.48,1.57,6.15,1.35,4.8,1.12,3.22,1.33,5.34,2.32
prize,4.98,1.52,5.55,1.24,2.32,0.47,4.55,1.45,4.4,1.32
prune,5.48,1.79,6.13,1.42,2.7,0.78,3.05,1.26,4.9,1.66
pylon,5.86,1.27,6.38,1.04,3.95,0.89,3.57,1.28,5.6,1.74
query,2.16,1.51,3,1.66,5.17,0.95,3.82,1.36,3.52,1.53
quilt,5.9,0.98,6.1,1.14,2.88,1.31,4.63,1.43,5.37,2.33
ranch,5.14,1.36,5.75,1.53,3.57,1.07,2.65,0.85,5.15,1.82
rhyme,3.38,2.01,3.97,1.81,2.57,1,4.02,1.27,3.72,1.82
