word_dutch,translate_word_english,familiar_mean,familiar_sd,familiar_n,category,goodness_mean,goodness_sd,goodness_n,typicality_mean,typicality_sd,typicality_n,dont_know_responses,n_know_item,imagine_mean,imagine_sd,log(lemmaFreq),age of acquisition,% known
bijl,axe,2.857142857,0.890870806,28,tools,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.857142857,0.890870806,28,tools,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,26,,,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,26,,,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
