word_english,length_english,length_finnish,familiar_mean_finnish,familiar_sd_finnish,valence_mean_finnish,valence_sd_finnish,emotionalcharge_mean_finnish,emotionalcharge_sd_finnish,offensiveness_mean_finnish,offensiveness_sd_finnish,concrete_mean_finnish,concrete_sd_finnish
cancer,6,5,3.03,2.49,0.81,0.87,5.16,2.66,1.32,1.9,2,2.4
car,3,4,7.26,2.09,5.53,1.82,2.22,2.18,0.23,0.3,0.36,0.83
cell,4,4,2,1.97,4.25,1.6,0.89,1.26,0.36,0.72,1.77,2.33
chair,5,5,5.91,2.57,4.86,1.34,0.94,1.25,0.23,0.26,0.37,0.83
cock,4,5,3.19,2.8,2.24,2.08,2.56,2.67,5.46,2.91,0.92,1.61
column,6,6,1.78,1.71,4.13,1.42,0.79,1.05,0.37,0.75,0.48,0.95
comfort,7,8,4.28,2.39,7.58,1.23,4.65,2.82,0.3,0.73,4.81,2.69
computer,8,10,6.77,2.16,5.02,1.81,1.48,1.85,0.27,0.34,0.33,0.51
confidence,10,9,4.1,2.47,7.5,1.46,5.55,2.68,0.34,0.7,6.09,2.45
content,7,7,2.93,2.25,4.47,1.24,1.05,1.54,0.34,0.73,3.43,2.73
core,4,4,2.12,2.02,3.88,1.61,0.99,1.26,0.34,0.6,2.52,2.55
corner,6,6,2.99,2.49,3.85,1.43,0.81,1.04,0.37,0.7,0.56,1.15
corridor,8,7,4.29,2.64,4.32,1.27,0.91,1.16,0.25,0.45,0.52,1.02
cottage,7,5,4.11,2.47,6.13,1.64,2.75,2.56,0.31,0.65,0.36,0.55
crap,4,6,1.5,1.82,1.35,1.46,1.5,2.05,4.28,2.9,1.18,1.7
crime,5,5,3.52,2.42,1.31,1.25,3.81,2.64,1.21,1.79,2.61,2.48
cunt,4,5,3.37,2.91,2.07,2.12,2.81,2.94,5.85,2.93,0.93,1.69
damn,4,5,2.56,2.45,2.38,1.55,2.01,2.2,1.57,2,5.2,2.84
danger,6,5,3.37,2.35,1.63,1.53,4.32,2.71,0.64,1.27,4.04,2.58
death,5,7,3.85,2.53,0.97,1.16,6.57,2.55,1.54,2.08,3.97,3.08
debt,4,5,3.62,2.47,1.81,1.42,2.75,2.42,1.05,1.75,2.52,2.61
depression,10,8,3.65,2.6,0.89,0.88,4.99,2.95,1.24,1.77,5.18,2.61
desire,6,4,4.44,2.42,5.89,1.9,5.48,2.88,1.1,1.59,5.32,2.57
destruction,11,4,2.25,2,1.16,1.07,4.36,2.57,1.28,1.95,3.58,2.75
dick,4,6,3.09,2.83,1.41,1.33,2.77,2.62,6.22,2.52,1.88,2.35
disappointment,14,8,3.18,2.34,1.41,1.24,5.18,2.78,1.06,1.79,5.39,2.58
discomfort,10,5,3.11,2.29,1.9,1.45,2.6,2.16,0.9,1.43,3.55,2.64
doctor,6,7,4.26,2.48,5.15,1.82,2.37,2.02,0.34,0.83,0.49,0.94
door,4,3,5.98,2.66,4.78,1.34,0.79,0.99,0.29,0.55,0.35,0.6
dream,5,3,6.29,2.24,7.1,1.7,4.1,2.74,0.29,0.53,3.98,2.97
elevator,8,5,3.33,2.47,4.67,1.5,0.88,1.34,0.24,0.32,0.4,0.69
engine,6,8,3.83,2.55,4.6,1.38,1.2,1.58,0.26,0.45,0.48,0.91
enjoyment,9,8,3.75,2.49,7.46,1.34,6.48,2.47,0.68,1.15,4.96,2.84
exercise,8,8,5.96,2.34,6.75,1.83,3.32,2.71,0.31,0.53,2.17,2.39
fabric,6,6,3.3,2.43,4.69,1.41,1.02,1.45,0.27,0.52,0.36,0.55
faggot,6,6,3.11,2.83,1.44,1.49,3.23,2.84,6.59,2.38,2.62,2.5
family,6,5,5.9,2.45,7.82,1.38,6.53,2.43,0.21,0.23,1.15,1.66
fart,4,5,3.7,2.76,2.42,1.79,1.87,2.13,3.24,2.61,1.55,2.31
father,6,3,6.86,2.44,7.35,1.86,6.3,2.82,0.19,0.19,0.75,1.53
fear,4,5,3.92,2.44,1.56,1.22,5.64,2.84,0.83,1.45,5.63,2.59
field,5,6,3.46,2.45,4.57,1.32,0.97,1.44,0.28,0.5,0.69,1.13
filth,5,6,1.64,1.79,1.3,1.12,2.28,2.38,3.41,2.62,2.99,2.57
flag,4,5,3.37,2.45,5.04,1.43,1.72,2.02,0.26,0.43,0.41,0.74
food,4,5,7.57,1.88,6.98,1.69,3.43,2.73,0.26,0.48,0.46,1
fragrance,9,6,4.02,2.4,6.64,1.68,4.01,2.81,0.31,0.63,2.8,2.85
fraud,5,5,2.21,1.97,0.95,0.99,4.87,2.68,1.99,2.6,4.16,2.78
freedom,7,6,3.58,2.48,7.47,1.48,5.32,2.57,0.28,0.43,6.08,2.67
friend,6,6,6.27,2.47,8.08,1.32,6.59,2.36,0.23,0.38,1.86,2.31
fuck,4,5,6.79,2.81,2.04,1.98,3.74,3.17,6.05,2.81,2.44,2.71
funeral,7,11,2.31,2.07,1.28,1.3,5.93,2.7,1.03,1.55,1.45,2.04
gift,4,5,3.82,2.41,7.05,1.64,3.73,2.74,0.23,0.31,1.04,1.59
git,3,7,2.91,2.4,1.92,1.44,2.66,2.27,3.71,2.7,3.5,2.75
glass,5,4,5.85,2.67,4.73,1.39,1.12,1.5,0.25,0.41,0.33,0.41
glory,5,6,2.56,2.08,6.18,1.96,4.36,2.79,0.35,0.59,5.79,2.61
grave,5,5,2.37,2.19,1.76,1.71,4.03,2.76,1,1.57,0.82,1.36
grief,5,5,2.9,2.26,1.3,1.12,4.82,2.8,0.95,1.79,5.09,2.82
guilt,5,10,2.65,2.11,1.66,1.51,5.13,2.69,1.11,1.7,5.53,2.59
habit,5,4,3.91,2.59,4.35,1.4,1.3,1.55,0.67,1.38,4.25,2.77
hammer,6,6,2.48,2.17,4.23,1.32,0.75,0.97,0.28,0.46,0.27,0.34
hate,4,4,4.2,2.5,1.24,1.36,6.52,2.51,1.5,2.01,5.46,2.85
hell,4,8,5.31,2.78,1.27,1.36,4.37,2.84,3.91,2.97,5.81,2.9
holiday,7,4,6.24,2.29,7.65,1.69,5.04,2.71,0.22,0.27,2.65,2.69
honesty,7,11,4,2.37,7.51,1.63,5.46,2.5,0.39,0.82,6.06,2.46
honey,5,6,2.32,2.18,5.44,1.72,1.56,1.97,0.28,0.5,0.6,1.31
hope,4,5,3.49,2.29,7.34,1.53,5.34,2.62,0.25,0.38,6.32,2.41
horror,6,5,3.11,2.33,1.85,1.54,5.09,2.98,0.74,1.22,5.43,2.62
hospital,8,8,3.75,2.57,3.93,2.19,3.28,2.37,0.45,0.86,0.45,0.83
hostage,7,11,1.68,1.77,1.12,1.15,3.89,2.81,1.12,1.68,1.08,1.61
house,5,4,5.4,2.58,5.75,1.71,1.97,2.26,0.25,0.33,0.32,0.4
illness,7,7,4.11,2.47,1.19,1.08,4.82,2.63,1.15,1.78,2.72,2.58
improvement,11,8,2.33,1.98,6.88,1.75,3.9,2.67,0.32,0.55,4.48,2.81
industry,8,10,3.02,2.42,3.83,1.77,1.03,1.22,0.36,0.68,1.96,2.43
inhabitant,10,6,3.44,2.46,4.66,1.23,1.04,1.29,0.25,0.34,0.76,1.3
injury,6,5,2.76,2.17,1.6,1.33,3.1,2.57,1.87,2.26,1.57,1.92
insult,6,8,3,2.22,1.4,1.37,4.65,2.87,1.67,2.34,4.96,2.67
intercourse,11,7,2.99,2.49,5.89,2.09,5.22,3,2.29,2.59,1.33,2.13
jelly,5,8,1.67,1.75,4.12,1.67,0.92,1.27,0.53,1.14,0.5,0.78
joke,4,5,5.49,2.46,6.65,1.63,3.27,2.48,0.61,1,3.06,2.68
joy,3,3,4.95,2.4,8,1.2,6.03,2.6,0.28,0.52,5.27,2.84
justice,7,6,3.24,2.29,6.42,1.71,3.68,2.64,0.41,0.79,5.15,2.72
kettle,6,5,2.72,2.32,4.48,1.26,0.88,1.2,0.4,0.77,0.41,0.88
kiss,4,8,4.39,2.7,8.01,1.31,7.2,2.13,0.41,0.71,1.15,1.7
laughter,8,5,5.89,2.32,7.7,1.38,5.78,2.58,0.43,1.06,2.62,2.72
lawn,4,8,3.91,2.37,5.59,1.73,1.51,1.84,0.26,0.48,0.46,1.09
leader,6,7,3.49,2.54,4.37,1.5,1.79,2.07,0.38,0.6,1.21,1.84
length,6,6,4.38,2.5,4.81,1.44,1.35,1.65,0.63,1.14,1.72,2.31
level,5,4,2.5,2.08,4.24,1.43,1.03,1.29,0.35,0.75,2.92,2.77
life,4,5,5.77,2.46,7.33,1.65,5.42,2.87,0.28,0.44,4.93,3.09
loneliness,10,11,3.38,2.44,1.47,1.51,5.44,2.8,1.19,1.79,5.59,2.66
loser,5,7,2.84,2.23,2.14,1.4,3.67,2.54,2.13,2.2,2.72,2.36
loss,4,7,2.57,2.09,1.28,1.39,5.61,2.77,0.85,1.47,4.94,2.77
loyalty,7,11,3.53,2.38,7.47,1.66,5.86,2.71,0.35,0.79,6.11,2.49
machine,7,4,4.96,2.66,4.48,1.51,0.98,1.24,0.3,0.53,0.48,0.94
malice,6,6,2.93,2.26,1.22,1.08,4.47,2.81,1.82,2.3,5.36,2.75
medicine,8,5,4.52,2.49,5.16,2.1,2.37,2.18,0.47,0.85,0.64,0.98
milk,4,5,6.63,2.41,5.82,1.9,1.5,1.82,0.28,0.61,0.39,0.67
miracle,7,4,3.98,2.59,6.37,1.9,4.5,2.78,0.36,0.76,5.72,2.62
misery,6,7,2.23,2,1.1,0.98,4.3,2.78,1.01,1.5,5.08,2.59
moment,6,5,4.41,2.71,5.21,1.43,2.4,2.67,0.24,0.42,5.53,2.81
money,5,4,7.11,2.12,5.84,1.94,3.18,2.59,0.61,1.12,0.66,1.17
mosquito,8,6,2.68,2.3,2.2,1.69,1.98,2.43,0.68,1.34,0.39,0.71
mother,6,4,7.7,1.93,8.06,1.27,6.94,2.43,0.18,0.19,0.8,1.44
murderer,8,8,2.61,2.28,0.7,0.8,5.01,2.76,2.88,2.81,1.37,1.75
mushroom,8,5,2.52,2.32,4.05,1.63,0.96,1.23,0.64,1.18,0.41,0.69
music,5,8,7.19,2.13,7.39,1.59,5.57,2.8,0.25,0.37,2.58,2.66
nature,6,6,4.19,2.45,6.52,1.9,3.88,2.7,0.28,0.51,1.81,2.31
nightmare,9,11,3.51,2.3,1.43,1.13,4.75,2.66,0.97,1.62,4.29,2.98
nob,3,5,2.73,2.7,2.13,1.93,2.39,2.53,5.2,3.07,0.89,1.67
office,6,8,2.76,2.2,4.17,1.44,0.89,1.23,0.26,0.36,0.71,1.27
opinion,7,9,4.87,2.6,5.62,1.45,4.07,2.72,0.43,0.78,5.13,2.78
pain,4,4,4.37,2.51,1.36,1.24,4.77,2.66,0.73,1.32,3.16,2.8
part,4,3,3.72,2.7,4.23,1.28,0.78,1.03,0.35,0.54,2.76,2.6
peace,5,5,3.63,2.39,7.43,1.69,4.7,2.89,0.3,0.75,5.32,2.82
perfection,10,12,3.6,2.5,5.08,2.3,3.95,2.49,0.67,1.14,6.43,2.48
phase,5,5,3,2.3,4.25,1.39,1.06,1.46,0.39,0.82,4.73,3.04
pillow,6,5,5.07,2.72,6.4,1.7,2.03,2.26,0.27,0.6,0.35,0.65
piss,4,4,4.29,3.03,2.09,1.54,1.75,2.05,3.94,2.82,0.68,1.18
poison,6,6,2.22,2.04,1.32,1.27,2.38,2.2,1,1.7,1.1,1.56
pollution,9,6,2.84,2.41,1.39,1.21,2.22,2.19,1.2,1.82,2.01,2.29
poverty,7,7,3.45,2.4,1.18,1.09,4.5,2.67,1.74,2.22,4.13,2.74
prick,5,7,4.67,3.03,1.27,1.18,3.71,3.02,6.84,1.98,3.82,2.98
privacy,7,11,3.37,2.36,5.44,1.9,3.79,2.58,0.47,0.87,5.08,2.81
profit,6,6,2.19,1.96,5.26,1.76,1.38,1.68,0.43,0.84,2.76,2.57
punishment,10,10,3.03,2.3,2.16,1.9,3.9,2.61,1.05,1.79,3.03,2.44
pus,3,5,0.63,0.97,1.78,1.64,1.17,1.68,2.7,2.83,1.77,2.19
pussy,5,6,1.88,2.3,2.66,2.21,2.33,2.58,4.73,3.02,0.9,1.51
quarrel,7,5,4.46,2.53,1.28,1.13,5.3,2.73,1.24,1.82,3.21,2.86
rage,4,5,2.69,2.13,1.6,1.35,5.54,2.94,1.29,1.76,5.27,2.54
rape,4,8,2.51,2.26,0.42,0.51,6.15,2.57,3.82,3.06,1.99,2.47
reality,7,11,3.38,2.39,5.15,1.59,3.38,2.65,0.38,0.77,6.01,2.65
respect,7,10,3.14,2.23,6.96,1.7,5.01,2.52,0.32,0.86,5.77,2.64
reward,6,7,2.74,2.14,6.33,1.91,2.51,2.24,0.47,0.9,1.73,1.99
ridicule,8,6,2.02,1.86,1.32,1.25,3.82,2.58,1.81,2.38,4.35,2.75
route,5,6,3.21,2.3,4.46,1.39,0.82,1.07,0.27,0.36,1.86,2.21
scrotum,7,8,2.45,2.37,3.8,1.84,2.07,2.16,3.05,2.99,0.5,1.18
security,8,12,3.89,2.42,7.11,1.76,4.55,2.81,0.25,0.3,5.42,2.62
selfishness,11,9,3.05,2.27,1.57,1.44,4.37,2.61,2.04,2.38,5.81,2.43
shag,4,4,3.85,2.9,3.74,2.57,3.77,2.94,5,2.87,1.97,2.36
shit,4,5,6,2.76,1.96,1.47,2.39,2.51,4.74,2.66,1.06,1.67
sister,6,5,5.6,2.8,7.41,1.63,5.42,2.95,0.24,0.41,0.78,1.48
size,4,4,4.66,2.7,4.45,1.32,1.55,1.96,0.84,1.5,2.8,2.65
slapper,7,5,1.96,2.38,1.03,1.07,3.14,3.03,6.65,2.51,2.39,2.42
slaughter,9,9,1.56,1.66,1.04,1.14,4.34,2.83,2.35,2.49,1.79,2.24
slime,5,4,2.22,1.91,2.02,1.51,1.53,2.01,1.7,2.11,0.82,1.38
slut,4,5,2.46,2.64,0.99,1.28,3.84,3.12,7.16,2.35,2.77,2.53
snake,5,6,2.64,2.21,2.25,1.71,2.52,2.53,0.83,1.46,0.44,0.94
snow,4,4,5.03,2.49,5.01,1.92,2.25,2.25,0.28,0.51,0.61,1.02
spider,6,9,3.15,2.38,2.7,1.86,2.81,2.7,0.61,1.1,0.39,0.69
sport,5,7,5.84,2.56,6.33,1.97,3.23,2.93,0.28,0.46,2.13,2.4
spray,5,6,2.39,2.12,4.14,1.55,0.92,1.13,0.33,0.61,1.01,1.56
square,6,5,1.74,1.69,4.31,1.37,0.98,1.32,0.3,0.55,1.16,1.82
statue,6,6,2.24,2.07,4.5,1.3,0.89,1.14,0.42,1.02,0.41,0.62
stench,6,6,1.68,1.69,1.49,1.25,2.43,2.34,3.26,2.55,2.29,2.44
street,6,4,4.56,2.66,4.5,1.36,0.96,1.19,0.25,0.33,0.45,0.86
suicide,7,9,2.64,2.45,0.61,0.8,6.27,2.61,2.32,2.39,2.33,2.66
swamp,5,3,2.03,2.07,3.82,1.69,0.99,1.29,0.39,0.84,0.77,1.32
table,5,5,5.7,2.68,4.87,1.34,0.75,0.98,0.23,0.33,0.29,0.43
thrill,6,6,2.74,2.05,7.05,1.59,5.22,2.7,0.27,0.4,5.08,2.75
time,4,4,6.48,2.28,4.5,1.5,2.01,2.1,0.3,0.49,5.88,3.02
tit,3,5,4.01,2.78,4.23,2.35,2.74,2.56,3.53,2.97,0.54,1.12
torture,7,7,2.02,1.91,0.69,0.96,5.51,2.77,2.36,2.49,2.79,2.62
trash,5,5,4.97,2.57,2.38,1.61,1.47,1.95,1.11,1.89,0.5,0.73
truth,5,6,4.27,2.41,6.83,1.84,4.92,2.87,0.55,1.1,5.78,2.75
tumour,6,7,2.11,2.05,0.95,1.2,4.02,2.85,1.05,1.56,1.31,1.94
turd,4,6,1.04,1.72,2.17,1.74,0.94,1.44,3.12,2.77,2.24,2.43
twat,4,5,4.36,2.78,1.7,1.31,3.22,2.56,5.23,2.59,3.83,2.84
unit,4,7,2.23,2.18,4.06,1.49,0.85,1.14,0.28,0.46,2.82,2.8
urine,5,6,1.41,1.62,2.56,1.78,1.24,1.77,2.27,2.46,0.61,1.08
vehicle,7,10,2.83,2.31,5.24,1.61,1.43,1.77,0.23,0.28,0.41,0.6
vomit,5,8,2.88,2.31,1.26,1.58,2.64,2.62,2.19,2.38,0.72,1.39
wanker,6,6,2.29,2.65,1.16,1.16,2.54,2.83,6.62,2.49,3.37,2.82
war,3,4,3.75,2.7,1.05,1.54,5.52,2.68,1.23,2.19,1.84,2.16
warmth,6,5,4.8,2.56,7.1,1.52,4.14,2.9,0.22,0.26,2.8,2.72
water,5,4,6.85,2.3,6.62,1.78,1.74,2.11,0.22,0.31,0.66,1.38
wealth,6,11,2.75,2.18,4.62,2.42,2.65,2.3,0.83,1.34,4.31,2.74
whore,5,5,3.68,2.97,0.88,1.13,4.1,3.12,7.5,2.02,2.64,2.55
wine,4,5,3.58,2.7,5.13,1.83,2.47,2.26,0.38,0.76,0.43,0.84
wound,5,5,3.74,2.48,2.24,1.4,2.42,2.14,0.55,1.2,0.66,1.16
