word_english,length_english,length_finnish,familiar_mean_finnish,familiar_sd_finnish,valence_mean_finnish,valence_sd_finnish,emotionalcharge_mean_finnish,emotionalcharge_sd_finnish,offensiveness_mean_finnish,offensiveness_sd_finnish,concrete_mean_finnish,concrete_sd_finnish
abuse,5,7,1.42,1.45,1.33,1.17,3.81,2.7,1.95,2.48,4.51,2.79
acceptance,10,10,2.9,2.22,6.82,1.69,4.51,2.55,0.38,0.67,5.74,2.48
accident,8,11,3.36,2.39,1.11,1.15,5.41,2.53,0.87,1.5,2.37,2.48
ache,4,5,3.97,2.55,1.65,1.37,3.78,2.78,0.54,1.15,3.1,2.73
achievement,11,8,3.3,2.24,6.65,1.75,3.77,2.74,0.35,0.82,4.48,2.69
adventure,9,9,2.73,1.95,6.26,1.73,3.91,2.62,0.29,0.45,3.75,2.74
affection,9,7,3.36,2.46,7.93,1.41,6.11,2.73,0.24,0.3,4.91,2.62
agony,5,5,3.19,2.42,1.02,1.27,5.49,2.82,1.08,1.58,5.24,2.88
agreement,9,7,2.84,2.11,6.79,1.9,4.45,2.8,0.27,0.43,4.58,2.86
alley,5,4,2.47,2.18,4.05,1.42,1.13,1.45,0.3,0.65,0.58,1.07
anger,5,6,3.17,2.26,2.07,1.53,4.67,2.99,0.95,1.44,5.12,2.65
anxiety,7,8,3.21,2.45,1.02,0.95,5.48,2.78,1.19,1.84,5.95,2.42
appliance,9,5,3.39,2.42,4.29,1.44,0.77,0.98,0.32,0.72,0.61,1.11
army,4,7,4.34,2.67,4.08,1.96,3.24,2.55,0.43,0.96,1.03,1.65
arse,4,5,5.62,2.77,2.89,1.97,2.44,2.52,4.29,2.73,0.71,1.24
art,3,5,3.73,2.62,5.72,1.99,3.16,2.74,0.28,0.49,3.5,2.88
asshole,7,8,1.49,1.94,1.26,1.12,2.53,2.71,5.92,2.41,3.32,2.88
baby,4,5,4.49,2.67,7.13,1.67,5.44,2.81,0.55,1.39,0.51,1.05
barrel,6,7,1.69,1.78,4.12,1.54,0.89,1.34,0.78,1.4,0.34,0.45
bastard,7,5,1.47,1.87,1.5,1.54,2.87,2.67,5.81,2.54,2.77,2.73
beauty,6,7,5.04,2.44,6.96,1.67,4.59,2.69,0.41,0.84,5.1,3.01
bed,3,5,6.38,2.38,6.55,1.88,3.29,2.76,0.48,0.94,0.32,0.4
beer,4,4,4.78,2.8,4.77,2.36,3.18,2.6,0.78,1.44,0.4,0.73
bint,4,4,2.33,2.53,2.37,1.75,2.01,2.29,4.19,2.69,3.67,2.88
bitch,5,7,2.1,2.38,1.26,1.38,3.52,2.93,6.21,2.67,2.41,2.61
bliss,5,4,4.24,2.49,8.03,1.37,6.11,2.66,0.24,0.33,6.08,2.79
blossom,7,9,1.45,1.61,6.38,1.78,2.82,2.39,0.27,0.33,4.82,2.66
book,4,5,6.31,2.63,5.38,1.75,2.11,2.46,0.25,0.46,0.4,0.89
bowl,4,5,2.99,2.25,4.5,1.24,0.83,1.25,0.24,0.32,0.31,0.5
bread,5,5,6.54,2.48,6.2,1.78,1.65,2,0.22,0.28,0.37,0.7
brother,7,4,5.65,2.79,7.18,1.72,5.25,2.96,0.25,0.43,0.77,1.48
cabinet,7,6,1.47,1.91,4.59,1.72,1.07,1.46,0.51,1,0.67,1.2
