word_spanish,translate_word_english,typicality,familiarity,aoa_mean,imagine_mean,lexical_availability_mean,frequency,length,type
abeja,bee,4.28,3.56,4.48,6.76,7.672,4,3,animals
águila,eagle,4.84,3.24,5.24,6.8,19.365,15,3,animals
araña,spider,3.96,4.16,4.12,6.92,12.969,8,3,animals
ardilla,squirrel,4.28,2.56,5.24,6.84,5.977,21,3,animals
avestruz,ostrich,3.68,1.92,6.72,6.76,7.158,4,3,animals
avispa,wasp,3.6,3.64,4.48,6.88,4.123,1,3,animals
ballena,whale,5,3,5.08,6.84,11.232,4,3,animals
buey,ox,4.4,2.04,5.56,6.32,3.278,6,1,animals
búho,owl,3.92,2.64,5.4,6.8,6.917,12,2,animals
buitre,vulture,3.6,2.92,6.24,6.64,8.827,2,2,animals
burro,donkey,5.56,4.28,3.72,6.92,23.995,17,2,animals
caballo,horse,6.48,4.2,3.64,7,34.723,93,3,animals
cabra,goat,5.32,3.64,3.88,6.96,12.242,10,2,animals
calamar,squid,2.48,3.4,5.64,6.24,6.51,1,3,animals
camello,camel,4.2,2.84,5.68,6.8,2.916,4,3,animals
canario,canary,4.24,3.4,4.96,6.68,15.616,7,3,animals
cangrejo,crab,3.28,2.88,4.96,6.56,2.777,2,3,animals
canguro,kangaroo,3.92,2.48,5.96,6.84,3.801,1,3,animals
cebra,zebra,4.32,2.84,6.04,6.84,6.838,3,2,animals
cerdo,pig,6.48,5.28,3.76,6.88,17.991,17,2,animals
ciervo,deer,4.92,3.08,4.98,6.84,11.601,4,2,animals
cigüeña,stork,4.6,3.84,4.82,6.64,2.644,5,3,animals
cocodrilo,crocodile,4.2,2.36,5.16,6.76,7.753,6,4,animals
codorniz,quail,3.12,2.8,7.44,5.44,5.091,2,3,animals
colibrí,hummingbird,2.32,1.68,9.48,5.16,4.832,0,3,animals
colorín,goldfinch,1.88,1.68,7.56,4.32,4.516,1,3,animals
conejo,rabbit,6.12,4.2,3.54,6.84,30.302,9,3,animals
cordero,lamb,5.76,4.28,3.84,6.8,7.306,14,3,animals
cucaracha,cockroach,2.8,3.2,4.56,6.84,3.545,2,4,animals
cuervo,crow,3.56,2.76,4.88,6.64,10.398,4,2,animals
culebra,snake,3.84,3.24,4.68,6.84,7.098,1,3,animals
