word_dutch,translate_word_english,origin,aoa_mean,aoa_sd,aoa_unknown,arousal_mean,arousal_sd,arousal_unknown,concrete_mean,concrete_sd,concrete_unknown,dominance_mean,dominance_sd,dominance_unknown,familiar_mean,familiar_sd,familiar_unknown,imagine_mean,imagine_sd,imagine_unknown,valence_mean,valence_sd,valence_unknown,length,syllables,bigram,neighbors,freq_celex,freq_subtlex,instrength,betweenness
afgrijselijk,horrible,De Deyne et al. (2014),10.00,2.47,0,4.30,2.13,0,3.80,1.20,0,4.75,1.92,0,3.35,1.87,0,5.05,1.47,0,1.90,1.29,0,12,4,81514,0,255,156,0.21651427,1.8256E-05
afhankelijk,dependent,van Loon - Vervoorn (1985),9.65,2.16,0,3.40,1.31,0,4.90,1.45,0,2.70,1.03,0,4.85,1.09,0,3.65,1.66,0,3.45,1.05,0,11,4,78917,0,3065,453,0.892312151,0.000240152
afschuwelijk,awful,De Deyne et al. (2014),7.05,1.64,0,4.40,1.79,0,4.05,1.23,0,4.85,1.69,0,4.25,1.62,0,4.90,1.59,0,1.55,1.00,0,12,4,82476,0,1382,1243,0.892784138,0.000124697
afstandelijk,detached,De Deyne et al. (2014),9.55,2.48,0,2.70,1.26,0,3.35,1.35,0,3.55,1.19,0,4.65,1.60,0,3.95,1.76,0,2.10,0.97,0,12,4,112225,0,213,158,0.979010545,0.000262954
afstotelijk,revolting,De Deyne et al. (2014),9.90,1.94,0,4.00,1.56,0,4.05,1.70,0,4.65,1.53,0,3.05,1.36,0,4.50,1.99,0,1.90,1.12,0,11,4,95686,0,54,44,0.243134018,3.2288E-05
afwezig,absent,van Loon - Vervoorn (1985),7.20,1.96,0,2.40,1.39,0,4.10,1.74,0,2.60,1.39,0,5.55,1.32,0,6.00,1.49,0,2.75,0.79,0,7,3,19362,0,782,241,1.667273793,0.000291145
afzienbaar,surveyable,van Loon - Vervoorn (1985),10.45,2.54,0,3.50,0.92,0.1,3.10,1.29,0,3.88,1.27,0.15,2.60,1.57,0,3.25,1.92,0,3.60,0.94,0,10,3,88620,0,98,3,0.008368347,1.65312E-06
agressief,aggressive,De Deyne et al. (2014),8.30,1.69,0,5.95,1.15,0,5.00,1.34,0,5.75,1.45,0,5.40,1.39,0,5.60,1.47,0,2.35,1.63,0,9,3,54558,0,985,587,1.289818836,0.000268613
algemeen,public,Berrian et al. (1979),7.90,1.59,0,3.55,0.83,0,3.90,1.55,0,3.95,1.05,0,5.25,1.25,0,3.25,2.40,0,4.60,0.94,0,8,3,79200,0,10356,728,1.059640565,0.000247497
allerbest,very best,van Loon - Vervoorn (1985),6.60,2.26,0,5.50,1.43,0,3.75,2.05,0,5.60,1.31,0,3.35,1.60,0,4.95,2.14,0,5.85,0.81,0,9,3,98109,0,181,422,0.010152284,3.31927E-07
amateuristisch,amateurish,De Deyne et al. (2014),11.35,2.03,0,3.70,1.53,0,4.50,1.54,0,2.90,1.12,0,3.55,1.32,0,3.25,1.41,0,3.25,1.12,0,14,5,130438,0,55,37,0.047270384,1.02246E-05
ambitieus,ambitious,van Loon - Vervoorn (1985),11.35,2.28,0,5.85,0.88,0,4.25,1.29,0,5.85,0.81,0,3.85,1.46,0,4.90,1.83,0,5.35,0.99,0,9,3,48585,0,220,266,0.328046116,6.59297E-05
Amerikaans,american,Berrian et al. (1979),7.90,2.27,0,4.70,1.34,0,5.55,1.57,0,5.10,1.02,0,5.50,1.47,0,5.70,1.53,0,3.60,1.35,0,10,4,106132,0,5191,2,NaN,NaN
amper,only just,De Deyne et al. (2014),7.95,2.37,0,2.35,0.88,0,2.30,1.30,0,2.30,0.66,0,5.25,1.37,0,2.30,1.22,0,2.80,0.95,0,5,2,53017,3,0,0,0.483282546,7.37853E-05
angstig,terrified,van Loon - Vervoorn (1985),6.95,2.01,0,4.85,1.50,0,4.40,2.06,0,3.40,1.76,0,4.80,1.54,0,5.85,1.57,0,2.60,0.88,0,7,2,69882,0,1548,261,1.568894378,0.000137479
antiek,ancient,Berrian et al. (1979),8.70,2.81,0,2.95,1.39,0,5.15,1.42,0,3.50,1.50,0,2.75,1.16,0,5.75,1.52,0,3.60,0.99,0,6,2,58511,0,769,186,2.218007942,0.00032519
apart,apart,Berrian et al. (1979),7.55,2.19,0,3.85,1.09,0,4.50,1.93,0,3.55,1.23,0,5.00,1.41,0,3.70,1.56,0,4.05,1.10,0,5,2,22539,2,2091,915,1.987795049,0.00027409
arm,poor,van Loon - Vervoorn (1985),4.10,1.80,0,3.20,1.11,0,3.90,1.59,0,3.40,1.67,0,5.85,1.09,0,5.90,1.45,0,2.45,1.15,0,3,1,13759,7,3351,4588,10.34632036,0.002099231
armoedig,shabby,van Loon - Vervoorn (1985),8.65,1.87,0,2.70,1.26,0,3.90,1.62,0,2.75,1.41,0,2.80,1.85,0,5.90,1.17,0,2.10,0.79,0,8,3,43555,0,245,65,0.488449695,6.85884E-05
arrogant,arrogant,De Deyne et al. (2014),9.85,2.03,0,5.05,1.32,0,4.60,1.43,0,4.85,1.69,0,5.05,1.23,0,4.85,1.79,0,1.75,1.12,0,8,3,49224,0,264,543,2.728859986,0.000520295
artistiek,artistic,De Deyne et al. (2014),10.70,2.39,0,4.90,1.33,0,4.05,1.32,0,5.20,1.01,0,3.60,1.54,0,4.45,1.47,0,4.65,1.57,0,9,3,90729,0,721,208,0.687185081,8.27864E-05
asociaal,antisocial,De Deyne et al. (2014),10.30,2.41,0,2.25,1.21,0,4.10,1.37,0,3.30,1.56,0,5.35,1.46,0,4.15,1.46,0,1.80,0.83,0,8,3,33308,0,106,65,1.347884073,0.000252638
asymmetrisch,asymmetric,De Deyne et al. (2014),11.45,1.64,0,3.90,1.86,0,5.20,1.94,0,4.25,1.37,0,3.75,1.37,0,6.05,0.89,0,2.95,1.00,0,12,4,73048,0,40,12,0.012448133,4.16535E-07
avondlijk,evening,Berrian et al. (1979),11.93,2.97,0.3,3.91,1.14,0.45,3.75,1.53,0.2,4.53,1.28,0.15,1.82,1.01,0.15,3.90,1.77,0,4.88,1.41,0.15,9,3,52515,0,50,1,0.004016064,3.1891E-07
baldadig,rowdy,van Loon - Vervoorn (1985),12.93,3.03,0.25,5.50,0.67,0.4,3.47,1.55,0.25,4.89,1.27,0.55,1.71,0.77,0.15,3.06,1.81,0.2,2.88,1.31,0.2,8,3,32201,0,74,2,0.033604276,6.21549E-06
bang,afraid,van Loon - Vervoorn (1985),3.95,1.70,0,4.35,1.66,0,4.05,1.64,0,2.75,1.68,0,5.75,1.41,0,5.90,1.68,0,2.30,0.66,0,4,1,32714,14,7921,21119,9.567424959,0.001036132
bar,barren,van Loon - Vervoorn (1985),8.80,3.44,0,3.68,1.49,0.05,4.29,1.99,0.15,3.05,1.47,0.05,3.74,2.40,0.05,5.65,1.81,0,3.90,1.62,0,3,1,14841,19,725,98,1.396254656,0.000294051
barbaars,wild,Berrian et al. (1979),10.95,2.70,0,5.30,1.03,0,4.40,1.14,0,4.60,1.43,0,2.70,1.22,0,4.90,1.94,0,2.15,0.75,0,8,2,51975,0,292,153,0.102223583,2.9343E-05
bazig,overbearing,van Loon - Vervoorn (1985),6.75,2.10,0,5.40,1.27,0,4.15,1.60,0,5.95,1.15,0,3.45,1.39,0,5.10,2.07,0,2.45,1.00,0,5,2,13388,6,59,79,0.837755089,0.000130903
bebost,forested,De Deyne et al. (2014),9.16,2.61,0.05,3.47,1.74,0.15,5.39,1.42,0.1,4.17,1.38,0.1,2.25,1.02,0,6.55,1.19,0,3.75,1.33,0,6,2,35893,1,0,0,0.012833032,3.64468E-06
bebouwd,built-on,De Deyne et al. (2014),8.65,2.08,0,4.33,1.57,0.1,4.90,1.52,0,4.50,1.40,0,3.55,1.79,0,6.15,1.04,0,3.05,1.00,0,7,2,20186,1,80,3,0.024403701,2.23888E-06
bedaard,cool,Berrian et al. (1979),10.00,3.16,0,2.33,1.08,0.1,3.11,1.45,0.1,3.00,1.00,0.25,2.75,1.52,0,3.79,2.10,0.05,4.10,1.12,0,7,2,46985,4,199,4,0.087074745,5.73387E-06
bedekt,covered,Berrian et al. (1979),7.20,2.02,0,3.00,1.33,0.05,3.95,1.43,0.05,3.25,1.41,0,3.60,1.54,0,5.40,2.04,0,4.10,1.12,0,6,2,35281,1,849,1,0.226788102,7.67011E-05
bedrukt,dejected,De Deyne et al. (2014),10.00,2.03,0,3.75,1.52,0,4.15,1.63,0,3.95,1.54,0,2.95,1.19,0,5.05,1.99,0,2.50,1.40,0,7,2,22872,2,127,37,0.19863917,7.37203E-05
befaamd,famous,van Loon - Vervoorn (1985),11.30,2.36,0,4.56,1.38,0.1,3.76,1.60,0.15,4.95,1.13,0.05,2.40,0.94,0,4.10,1.94,0,4.85,1.42,0,7,2,31316,1,431,58,0.062929194,5.4833E-06
begaafd,gifted,De Deyne et al. (2014),10.10,2.55,0,4.55,1.19,0,4.25,1.74,0,5.30,1.22,0,4.05,1.23,0,3.30,1.75,0,4.75,1.45,0,7,2,34276,0,525,173,0.566854407,8.90409E-05
begrijpelijk,understandable,van Loon - Vervoorn (1985),8.05,2.09,0,3.65,1.14,0,3.90,1.41,0,3.85,0.88,0,5.55,1.05,0,3.85,1.95,0,4.85,1.04,0,12,4,91621,0,1239,240,0.345776125,4.79243E-05
beige,beige,De Deyne et al. (2014),7.80,2.28,0,2.35,1.39,0,5.90,1.33,0,2.75,1.02,0,3.30,1.22,0,6.55,0.89,0,3.40,1.05,0,5,2,37743,1,191,73,0.700583079,0.000139002
bejaard,elderly,van Loon - Vervoorn (1985),7.40,2.11,0,2.00,0.65,0,5.30,1.49,0,3.00,1.45,0,4.40,1.27,0,6.75,0.44,0,3.85,1.23,0,7,2,40344,4,288,84,1.01741567,0.000113877
beknopt,short,Berrian et al. (1979),10.75,2.17,0,3.80,1.11,0,4.45,1.28,0,3.20,1.44,0,4.05,1.57,0,3.95,1.70,0,4.00,0.97,0,7,2,23060,0,238,17,0.572122035,5.01697E-05
bekommerd,concerned,Berrian et al. (1979),10.10,2.63,0,4.55,1.32,0,3.65,1.31,0,3.68,1.20,0.05,3.10,1.71,0,4.90,1.80,0,4.10,1.37,0,9,3,77625,0,121,1,0.150611538,1.30037E-05
bekrompen,narrow,Berrian et al. (1979),10.42,2.76,0.05,2.95,1.70,0,3.32,1.67,0.05,2.70,1.08,0,3.30,1.63,0,4.25,2.34,0,2.40,1.23,0,9,3,73434,1,101,133,1.094997347,0.000240471
bekwaam,competent,De Deyne et al. (2014),10.20,1.88,0,4.20,1.40,0,3.65,1.73,0,5.00,1.08,0,4.05,1.50,0,3.60,1.88,0,4.85,1.46,0,7,2,38847,0,626,182,1.26198302,0.000117059
belachelijk,ridiculous,De Deyne et al. (2014),7.70,1.95,0,4.60,1.27,0,3.70,1.59,0,3.60,1.79,0,5.95,1.05,0,3.45,1.39,0,2.50,1.36,0,11,4,110190,0,1448,2838,1.822694104,0.000296388
belangrijk,important,Berrian et al. (1979),5.95,1.61,0,5.20,1.11,0,4.45,1.70,0,5.40,1.05,0,6.05,1.36,0,4.60,1.90,0,5.10,1.02,0,10,3,95759,0,18171,12156,10.55423719,0.001966239
belangrijker,upper,Berrian et al. (1979),6.40,2.48,0,5.10,1.07,0,3.95,2.09,0,5.25,1.59,0,5.45,1.39,0,4.20,2.07,0,5.20,1.01,0,12,4,144498,0,18171,45,NaN,NaN
belangrijkst,chief,Berrian et al. (1979),7.30,2.27,0,5.45,1.10,0,5.10,1.71,0,6.10,0.79,0,4.90,1.29,0,3.25,2.07,0,5.25,1.16,0,12,3,116119,0,18171,872,NaN,NaN
belangstellend,interested,Berrian et al. (1979),11.84,2.24,0.05,5.05,1.08,0.05,4.45,1.64,0,4.50,1.36,0,3.30,1.59,0,3.15,1.63,0,5.25,1.25,0,14,4,186917,0,119,2,0.037147092,2.66843E-06
beminnelijk,amiable,van Loon - Vervoorn (1985),10.05,2.58,0,4.56,1.29,0.1,4.00,1.49,0,4.61,1.14,0.1,3.55,1.54,0,3.95,1.73,0,5.75,0.97,0,11,4,89318,0,216,35,0.102395738,8.38603E-06
benauwd,muggy,Berrian et al. (1979),9.60,2.98,0,4.20,1.54,0,4.10,1.25,0,3.60,1.35,0,4.50,1.64,0,5.05,1.90,0,2.60,1.14,0,7,2,50086,0,350,105,1.218472088,0.000170077
bepaald,specific,van Loon - Vervoorn (1985),9.15,2.32,0,3.60,1.54,0,3.50,1.88,0,4.05,1.39,0,4.95,1.47,0,4.30,2.36,0,4.60,0.82,0,7,2,40622,1,9389,1016,0.375389274,6.15496E-05
beperkt,limited,Berrian et al. (1979),9.45,2.09,0,3.00,0.97,0,4.30,1.56,0,3.10,0.97,0,5.10,1.21,0,2.95,1.73,0,3.05,1.05,0,7,2,63368,0,2357,270,2.16433294,0.000548805
bergachtig,mountainous,De Deyne et al. (2014),7.80,1.91,0,4.80,1.70,0,5.65,1.23,0,4.80,1.20,0,2.70,0.92,0,6.60,0.60,0,3.60,1.35,0,10,3,96827,0,85,8,0.09202856,1.37066E-05
beroemd,famous,Berrian et al. (1979),5.70,1.34,0,5.45,0.94,0,5.00,1.41,0,5.35,0.75,0,5.25,1.25,0,5.85,1.66,0,4.60,1.27,0,7,2,71959,2,1353,2007,2.319682368,0.000291718
beschikbaar,available,van Loon - Vervoorn (1985),8.75,1.25,0,4.25,1.12,0,4.40,1.76,0,3.95,1.28,0,5.05,1.54,0,3.40,1.93,0,4.55,0.94,0,11,3,74481,0,2035,723,0.152208672,4.53731E-05
besmeurd,black,Berrian et al. (1979),9.53,2.12,0.05,4.53,1.31,0.05,4.75,1.59,0,3.75,1.52,0,2.90,1.29,0,5.20,1.67,0,2.50,1.00,0,8,2,38696,0,0,0,0.029744402,4.34759E-06
best,best,Berrian et al. (1979),5.20,1.91,0,5.55,1.39,0,4.10,1.83,0,5.80,1.20,0,5.60,1.19,0,3.50,2.14,0,5.95,0.76,0,4,1,34613,16,2885,13066,1.045973024,0.000322542
bestaand,living,Berrian et al. (1979),8.40,2.84,0,3.25,1.41,0,4.45,2.06,0,3.95,1.43,0,4.60,1.79,0,2.40,1.70,0,4.55,1.19,0,8,2,81014,0,1951,1,0.100759975,2.05144E-05
beter,better,van Loon - Vervoorn (1985),4.90,1.41,0,4.90,1.21,0,3.85,1.53,0,5.45,0.89,0,5.60,1.23,0,3.30,2.32,0,6.05,0.83,0,5,2,75443,9,5094,0,3.310000521,0.000612841
betrokken,concerned,De Deyne et al. (2014),8.85,1.98,0,4.50,1.43,0,3.30,1.53,0,4.85,1.14,0,4.32,1.20,0.05,2.85,1.63,0,3.85,1.60,0,9,3,76773,2,2058,181,0.454906269,0.000210279
betrouwbaar,safe,Berrian et al. (1979),8.50,2.40,0,3.65,1.42,0,5.10,1.71,0,4.70,1.17,0,5.85,0.99,0,4.00,1.69,0,6.00,0.73,0,11,3,66174,0,1104,665,1.413624164,0.000169553
betweterig,pedantic,De Deyne et al. (2014),9.80,2.28,0,4.80,1.28,0,4.55,1.32,0,4.85,1.57,0,3.65,1.57,0,4.15,1.57,0,2.20,1.15,0,10,4,108198,1,23,15,0.13677081,5.37916E-05
bevallig,pretty,Berrian et al. (1979),11.35,2.60,0,4.72,1.32,0.1,3.44,1.34,0.1,3.79,1.44,0.05,1.75,1.02,0,3.25,1.89,0,4.10,1.33,0,8,3,42149,0,103,29,0.144175556,1.27922E-05
bevreesd,apprehensive,van Loon - Vervoorn (1985),8.70,2.68,0,5.05,1.32,0,4.40,1.47,0,3.60,1.82,0,4.05,1.70,0,4.15,1.95,0,2.55,1.05,0,8,2,45666,3,195,38,0.04164908,1.37261E-05
bewolkt,clouded,van Loon - Vervoorn (1985),6.45,1.82,0,2.80,1.36,0,4.95,1.47,0,3.35,1.18,0,4.60,1.60,0,6.45,0.89,0,2.85,0.93,0,7,2,19217,2,59,64,0.307972705,2.43803E-05
bewust,aware,van Loon - Vervoorn (1985),8.85,2.18,0,4.50,1.36,0,3.60,1.60,0,4.60,1.23,0,5.70,1.13,0,3.80,2.19,0,4.75,1.07,0,6,2,30945,1,6003,862,1.140333148,0.000284022
bezet,busy,Berrian et al. (1979),6.20,2.28,0,4.20,1.51,0,5.10,1.83,0,4.50,1.36,0,4.95,1.10,0,4.80,1.77,0,3.40,1.05,0,5,2,21122,5,563,201,0.395435431,0.000107095
bezig,busy,van Loon - Vervoorn (1985),4.60,2.11,0,5.55,1.05,0,4.65,1.57,0,4.55,1.36,0,5.75,1.16,0,4.65,1.46,0,4.05,1.28,0,5,2,19105,7,7954,8602,1.131030324,0.000169204
bezitterig,possessive,De Deyne et al. (2014),9.30,2.13,0,5.30,0.86,0,4.25,1.48,0,5.40,1.14,0,3.80,1.28,0,3.80,1.94,0,2.05,1.15,0,10,4,99813,0,0,36,0.259325346,3.52103E-05
bezorgd,afraid,Berrian et al. (1979),7.55,1.50,0,4.75,1.12,0,4.35,1.23,0,3.65,1.42,0,5.25,1.16,0,5.05,1.73,0,4.15,1.57,0,7,2,23651,0,1037,1976,0.767920079,0.000127489
Bijbels,biblical,van Loon - Vervoorn (1985),7.15,2.52,0,3.00,1.26,0,4.35,2.06,0,3.40,1.54,0,1.95,1.00,0,4.20,2.44,0,3.10,0.97,0,7,2,43611,0,443,151,0.083525314,1.42663E-05
bijdehand,bright,De Deyne et al. (2014),11.75,2.51,0,4.50,1.43,0,3.60,1.47,0,4.79,1.36,0.05,3.25,1.52,0,2.90,1.52,0,3.15,1.35,0,9,3,59264,0,26,236,0.198328175,4.32351E-05
bijzonder,particular,van Loon - Vervoorn (1985),6.75,1.55,0,5.30,0.98,0,4.90,1.29,0,5.50,1.32,0,4.35,1.31,0,3.95,2.31,0,5.95,0.76,0,9,3,91367,0,10205,3719,1.338398885,0.000127339
bitsig,bitter,Berrian et al. (1979),11.38,2.45,0.2,5.14,1.46,0.3,3.67,1.61,0.1,5.38,1.36,0.2,2.25,1.02,0,4.19,2.04,0.2,2.85,1.04,0,6,2,21976,2,32,2,0.146617215,8.68216E-06
bitter,bitter,van Loon - Vervoorn (1985),8.10,2.05,0,3.55,1.47,0,4.40,1.50,0,4.30,1.34,0,3.95,1.82,0,4.60,2.21,0,2.55,1.36,0,6,2,70206,8,1784,381,1.974318247,0.000392884
bizar,bizarre,De Deyne et al. (2014),9.70,2.58,0,4.30,1.63,0,3.45,1.43,0,4.70,1.17,0,3.80,1.67,0,3.50,1.79,0,3.90,1.17,0,5,2,15065,1,334,583,0.609397407,0.000119074
blank,blank,van Loon - Vervoorn (1985),6.15,1.79,0,3.50,1.10,0,5.45,1.15,0,4.55,0.94,0,5.20,1.47,0,6.80,0.62,0,4.26,1.05,0.05,5,1,28609,5,967,3222,0.763803687,0.000142725
blauw,blue,van Loon - Vervoorn (1985),2.80,1.06,0,3.05,1.28,0,6.30,0.86,0,3.90,1.12,0,6.05,0.94,0,6.70,0.73,0,4.90,1.17,0,5,1,14761,2,5281,3589,13.15043051,0.001937573
bleek,pale,van Loon - Vervoorn (1985),6.70,1.98,0,2.60,1.27,0,5.05,1.36,0,2.90,1.07,0,4.40,1.98,0,6.50,0.89,0,2.35,0.88,0,5,1,29523,2,1447,156,1.378100285,0.000210334
blij,cheerful,van Loon - Vervoorn (1985),3.60,1.54,0,5.85,0.93,0,3.95,1.64,0,4.60,1.67,0,6.05,1.00,0,6.15,1.53,0,6.20,0.95,0,4,1,24286,3,4391,12345,13.74778076,0.000940374
blind,blind,van Loon - Vervoorn (1985),6.75,1.80,0,3.30,0.98,0,6.35,1.09,0,3.15,1.18,0,5.25,1.55,0,5.45,1.54,0,2.05,0.76,0,5,1,43485,2,1207,1957,1.490277161,0.00026901
bloedig,bloody,van Loon - Vervoorn (1985),7.95,2.46,0,5.41,0.80,0.15,4.50,1.67,0,4.74,1.28,0.05,3.89,1.64,0.1,5.30,1.78,0,2.25,0.97,0,7,2,34622,1,336,120,0.01254076,6.35216E-06
bloedrood,blood-red,van Loon - Vervoorn (1985),7.45,2.21,0,5.00,1.29,0.05,5.55,1.82,0,5.45,1.28,0,2.10,1.29,0,6.40,1.23,0,3.15,0.93,0,9,2,46968,0,147,20,0.030540073,4.04169E-06
blond,blond,van Loon - Vervoorn (1985),6.45,2.11,0,4.20,1.32,0,6.35,1.27,0,3.70,1.38,0,5.25,1.48,0,6.80,0.52,0,4.35,1.42,0,5,1,30121,2,1291,999,2.491479218,0.00028477
bloot,bare,van Loon - Vervoorn (1985),5.05,1.43,0,4.65,1.50,0,5.75,1.41,0,3.70,1.45,0,5.10,1.45,0,6.40,1.05,0,4.80,1.15,0,5,1,21547,4,2435,775,2.217076344,0.000220224
blut,flat,Berrian et al. (1979),9.75,2.15,0,3.20,1.24,0,6.05,1.15,0,2.45,1.23,0,4.75,1.80,0,4.80,1.51,0,1.90,0.79,0,4,1,6543,5,46,546,0.457809568,6.12502E-05
bol,round,van Loon - Vervoorn (1985),6.10,2.31,0,3.35,1.27,0,5.05,1.85,0,3.85,1.04,0,4.10,1.80,0,6.00,1.62,0,4.11,1.76,0.05,3,1,9521,31,553,111,2.798469617,0.000702269
bont,multicoloured,van Loon - Vervoorn (1985),8.90,3.32,0,3.30,1.63,0,4.10,1.80,0,4.16,1.50,0.05,2.55,1.23,0,5.40,1.64,0,2.75,1.25,0,4,1,23841,13,673,156,0.987698691,0.000246664
boos,angry,van Loon - Vervoorn (1985),3.95,1.93,0,5.45,1.36,0,4.60,1.23,0,5.85,0.75,0,5.45,1.36,0,6.05,1.19,0,1.90,0.64,0,4,1,17365,24,2204,5300,10.39628411,0.00124815
bot,blunt,van Loon - Vervoorn (1985),8.15,2.70,0,3.05,1.50,0,3.60,1.50,0,3.35,1.79,0,3.45,1.96,0,5.40,1.54,0,2.60,0.88,0,3,1,7454,25,320,162,1.915525032,0.00033178
bovengenoemd,above-mentioned,van Loon - Vervoorn (1985),11.35,2.64,0,3.89,1.24,0.05,5.53,1.31,0.05,4.26,1.73,0.05,2.65,1.84,0,2.25,1.71,0,4.16,1.17,0.05,12,4,130206,0,558,2,NaN,NaN
