word_dutch,translate_word_english,origin,aoa_mean,aoa_sd,aoa_unknown,arousal_mean,arousal_sd,arousal_unknown,concrete_mean,concrete_sd,concrete_unknown,dominance_mean,dominance_sd,dominance_unknown,familiar_mean,familiar_sd,familiar_unknown,imagine_mean,imagine_sd,imagine_unknown,valence_mean,valence_sd,valence_unknown,length,syllables,bigram,neighbors,freq_celex,freq_subtlex,instrength,betweenness
aandachtig,attentive,van Loon - Vervoorn (1985),7.00,1.78,0,4.90,1.55,0,4.20,1.32,0,4.05,1.19,0,5.45,1.28,0,4.85,1.90,0,4.90,1.07,0,10,3,85965,2,1136,108,0.792978115,7.74398E-05
aandrijvend,driving,Berrian et al. (1979),11.00,3.00,0.05,5.47,1.17,0.05,3.50,1.15,0,4.50,1.50,0.1,2.50,1.32,0,2.90,1.77,0,4.47,1.07,0.05,11,3,123628,0,0,0,NaN,NaN
aangenaam,pleasant,van Loon - Vervoorn (1985),7.50,2.65,0,4.05,1.43,0,3.80,1.32,0,4.40,1.14,0,5.60,1.23,0,5.00,1.78,0,6.40,0.60,0,9,3,115185,0,1215,2834,6.421265944,0.000484525
aangrijpend,evil,Berrian et al. (1979),11.25,2.45,0,5.45,1.00,0,4.20,1.74,0,5.10,1.29,0,4.85,1.18,0,4.95,1.93,0,4.45,1.36,0,11,3,122717,0,100,25,NaN,NaN
aanstaand,next,van Loon - Vervoorn (1985),10.70,3.25,0,3.95,0.83,0,3.30,1.75,0,3.55,1.32,0,2.95,1.28,0,2.45,1.00,0,4.70,1.22,0,9,2,100543,0,127,4,0.023554876,1.34723E-06
aantrekkelijk,attractive,De Deyne et al. (2014),9.20,2.55,0,4.80,1.20,0,4.00,1.49,0,5.65,0.93,0,5.25,1.33,0,5.75,1.37,0,5.10,1.80,0,13,4,119390,0,1645,1019,1.331550005,0.000140753
aanwezig,present,van Loon - Vervoorn (1985),6.95,1.64,0,5.50,1.00,0,6.00,0.97,0,5.15,1.04,0,4.90,1.41,0,3.60,2.21,0,5.30,0.86,0,8,3,46391,0,4398,1287,1.678306404,0.000285681
aanzienlijk,considerable,Berrian et al. (1979),10.35,3.33,0,4.20,1.47,0,3.30,1.53,0,5.05,1.10,0,3.55,1.36,0,3.45,2.16,0,4.60,0.94,0,11,3,109818,0,2409,189,0.072225174,8.91971E-06
aardig,nice,van Loon - Vervoorn (1985),5.00,1.38,0,4.55,1.54,0,5.05,1.36,0,4.20,1.32,0,4.70,1.98,0,4.50,1.82,0,6.05,0.83,0,6,2,42982,0,4377,10394,1.925669864,0.000192514
aards,earthly,van Loon - Vervoorn (1985),10.90,3.11,0,3.22,0.81,0.1,3.53,1.35,0.05,4.00,1.38,0,2.60,1.14,0,3.55,2.09,0,4.35,0.88,0,5,1,33690,1,1156,250,0.208543206,5.73485E-05
aarzelend,hesitant,Berrian et al. (1979),8.55,2.21,0,3.00,1.08,0,4.50,1.36,0,2.30,1.13,0,4.40,1.35,0,5.40,1.70,0,3.30,1.03,0,9,3,106646,0,0,0,0.241514124,2.43218E-05
abnormaal,abnormal,De Deyne et al. (2014),8.05,1.99,0,4.75,1.37,0,3.65,1.50,0,4.40,1.50,0,5.55,0.89,0,3.45,1.61,0,2.90,0.97,0,9,3,44266,0,446,270,0.997816588,0.000127567
absoluut,absolute,De Deyne et al. (2014),7.80,2.46,0,4.80,1.51,0,3.50,2.06,0,6.05,0.94,0,5.20,1.64,0,2.55,1.36,0,3.45,1.32,0,8,3,15177,0,3068,4472,0.638633343,0.000122478
abstract,abstract,De Deyne et al. (2014),11.23,2.74,0,4.40,1.57,0,3.55,2.28,0,3.95,1.39,0,4.55,1.32,0,4.00,2.13,0,3.95,1.28,0,8,2,42394,0,872,108,0.819215294,0.000266918
achteloos,thoughtless,van Loon - Vervoorn (1985),11.60,3.12,0,2.94,0.85,0.2,3.76,1.48,0.15,3.13,1.45,0.2,3.05,1.70,0,2.95,1.84,0.05,3.05,0.91,0.05,9,3,83217,1,597,29,0.080090671,1.70194E-05
achterbaks,underhand,De Deyne et al. (2014),10.05,2.33,0,4.30,1.59,0,4.05,1.32,0,4.70,1.72,0,4.20,1.36,0,3.50,1.50,0,1.95,1.50,0,10,3,96099,0,71,130,2.36372931,0.000283361
achterlijk,retarted,De Deyne et al. (2014),8.65,2.32,0,3.60,1.60,0,3.70,1.26,0,3.40,1.85,0,5.00,1.26,0,3.70,1.75,0,2.30,1.13,0,10,3,110992,1,260,1016,0.687471088,9.46186E-05
achtste,eight,Berrian et al. (1979),6.55,1.88,0,3.35,1.60,0,6.75,0.55,0,3.20,1.32,0,4.74,1.82,0.05,5.20,2.07,0,3.85,1.18,0,7,2,66762,0,20,0,0.102539231,4.71206E-06
actief,active,Berrian et al. (1979),7.55,2.44,0,5.95,1.36,0,5.10,1.52,0,5.55,1.10,0,5.80,1.01,0,6.20,1.40,0,5.65,0.75,0,6,2,38041,0,2622,583,2.121984051,0.000366883
actueel,actual,Berrian et al. (1979),10.70,2.11,0,5.05,0.94,0,4.55,1.32,0,4.60,1.14,0,4.90,1.65,0,4.75,1.74,0,4.60,1.10,0,7,3,40117,0,717,53,0.341996797,5.81978E-05
adembenemend,breathtaking,De Deyne et al. (2014),8.90,1.77,0,5.50,1.28,0,4.05,1.43,0,6.25,1.12,0,3.15,1.50,0,5.20,1.74,0,5.75,1.77,0,12,5,128553,0,196,109,0.229597825,3.72636E-05
afgelopen,last,van Loon - Vervoorn (1985),7.35,2.23,0,2.75,1.33,0,5.25,1.29,0,3.15,1.46,0,4.15,1.39,0,3.15,2.23,0,3.25,1.25,0,9,4,88260,0,1313,142,0.522796846,3.02248E-05
