word_spanish,translate_word_english,semantic_category,domain,aoa_subjective_mean,aoa_subjective_sd,familiar_mean,familiar_sd,manip_mean,manip_sd,typicality_mean,typicality_sd,percent_total_36,frequency_log,frequency_espal,frequency_crea,frequency_cuetosetal_2012,length,syllables,subjects
águila,eagle,Animals,Living Things,3.19,1.35,3.47,1.13,2.23,1.52,4.06,1.15,0.03,14.58,3.83,888,2.27,6,3,38
almeja,clam,Animals,Living Things,4.27,1.14,3.68,0.93,2.79,1.35,2.45,1.38,0.03,11.96,2.43,71,1.94,6,3,38
ardilla,squirrel,Animals,Living Things,3.2,1.03,3.18,1.1,1.26,0.56,3.9,1.05,0.11,13.22,2.86,128,2.5,7,3,38
asno,donkey,Animals,Living Things,3.47,1.45,3.19,1.32,1.76,1.08,4.07,0.74,0.08,11.84,3.1,257,2.03,4,2,38
babuino,baboon,Animals,Living Things,5.63,2.2,1.82,1.31,1.18,0.65,2.16,1.4,0.06,9.49,1.88,12,1.15,7,3,36
ballena,whale,Animals,Living Things,2.76,0.83,3.32,1.53,1.18,0.84,4.02,0.89,0.03,13.84,3.17,463,2.43,7,3,38
besugo,sea ​​bream,Animals,Living Things,4.44,1.54,3.1,1.36,2.33,1.34,3.05,1.3,0.03,11.36,1.96,139,0.9,6,3,38
bonito,tuna / bonito,Animals,Living Things,4.32,1.62,3.21,1.33,2.16,1.42,2.58,1.2,0.03,14.8,3.54,3429,3.59,6,3,38
borrico,donkey,Animals,Living Things,3.41,1.26,2.92,1.25,1.58,0.96,3.55,1.42,0.03,10.8,2.19,58,0,7,3,38
buey,ox,Animals,Living Things,3.6,1.33,3.25,1.21,1.55,1.11,3.71,1.03,0.14,13.59,3.45,639,1.91,4,1,38
búfalo,buffalo,Animals,Living Things,4.46,1.24,2.27,1.11,1.24,0.86,3.42,1.29,0.03,14.79,2.58,126,2.21,6,3,38
buitre,vulture,Animals,Living Things,4.27,1.39,3.26,1.05,1.26,0.53,3.57,1.1,0.03,11.86,3.18,185,1.7,6,2,38
burra,she-donkey,Animals,Living Things,2.95,0.98,3.54,1.1,1.76,0.9,3.65,1,0.03,11.66,2.9,205,1.66,5,2,38
burro,donkey,Animals,Living Things,2.24,0.94,3.86,1.38,2,0.94,4.29,0.83,0.5,13.69,3.56,962,2.6,5,2,38
caballo,horse,Animals,Living Things,2.23,1.13,4.23,1.04,2.66,1.28,4.82,0.44,0.56,15.17,4.4,7990,3.41,7,3,38
cabra,goat,Animals,Living Things,3.03,1.22,3.23,1.26,1.95,1.17,4.22,0.98,0.31,14.43,3.45,772,2.62,5,2,38
cabrito,kid,Animals,Living Things,4.09,1.41,3.01,1.23,1.87,1.22,3.47,1.13,0.03,12.03,2.52,219,0.95,7,3,38
canario,canary,Animals,Living Things,3,1.33,3.74,1.13,2.48,1.74,4,1.04,0.03,14.46,3.38,1171,1.87,7,3,38
canguro,kangaroo,Animals,Living Things,3.15,1.33,3.12,1.1,2.1,1.48,3.63,1.25,0.03,13.88,2.48,160,2.06,7,3,38
cebra,zebra,Animals,Living Things,3.23,1.26,3.42,1.07,1.24,0.53,3.9,1.05,0.03,12.94,2.59,102,1.88,5,2,38
cerdo,pork / pig,Animals,Living Things,2.17,0.76,3.82,1.03,2,1.34,4.73,0.44,0.39,14.25,3.67,2463,3.22,5,2,38
chimpancé,chimpanzee,Animals,Living Things,3.6,1.24,3.39,0.95,1.27,0.74,4.2,0.69,0.03,9.75,2.61,333,1.88,9,3,38
chirla,baby clam,Animals,Living Things,5.13,1.7,2.97,1.42,2.55,1.39,2.09,1.31,0.03,10.24,1.08,6,0,6,2,37
ciervo,deer,Animals,Living Things,3.33,1.05,3.53,0.99,1.29,0.73,4.32,0.97,0.03,13,3.06,409,2.45,6,2,38
cigüeña,stork,Animals,Living Things,2.82,1.04,3.5,1.28,1.16,0.5,3.88,0.99,0.06,12.85,3.15,138,1.51,7,3,38
cochinillo,piglet,Animals,Living Things,3.93,1.43,3.49,1.37,2.96,1.63,3.58,1.13,0.03,12.38,1.93,66,0.85,10,4,38
cocodrilo,crocodile,Animals,Living Things,2.61,1.19,3.26,1.1,2.19,1.58,4.02,1.08,0.11,13.34,2.89,302,2.14,9,4,38
codorniz,quail,Animals,Living Things,4.66,1.64,3.11,1.28,2.5,1.53,3.36,1.2,0.08,12.33,2.46,157,1.7,8,3,38
comadreja,weasel,Animals,Living Things,4.89,1.23,2.23,1.17,1.48,1.04,2.79,1.2,0.03,10.53,3.38,62,2.06,9,4,38
conejo,rabbit,Animals,Living Things,2.26,1.11,4.27,0.83,2.13,1.3,4.55,0.5,0.36,14.4,3.42,1017,2.96,6,3,38
cordero,lamb,Animals,Living Things,3.06,1.39,3.82,1.12,1.9,1.02,4.13,0.94,0.17,14.03,3.63,1137,2.6,7,3,38
coyote,coyote,Animals,Living Things,4.06,1.58,2.36,1.43,1.15,0.52,3.17,1.45,0.03,13.25,2.9,140,2.27,6,3,37
culebra,snake,Animals,Living Things,3.1,1.16,3.12,1.3,1.32,0.63,3.4,0.96,0.03,12.24,2.91,360,1.51,7,3,38
diplodoco,diplodocus,Animals,Living Things,4.48,2.85,1.38,1.4,0.84,0.57,1.7,1.34,0.03,6.33,1.34,4,0,9,4,31
elefante,elephant,Animals,Living Things,2.22,0.67,3.84,1.34,1.33,0.69,4.49,0.63,0.31,14.06,3.34,785,2.63,8,4,38
foca,seal,Animals,Living Things,2.76,1.04,3.4,1.26,2.53,1.77,4.12,1.03,0.06,12.32,2.81,125,2.02,4,2,38
gallina,hen,Animals,Living Things,2.13,1.02,3.9,1.13,2.9,1.81,4.46,0.88,0.36,13.88,3.63,1564,2.78,7,3,38
gamba,shrimp,Animals,Living Things,3.48,1.07,4.17,0.71,3.22,1.45,2.61,1.2,0.03,12.14,2.51,85,1.68,5,2,38
gato,cat,Animals,Living Things,1.62,0.5,4.63,0.67,2.33,1.23,5,0,0.69,9.77,4.07,3556,3.35,4,2,38
golondrina,swallow,Animals,Living Things,3.72,1.49,3.55,1.14,2.18,1.67,3.7,1.14,0.08,11.42,2.84,167,1.26,10,4,38
gorrión,sparrow,Animals,Living Things,3.42,1.37,3.65,1.14,1.35,0.68,3.85,0.97,0.03,9.79,3.21,141,1.57,7,2,38
