word_chinese-gsdsimp,word_zhuyin,frequency,familiar_mean,ambiguity_mean,naming_accuracy,naming_rt
圮,ㄆㄧˇ,9,3.05,1.2308,0.05,899
圯,ㄧˊ,3,2.8,1.0769,0.35,1103
地,ㄉㄜ˙,54141,5.75,3.5385,0.9,640
圳,ㄔㄡˊ,679,2.45,1.0769,0.2,1200
奸,ㄐㄧㄢ,28,4.8,1.5385,0.95,737
她,ㄊㄚ,8682,6.525,1.2308,0.9,645
妁,ㄕㄨㄛˋ,4,2.125,1.1538,0.1,1105
妃,ㄈㄟ,122,4.325,1.0769,0.85,806
妄,ㄨㄤˋ,155,4.85,2.2308,0.95,720
字,ㄗˋ,3708,6.125,2.3846,0.9,742
宅,ㄓㄞˊ,2411,5.075,1.5385,0.7,777
宇,ㄩˇ,506,5.2,2.3077,0.9,672
屹,ㄧˋ,22,3.225,1.0769,0.8,849
弛,ㄔˊ,42,3.7,1.6923,0.8,778
忖,ㄘㄨㄣˇ,10,3.375,1.3077,0.35,942
忙,ㄇㄤˊ,1405,6.15,1.6154,0.95,623
托,ㄊㄨㄛ,306,5,2.1538,1,675
扛,ㄍㄤ,44,4.6,1.3846,0.9,663
扞,ㄏㄢˋ,10,2.45,1.0769,0.4,766
扣,ㄎㄡˋ,1585,5.475,2.4615,0.8,629
扦,ㄑㄧㄢ,4,1.9,1,0.9,811
收,ㄕㄡ,14085,5.9,2.2308,0.85,702
旭,ㄒㄩˋ,385,4.5,1.6154,0.8,908
汊,ㄔㄚˋ,7,1.725,1,0.55,1157
汎,ㄈㄢˋ,25,2.875,1.4615,0.95,809
汐,ㄒㄧˋ,213,4.375,1.3077,0.95,739
汕,ㄕㄢˋ,72,2.425,1.0769,0.95,871
汜,ㄙˋ,4,2.35,1,0.55,1004
江,ㄐㄧㄤ,3304,5.425,2,0.9,655
池,ㄔˊ,1352,4.9,1.3077,1,759
肌,ㄐㄧ,206,5.475,1.6923,0.6,737
阡,ㄑㄧㄢ,2,2.825,1.0769,0.95,805
伯,ㄅㄛˊ,1796,5.45,2.0769,0.9,709
估,ㄍㄨ,3850,5.45,1.6154,0.95,638
伴,ㄅㄢˋ,590,5.575,2.6154,0.9,641
伶,ㄌㄧㄥˊ,101,4.075,1.8462,0.8,667
伸,ㄕㄣ,788,5.4,2,0.9,702
似,ㄙˋ,3804,5.55,1.4615,0.9,771
佃,ㄉㄧㄢˋ,68,2.8,1.1538,0.55,910
但,ㄉㄢˋ,32741,6.75,2.2308,1,632
佇,ㄓㄨˋ,32,3.625,1.3077,0.6,893
佈,ㄅㄨˋ,3082,5.5,2.4615,0.75,713
位,ㄨㄟˋ,24887,5.925,3.1538,0.9,628
低,ㄉㄧ,8015,5.775,2,0.85,694
住,ㄓㄨˋ,8826,6.275,1.6923,0.9,632
佑,ㄧㄡˋ,214,4.775,1.2308,0.95,668
佔,ㄓㄢˋ,3090,5.3,1.6154,0.95,731
何,ㄏㄜˊ,11176,6.075,2.0769,0.9,648
佚,ㄧˋ,8,3.6,1.0769,0.75,863
佛,ㄈㄛˊ,1158,4.875,1.3077,0.9,719
冶,ㄧㄝˇ,55,3.3,1.6154,0.4,891
冷,ㄌㄥˇ,2225,5.85,2.4615,0.9,620
判,ㄆㄢˋ,5230,5.225,1.8462,0.95,648
刨,ㄅㄠˋ,5,4.025,1.3846,0.5,907
刪,ㄕㄢ,599,5.225,1.2308,0.9,690
努,ㄋㄨˇ,1578,5.95,1.3077,0.75,635
劫,ㄐㄧㄝˊ,1197,4.6,1.8462,0.95,701
劭,ㄕㄠˋ,7,3.325,1.3846,0.8,839
匣,ㄒㄧㄚˊ,75,4.625,1.5385,0.1,992
卲,ㄕㄠˋ,14,2.65,1.1538,0.75,1000
吝,ㄌㄧㄣˋ,43,4.15,1.0769,0.9,768
吟,ㄧㄣˊ,96,4.475,1.8462,0.9,730
吩,ㄈㄣ,19,3.8,1,0.85,856
吵,ㄔㄠˇ,472,5.675,1.5385,0.95,683
吶,ㄋㄚˋ,51,4.35,1.2308,1,710
吸,ㄒㄧ,4920,5.7,1.8462,0.85,680
吻,ㄨㄣˇ,187,5.25,1.8462,0.85,588
呀,ㄧㄚ,137,5.975,1.0769,0.8,726
囫,ㄏㄨˊ,5,3.2,1,0.15,977
址,ㄓˇ,977,5.175,1.3077,0.7,738
均,ㄐㄩㄣ,10740,5.325,1.9231,0.8,734
坑,ㄎㄥ,827,4.65,2,0.85,748
壯,ㄓㄨㄤˋ,614,5.3,2.7692,1,765
妊,ㄖㄣˋ,5,3.35,1.1538,0.9,866
妍,ㄧㄢˊ,2,4.1,1.2308,1,700
妓,ㄐㄧˋ,188,4.425,1.3077,0.8,805
妖,ㄧㄠ,99,4.625,2.3077,0.95,759
妙,ㄇㄧㄠˋ,553,5.5,2.5385,0.75,651
妝,ㄓㄨㄤ,242,4.6,1.6923,0.9,639
妞,ㄋㄧㄡ,40,4.525,1.5385,0.9,711
妣,ㄅㄧˇ,2,2.425,1.0769,0.05,909
妤,ㄩˊ,5,3.875,1.3077,0.65,766
妨,ㄈㄤˊ,1672,5.55,1.6923,0.9,823
孜,ㄗ,53,3.775,1.4615,0.75,806
完,ㄨㄢˊ,10112,6.4,2.6923,1,620
宏,ㄏㄨㄥˊ,2027,5.1,1.5385,0.9,625
尬,ㄍㄚˋ,229,4.125,1.2308,0.8,762
屁,ㄆㄧˋ,84,5.6,2.0769,0.95,624
岌,ㄐㄧˊ,58,3.65,1.3077,0.9,726
岐,ㄑㄧˊ,13,3.325,1.4615,0.65,828
岑,ㄘㄣˊ,34,3.45,1.1538,0.7,789
岔,ㄔㄚˋ,30,4.675,1.8462,0.8,730
庇,ㄅㄧˋ,185,3.775,1.4615,0.45,954
序,ㄒㄩˋ,2776,5.625,2.0769,1,749
形,ㄒㄧㄥˊ,8826,5.45,2.5385,0.95,728
彷,ㄆㄤˊ,194,5.025,1.2308,0.85,710
役,ㄧˋ,1045,4.95,2.1538,0.75,719
忌,ㄐㄧˋ,334,4.575,2.3077,0.8,730
忍,ㄖㄣˇ,1051,5.8,1.8462,0.9,629
忘,ㄨㄤˋ,768,6.5,1.4615,1,587
忡,ㄔㄨㄥ,205,3.15,1.1538,0.6,935
忪,ㄓㄨㄥ,5,3.025,1.1538,0.9,856
快,ㄎㄨㄞˋ,3899,6.25,2.2308,0.95,677
忱,ㄔㄣˊ,93,4.05,1.3077,0.45,894
忸,ㄋㄧㄡˇ,2,2.875,1,0.85,791
扭,ㄋㄧㄡˇ,443,4.8,1.9231,0.95,649
扮,ㄅㄢˋ,772,5.5,1.7692,0.8,695
扯,ㄔㄜˇ,439,4.95,2.3077,0.8,672
扳,ㄅㄢ,127,4.575,1.8462,0.95,724
扶,ㄈㄨˊ,566,5.2,1.9231,0.9,665
批,ㄆㄧ,4075,4.75,2.6923,0.85,655
扼,ㄜˋ,99,4.2,1.8462,0.95,722
技,ㄐㄧˋ,7045,5.575,2.2308,0.9,740
抄,ㄔㄠ,192,5.225,1.9231,1,728
抉,ㄐㄩㄝˊ,119,4.45,1.3077,0.95,784
把,ㄅㄚˇ,6290,5.975,3.1538,0.9,671
抑,ㄧˋ,511,5.05,1.3846,0.7,814
抒,ㄕㄨ,83,5.05,1.6923,0.8,897
投,ㄊㄡˊ,16236,5.7,3.0769,0.95,617
抖,ㄉㄡˇ,121,5.35,1.6923,0.95,707
抗,ㄎㄤˋ,4878,5.4,1.5385,0.95,712
改,ㄍㄞˇ,12920,6,1.8462,0.9,666
攻,ㄍㄨㄥ,2764,5.275,2.0769,1,664
旱,ㄏㄢˋ,166,4.1,1.3077,0.85,698
杆,ㄍㄢ,43,3.925,1.4615,0.85,770
材,ㄘㄞˊ,2609,5.525,2.6154,0.9,641
村,ㄘㄨㄣ,8077,5.3,1.5385,1,620
杓,ㄅㄧㄠ,5,3.6,1.1538,0.65,811
杖,ㄓㄤˋ,42,5.15,1.6923,1,697
杞,ㄑㄧˇ,36,3.425,1.3077,0.5,907
杠,ㄍㄤ,1,2.05,1.2308,0.35,1123
汞,ㄍㄨㄥˇ,24,3.5,1,0.9,814
汪,ㄨㄤ,471,4.725,1.6923,0.9,655
汲,ㄐㄧˊ,119,3.8,1.6154,0.95,769
汶,ㄨㄣˋ,46,3.45,1.1538,0.95,740
決,ㄐㄩㄝˊ,17306,5.95,2.3077,0.85,673
汾,ㄈㄣˊ,12,3.025,1.0769,0.8,857
沃,ㄨㄛˋ,106,4.325,1.2308,0.7,788
沅,ㄩㄢˊ,11,2.95,1.1667,0.35,731
沆,ㄏㄤˋ,5,2.85,1,0.15,887
沌,ㄉㄨㄣˋ,38,4,1.0769,0.6,963
沖,ㄔㄨㄥ,655,5.275,2.6923,0.9,693
沙,ㄕㄚ,2481,5.05,3.0769,0.9,704
沚,ㄓˇ,1,2,1.0769,0.8,916
灸,ㄐㄧㄡˇ,34,3.825,1.0769,0.75,850
灼,ㄓㄨㄛˊ,80,4.025,1.6154,0.8,768
牠,ㄊㄚ,239,4.825,1.2308,0.65,689
狂,ㄎㄨㄤˊ,551,4.85,2.5385,0.85,601
玕,ㄍㄢ,3,1.675,1.0769,0.45,913
玖,ㄐㄧㄡˇ,19,3.65,1.1538,0.9,788
甸,ㄉㄧㄢˋ,94,3.55,1.6154,0.65,747
町,ㄉㄧㄥ,58,4.425,1.3077,0.3,912
疔,ㄉㄧㄥ,4,2.075,1.0769,0.65,850
盯,ㄉㄧㄥ,127,4.6,1.3077,0.85,662
究,ㄐㄧㄡˋ,6401,5.45,2.5385,0.8,715
罕,ㄏㄢˋ,374,4.825,1.3077,0.85,768
肛,ㄍㄤ,10,4.325,1.1538,1,788
肝,ㄍㄢ,348,5.375,1.6154,0.9,728
芊,ㄑㄧㄢ,8,3.675,1.1538,0.8,809
芋,ㄩ,98,4.575,1.4615,0.95,810
芒,ㄇㄤˊ,282,4.7,2.4615,0.85,700
迂,ㄩ,41,3.95,1.6923,0.85,847
迄,ㄑㄧˋ,1403,3.8,1.3077,0.85,879
迅,ㄒㄩㄣˋ,1018,5.2,1.3846,0.9,711
邢,ㄒㄧㄥˊ,44,3.425,1.0769,0.75,853
邪,ㄒㄧㄝˊ,138,4.75,1.9231,0.95,709
阨,ㄜˋ,1,2.45,1.3077,1,792
阪,ㄅㄢˇ,61,3.925,1.3077,0.85,751
阮,ㄖㄨㄢˇ,189,3.95,1.3846,0.65,817
阱,ㄐㄧㄥˇ,87,3.6,1.0769,0.7,864
防,ㄈㄤˊ,8816,5.75,2.4615,0.9,650
乳,ㄖㄨˇ,518,5.15,2.3077,1,607
些,ㄒㄧㄝ,9582,6.425,1.7692,0.8,731
佌,ㄘˇ,8,1.775,1.1538,0.3,1064
佩,ㄆㄟˋ,510,5.3,2.6154,0.95,715
佯,ㄧㄤˊ,131,3.55,1.3077,0.9,828
佰,ㄅㄞˇ,45,5.45,1.0769,0.75,723
佳,ㄐㄧㄚ,3830,5.65,1.8462,1,686
併,ㄅㄧㄥˋ,1561,4.375,1.6154,0.7,841
佻,ㄊㄧㄠ,3,3.3,1.1538,0.5,782
佼,ㄐㄧㄠˇ,56,4.525,1.2308,0.95,755
侄,ㄓˊ,44,3.7,1.4615,0.9,860
侈,ㄔˇ,53,4.175,1.2308,0.6,825
例,ㄌㄧˋ,7159,6.025,1.6923,0.85,721
侍,ㄕˋ,108,4.375,2.0769,0.8,817
侏,ㄓㄨ,10,3.925,1.4615,0.85,790
冽,ㄌㄧㄝˋ,19,3.775,1.3077,0.7,740
刮,ㄍㄨㄚ,503,4.55,2.1538,1,697
券,ㄑㄩㄢˋ,6026,4.725,1.6154,0.25,722
剁,ㄉㄨㄛˋ,17,3.85,1.2308,0.8,736
劾,ㄏㄜˊ,19,3.2,1.1538,0.4,963
味,ㄨㄟˋ,2947,5.975,2.6923,0.75,644
呵,ㄏㄜ,88,5.975,1.6923,0.85,668
呸,ㄆㄟ,4,4.8,1.2308,0.95,709
呻,ㄕㄣ,16,3.45,1,0.95,782
咀,ㄐㄩˇ,32,3.575,1.3846,0.6,892
咄,ㄉㄨㄛˋ,30,4.15,1.1538,0.5,920
咆,ㄆㄠˊ,29,3.95,1.0769,0.9,811
咋,ㄗㄜˊ,42,3.275,1.0769,0.2,1030
咐,ㄈㄨˋ,51,4.35,1.0769,0.95,737
咒,ㄓㄡˋ,80,4.575,1.7692,1,727
咕,ㄍㄨ,46,4.2,1.5385,0.9,740
咖,ㄎㄚ,374,5.125,1.0769,0.45,920
咚,ㄉㄨㄥ,32,4.25,1,0.8,761
囹,ㄌㄧㄥˊ,22,2.475,1.0769,0.9,876
固,ㄍㄨˋ,1678,5.4,2.6154,0.9,670
坡,ㄆㄛ,1442,5.475,1.7692,0.65,757
坤,ㄎㄨㄣ,1058,4.325,1.3077,0.85,781
坦,ㄊㄢˇ,1672,4.8,2.7692,0.9,674
坪,ㄆㄧㄥˊ,1304,4.975,1.6154,0.95,723
坯,ㄆㄧ,5,2.875,1.2308,0.15,782
坳,ㄠ,2,2.125,1.0769,0.6,925
坵,ㄑㄧㄡ,15,2.475,1.1538,1,762
坷,ㄎㄜˇ,42,3.55,1.0769,0.85,676
垃,ㄌㄜˋ,3986,5.525,1,0.75,719
妮,ㄋㄧˊ,223,4.425,1.1538,0.9,578
妯,ㄓㄡˊ,7,2.625,1.0769,0.45,900
妹,ㄇㄟˋ,335,5.725,2.3077,0.75,675
姆,ㄇㄨˇ,273,4.55,1.3846,0.9,619
始,ㄕˇ,5896,6.05,2.0769,0.8,700
姐,ㄐㄧㄝˇ,770,5.8,1.4615,0.9,729
姑,ㄍㄨ,422,5.025,2.2308,1,658
姒,ㄙˋ,1,1.95,1,0.7,916
姓,ㄒㄧㄥˋ,5529,5.825,1.7692,0.9,699
孤,ㄍㄨ,416,5.125,2.0769,0.8,732
宙,ㄓㄡˋ,93,4.95,1.6154,0.65,698
宜,ㄧˊ,5598,5.65,1.8462,0.95,655
岬,ㄐㄧㄚˇ,8,2.875,1,0.7,743
岱,ㄉㄞˋ,176,3.15,1.3077,0.8,721
岳,ㄩㄝˋ,388,4.95,1.9231,0.9,720
岷,ㄇㄧㄣˊ,7,2.675,1.0769,0.9,817
帑,ㄊㄤˇ,88,2.675,1,0.15,907
帕,ㄆㄚˋ,134,4.525,1.3077,0.8,711
帙,ㄓˋ,1,2.15,1.1538,0.2,889
底,ㄉㄧˇ,7044,5.825,1.4615,0.8,695
庖,ㄆㄠˊ,28,2.95,1.1538,0.45,827
府,ㄈㄨˇ,25629,4.9,2.8462,0.9,677
弦,ㄒㄧㄢˊ,197,4.325,1.6154,0.3,720
弧,ㄍㄨ,42,3.85,1.3077,0.85,678
弩,ㄋㄨˇ,38,3.5,1.3077,0.95,739
彼,ㄅㄧˇ,1142,5.425,1.4615,0.85,774
彿,ㄈㄨˊ,156,5.025,1.1538,0.75,792
往,ㄨㄤˇ,13415,5.975,2.6923,0.85,691
征,ㄓㄥ,910,4.525,1.6923,0.95,705
忠,ㄓㄨㄥ,2266,5.475,1.3846,0.95,687
忽,ㄏㄨ,1064,6.1,2.0769,1,646
忿,ㄈㄣˋ,58,4.375,1.1538,0.85,851
怏,ㄧㄤˋ,4,2.85,1.1538,0.75,841
怔,ㄓㄥ,12,3.15,1.2308,0.75,835
怕,ㄆㄚˋ,2068,5.95,1.9231,0.9,611
怖,ㄅㄨˋ,238,5.075,1.1538,0.9,688
怙,ㄏㄨˋ,8,2.85,1.1538,0.25,946
怛,ㄉㄚˊ,1,2,1.3077,0.05,901
怡,ㄧˊ,447,5.45,1.7692,0.9,779
怦,ㄆㄥ,13,3.775,1.1538,0.8,792
性,ㄒㄧㄥˋ,15537,6.1,3.3077,0.8,702
怩,ㄋㄧˊ,2,2.225,1,0.9,830
怵,ㄔㄨˋ,21,3.375,1.1538,0.5,995
戕,ㄑㄧㄤˊ,121,2.6,1.1538,0.25,933
戽,ㄏㄨˋ,2,2.55,1.2308,0.3,1061
房,ㄈㄤˊ,5007,5.65,2.3077,0.95,691
抨,ㄆㄥ,647,3.4,1.3846,0.7,814
披,ㄆㄧ,281,5.1,1.8462,0.95,742
抬,ㄊㄞˊ,635,5.175,2.3846,0.85,641
抱,ㄅㄠˋ,1411,5.325,2.6154,0.85,587
抵,ㄉㄧˇ,2304,4.6,2.0769,0.85,704
抹,ㄇㄛˋ,203,4.925,2.0769,0.9,676
押,ㄧㄚ,1725,4.775,2.0769,0.9,728
抽,ㄔㄡ,1983,5.025,2.4615,0.95,744
抿,ㄇㄧㄣˇ,4,2.925,1.2308,0.7,764
拂,ㄈㄨˊ,69,3.75,1.6923,0.8,813
拄,ㄓㄨˇ,9,2.725,1.3846,0.8,1080
拇,ㄇㄨˇ,37,4.25,1.2308,0.8,744
拈,ㄋㄧㄢˊ,27,3.55,1.4615,0.6,798
拉,ㄌㄚ,8171,5.8,2.8462,0.85,647
拌,ㄅㄢˋ,110,4.9,1.9231,1,650
拍,ㄆㄞ,2048,5.475,2.7692,0.9,625
拎,ㄌㄧㄥ,24,3.45,1.0769,0.9,822
拒,ㄐㄩˋ,2192,5.5,1.6923,0.95,685
拔,ㄅㄚˊ,869,5.025,1.9231,0.95,592
拖,ㄊㄨㄛ,1489,5.45,3.0769,0.95,652
拘,ㄐㄩ,524,4.725,1.8462,0.75,798
拙,ㄓㄨㄛˊ,84,4.925,2,0.95,856
招,ㄓㄠ,2931,5.625,2.9231,0.9,690
放,ㄈㄤˋ,10886,5.775,3.7692,0.95,612
斧,ㄈㄨˇ,118,4.2,1.1538,1,669
旺,ㄨㄤˋ,985,5.075,1.5385,0.8,634
旻,ㄇㄧㄣˊ,8,3.5,1.4615,0.45,767
昂,ㄤˊ,350,4.925,1.4615,0.85,682
昏,ㄏㄨㄣ,487,5.475,2.6923,0.9,668
杭,ㄏㄤˊ,92,3.625,1.3077,0.9,923
杼,ㄓㄨˋ,5,2.7,1.0769,0.15,946
松,ㄙㄨㄥ,2387,5.175,1.4615,1,650
板,ㄅㄢˇ,2749,5.35,2.0769,0.75,660
枇,ㄆㄧˊ,9,3.325,1,0.8,933
枉,ㄨㄤˇ,210,4.95,2.1538,0.85,735
枋,ㄈㄤ,167,3.175,1.3077,0.95,919
歧,ㄑㄧˊ,541,4.275,1.5385,0.85,825
歿,ㄇㄛˋ,5,3.375,1.2308,0.8,766
氓,ㄇㄤˊ,661,4.125,1.3077,0.65,824
氛,ㄈㄣ,835,4.875,1.2308,1,834
沫,ㄇㄛˋ,116,4.675,1.5385,0.9,705
沬,ㄇㄛ˙,1,2.225,1.2308,0.05,653
沮,ㄐㄩ,49,4.6,1.6923,0.8,793
沱,ㄊㄨㄛˊ,12,3.3,1.2308,0.95,723
河,ㄏㄜˊ,2998,5.675,1.6923,0.75,617
沸,ㄈㄟˋ,106,4.825,1.9231,0.8,860
油,ㄧㄡˊ,6862,6.025,2.1538,0.95,666
治,ㄓˋ,11379,5.625,2.5385,0.9,809
沼,ㄓㄠˇ,149,4.2,1.1538,0.85,826
沽,ㄍㄨ,24,3.475,1.3846,0.8,695
沾,ㄓㄢ,179,4.675,1.6154,0.95,745
沿,ㄧㄢˊ,1727,5.075,1.6923,0.85,700
泗,ㄙˋ,26,2.35,1.1538,0.85,888
泛,ㄈㄢˋ,554,5.325,2.6154,0.9,715
泡,ㄆㄠˋ,471,5.85,2.5385,0.85,632
波,ㄅㄛ,6117,5.5,2.5385,0.45,701
泣,ㄑㄧˋ,84,5.275,1.3846,0.95,759
注,ㄓㄨˋ,3904,5.975,3.2308,0.85,656
泮,ㄆㄢˋ,6,1.475,1,0.3,877
泯,ㄇㄧㄣˇ,33,3.3,1.0769,0.85,719
泱,ㄧㄤ,27,2.95,1.3846,0.95,869
泳,ㄩㄥˇ,822,5.3,1.9231,1,630
炒,ㄔㄠˇ,654,5.425,1.8462,0.9,760
炖,ㄉㄨㄣˋ,3,1.8,1,0.45,932
爬,ㄆㄚˊ,328,5.325,1.3077,0.9,639
爸,ㄅㄚˋ,505,6.175,1.0769,0.95,676
版,ㄅㄢˇ,1561,5.6,2.2308,1,720
物,ㄨˋ,11823,6.1,2.3077,0.95,615
狀,ㄓㄨㄤˋ,4024,5.45,3.1538,0.95,708
狎,ㄒㄧㄚˊ,3,3.275,1.3077,0.45,911
狐,ㄏㄨˊ,85,3.975,1.8462,0.9,692
狒,ㄈㄟˋ,2,4.15,1.0769,0.5,712
狗,ㄍㄡˇ,624,5.85,2,0.95,682
狙,ㄐㄩ,19,3.65,1.2308,0.65,1009
疙,ㄍㄜ,7,3.275,1.1538,0.25,878
疚,ㄐㄧㄡˋ,34,4.3,1.3077,0.95,812
疝,ㄕㄢˋ,7,3.475,1.0769,0.9,796
盂,ㄩˊ,1,3.175,1,0.75,852
盲,ㄇㄤˊ,354,4.575,1.9231,0.9,667
矽,ㄒㄧˋ,82,3.45,1.3846,0.95,783
祀,ㄙˋ,149,3.15,1.3846,0.8,951
祂,ㄊㄚ,23,3.525,1.3077,0.45,906
糾,ㄐㄧㄡ,1144,4.575,2.2308,0.8,784
股,ㄍㄨˇ,18163,5.35,3.1538,0.95,666
肢,ㄓ,319,5.45,1.6923,0.8,780
肥,ㄈㄟˊ,665,5.875,1.8462,0.85,725
肪,ㄈㄤˊ,58,5.025,1,0.9,898
芙,ㄈㄨˊ,118,3.475,1.6154,0.95,824
芥,ㄐㄧㄝˋ,57,3.525,1.6154,0.9,779
芬,ㄈㄣ,709,4.925,1.6154,0.8,619
芭,ㄅㄚ,146,4.125,1.3077,0.9,697
芮,ㄖㄨㄟˋ,39,3.125,1.0769,0.55,982
花,ㄏㄨㄚ,7454,5.9,4.3077,0.9,652
芳,ㄈㄤ,1839,5.425,2.0769,0.95,684
芷,ㄓˇ,53,3.425,1.2308,0.9,766
芸,ㄩㄣˊ,116,4.45,1.3077,0.95,665
芽,ㄧㄚˊ,138,4.9,1.5385,1,719
迎,ㄧㄥˊ,2357,5.7,1.5385,1,612
返,ㄈㄢˇ,3234,5.075,1.9231,0.9,704
邯,ㄏㄢˊ,1,2.55,1,0.35,1128
邰,ㄊㄞˊ,2,2.875,1.0769,0.85,762
邱,ㄑㄧㄡ,2325,5.35,1.3846,0.8,657
邵,ㄕㄠˋ,285,3.875,1.0769,0.8,951
邸,ㄉㄧˇ,85,3.55,1,0.8,784
阻,ㄗㄨˇ,2211,5.325,2.3077,0.9,749
陀,ㄊㄨㄛˊ,183,3.65,1.3846,0.75,788
陂,ㄆㄛ,2,2.675,1.0769,0.3,884
附,ㄈㄨˋ,4869,5.45,2,0.9,648
侮,ㄨˇ,122,4.225,1.3846,0.65,847
侵,ㄑㄧㄣ,1735,5.425,1.8462,0.85,674
侶,ㄌㄩˇ,124,5.125,1.6923,0.85,748
俊,ㄐㄩㄣˋ,2033,5.375,1.6923,0.95,750
俎,ㄗㄨˇ,28,2.625,1.1538,0.5,984
俏,ㄑㄧㄠˋ,203,4.5,1.8462,0.85,806
俐,ㄌㄧˋ,101,4.25,1.3846,0.85,704
俑,ㄩㄥˇ,30,3.175,1.3846,0.75,839
俗,ㄙㄨˊ,1373,5.7,2.7692,0.95,735
俘,ㄈㄨˊ,82,4.225,1.3846,0.95,767
俚,ㄌㄧˇ,18,3.725,1.1538,0.85,803
俟,ㄙˋ,391,3.05,1.4615,0.1,795
俠,ㄒㄧㄚˊ,194,4.775,1.9231,1,649
剃,ㄊㄧˋ,37,4.05,1.3077,0.95,720
剄,ㄐㄧㄥˇ,2,1.975,1,0.8,886
剋,ㄎㄜˋ,52,4.475,1.3846,0.75,673
剌,ㄌㄚˋ,38,4.8,1.6923,0.05,1055
勃,ㄅㄛˊ,320,4.65,2.2308,0.9,700
勇,ㄩㄥˇ,1098,5.525,1.4615,1,612
勉,ㄇㄧㄢˇ,565,5.225,2.2308,0.9,681
匍,ㄆㄨˊ,3,3.7,1.1538,0.7,739
卻,ㄑㄩㄝˋ,10712,5.975,2.3077,0.9,694
厘,ㄌㄧˊ,58,4.15,1.0769,0.8,768
咦,ㄧˊ,7,5.6,1.1538,0.85,720
咨,ㄗ,13,3.725,1.4615,0.8,877
咩,ㄇㄧㄝ,2,4.125,1,0.45,827
咪,ㄇㄧ,5,4.625,1.6923,0.85,636
咬,ㄧㄠˇ,289,5.75,1.6923,0.9,646
咳,ㄎㄜˊ,47,4.85,1.2308,0.85,768
咻,ㄒㄧㄡ,10,4.425,1.2308,0.8,777
哆,ㄉㄨㄛ,5,2.775,1.0769,0.8,885
哇,ㄨㄚ,52,6.075,1.0769,0.9,672
哉,ㄗㄞ,64,4.125,1.3846,0.9,726
垓,ㄍㄞ,2,2.775,1.2308,0.25,873
垠,ㄧㄣˊ,11,2.725,1.0769,0.35,849
垢,ㄍㄡˋ,45,3.825,1.6923,0.8,756
垣,ㄩㄢˊ,40,3.35,1.3077,0.35,807
垮,ㄎㄨㄚˇ,110,4.225,1.6154,1,813
城,ㄔㄥˊ,3323,5.1,2,1,655
奎,ㄎㄨㄟˊ,182,3.225,1.2308,0.9,714
姘,ㄆㄧㄣ,2,2.85,1.0769,0.4,759
姚,ㄧㄠˊ,323,4.525,1.0769,1,846
姝,ㄕㄨ,5,3.225,1.0769,0.45,977
姣,ㄐㄧㄠ,18,3.5,1.2308,0.8,863
姨,ㄧˊ,73,5.1,1.6154,0.9,673
姪,ㄓˊ,47,4.1,1.2308,1,847
