word_chinese-gsdsimp,word_zhuyin,frequency,familiar_mean,ambiguity_mean,naming_accuracy,naming_rt
仃,ㄉㄧㄥ,6,2.225,1.1538,0.8,899
仆,ㄆㄨ,13,3.175,1.3077,0.85,812
仍,ㄖㄥˊ,13377,5.95,1.3846,0.9,719
他,ㄊㄚ,49316,6.325,1.9231,1,596
仗,ㄓㄤˋ,209,4.725,2.2308,0.85,659
仙,ㄒㄧㄢ,617,4.85,1.6923,0.95,780
仞,ㄖㄣˋ,2,3.075,1.2308,0.95,783
仟,ㄑㄧㄢ,58,4.85,1.5385,1,735
刊,ㄎㄢ,1094,5.325,2.1538,0.85,683
功,ㄍㄨㄥ,5385,5.5,3.4615,1,611
叫,ㄐㄧㄠˋ,2001,5.95,1.6923,0.95,656
叭,ㄅㄚ,61,4.275,1.3077,0.75,722
叮,ㄉㄧㄥ,148,4.35,2.0769,0.95,644
外,ㄨㄞˋ,34478,6.175,2.8462,0.95,664
奶,ㄋㄞˇ,406,5.475,2.3846,0.9,572
孕,ㄩㄣˋ,392,4.825,1.6923,0.85,668
巧,ㄑㄧㄠˇ,1171,5.625,2.5385,0.95,697
扒,ㄆㄚˊ,85,4.275,1.7692,0.9,672
打,ㄉㄚˊ,10556,6.3,3.2308,0.8,631
扔,ㄖㄥ,41,5.05,1.1538,0.85,700
氾,ㄈㄢˋ,303,4.225,1.5385,0.9,786
汀,ㄉㄧㄥ,111,3.425,1.1538,0.1,776
犯,ㄈㄢˋ,6075,5.475,2.3077,0.85,691
乩,ㄐㄧ,2,3.275,1.2308,0.65,889
仰,ㄧㄤˇ,553,5.475,2.2308,0.95,730
仲,ㄓㄨㄥˋ,1071,4.775,2.1538,0.85,738
仳,ㄆㄧˇ,6,2.175,1.1538,0.55,811
份,ㄈㄣˋ,11062,5.625,2.3077,0.95,691
仿,ㄈㄤˇ,535,4.9,1.4615,0.85,725
伉,ㄎㄤˋ,37,3.45,1.2308,0.75,853
伎,ㄐㄧˋ,44,2.325,1.2308,0.65,937
伕,ㄈㄨ,17,3.6,1.3077,0.95,767
兇,ㄒㄩㄥ,515,5.1,2.2308,0.8,747
刎,ㄨㄣˇ,7,3.15,1,0.45,833
刑,ㄒㄧㄥˊ,7057,4.825,1.6923,1,765
匈,ㄒㄩㄥ,112,3.95,1.3846,1,837
吁,ㄒㄩ,6,2.65,1.1538,0.3,956
吋,ㄘㄨㄣˋ,248,4.675,1.2308,1,761
