word_croatian,imagine_mean,imagine_sd,frequency_mean,frequency_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd
A,2.3,1.888562063,3.9,1.663329993,2.3,1.888562063,3.4,1.776388346,1.8,2.394437999
AGONIJA,2.931818182,1.108061943,2.209302326,0.860734446,,,,,,
AKO,2.583333333,1.831955405,4.833333333,0.389249472,1.583333333,0.792961461,4.5,1.167748416,5.25,2.41679728
AKVADUKT,3.454545455,1.368476259,2,1.341640786,4.4,1.264911064,3.8,1.032795559,11.625,5.343554194
ALAT,4.7,0.674948558,3.6,1.0749677,4.7,0.674948558,4.8,0.632455532,7.1,2.183269719
ALI,1.695652174,1.132736416,4.391304348,1.157549545,,,,,,
ALKOHOL,4.4,0.966091783,3.9,0.875595036,4.8,0.421637021,5,0,9.3,4.715223572
AMEBA,3.840909091,1.119451315,1.568181818,0.789398572,,,,,,
AMFIBIJA,1.909090909,1.578261414,1.454545455,0.934198733,1.8,1.475729575,1.4,0.966091783,8,9.603240194
AMFORA,3.181818182,1.721521526,1.909090909,1.445997611,3.8,1.751190072,3,1.56347192,11.75,6.088631092
ANANAS,4.857142857,0.448395139,3.071428571,1.412341671,,,,,,
ANTENA,4.962962963,0.19245009,3.259259259,1.558909693,,,,,,
ANĐEO,4.6,0.699205899,3.6,0.699205899,3.4,1.505545305,4.7,0.674948558,3.666666667,1.802775638
ARHEOLOG,3,1.341640786,2.818181818,1.250454463,4,1.414213562,4.4,0.699205899,12.2,3.633180425
ARKADA,3.727272727,1.009049958,2.454545455,1.507556723,4.2,1.229272594,3.5,1.433720878,11.85714286,4.180453382
ASTRONOM,3.933333333,1.250454463,2.340909091,1.098480596,,,,,,
AUTIĆ,4.9,0.316227766,3.8,1.135292424,4.8,0.632455532,4.9,0.316227766,2.111111111,0.927960727
AUTO,4.774193548,0.716922935,4.677419355,0.652538468,3,0,3,0,8.5,0.707106781
AUTOBUS,4.727272727,0.904534034,4.636363636,0.674199862,5,0,5,0,3.666666667,1.5
AVION,4.787878788,0.599873724,3.424242424,1.639937175,3,0,3,0,8.333333333,0.577350269
BABA,4.7,0.483045892,3.9,0.875595036,4.6,0.699205899,4.9,0.316227766,2.5,1.511857892
BACATI,3.545454545,1.572490786,4.181818182,0.750757194,2.888888889,1.364225462,4.777777778,0.440958552,3.555555556,1.878237945
BACITI,3.636363636,1.206045378,4.090909091,1.136181804,2.9,1.370320319,4.8,0.421637021,3.4,1.897366596
BAJKA,3.7,1.33749351,4.2,1.032795559,3.6,0.843274043,4.8,0.632455532,3.4,2.547329757
BAKA,4.727272727,0.904534034,4.909090909,0.301511345,4.7,0.674948558,5,0,1.625,0.51754917
BAL,4,1.333333333,2.5,1.58113883,4.2,1.135292424,4.4,0.843274043,5.222222222,2.279132389
BALA,3.909090909,1.700267359,2.363636364,1.120064933,4.363636364,1.206045378,3.636363636,1.361816968,7,3.640054945
BALKON,4.75,0.866025404,4.75,0.452267017,5,0,5,0,4.454545455,1.634847783
BALON,4.666666667,1.154700538,4.25,0.965307299,5,0,5,0,3.5,2.013840996
BANANA,4.75,0.866025404,4.75,0.621581561,5,0,5,0,3.2,1.619327707
BAR,3.6,1.646545205,3.5,1.649915823,3.6,1.429840706,4.3,1.251665557,9.4,4.90351348
BARD,1.25,0.621581561,1.5,1.167748416,1.7,0.948683298,1.2,0.632455532,2.4,7.229568913
BAT,3.416666667,1.378954369,2.416666667,1.311372171,4.6,0.699205899,3.3,1.159501809,8.6,5.253570215
BATAK,4.583333333,1.059805834,3.875,1.423788577,3,,3,,8,
BAVITI SE,3.3,1.567021236,4.4,0.699205899,2.5,1.354006401,4.9,0.316227766,7.9,3.510302298
BAZEN,4.75,0.866025404,4.25,0.866025404,4.818181818,0.603022689,5,0,3.6,1.264911064
BAŠ,1.9,1.286683938,4.3,0.674948558,1.3,0.483045892,4.6,0.516397779,6,2.061552813
BEBA,5,0,3.909090909,1.136181804,5,0,5,0,3.222222222,1.986062548
BELA,2.363636364,1.501514387,1.909090909,0.943879807,3.090909091,1.513574937,3.545454545,1.368476259,12,5.333333333
BERBA,4.333333333,0.887625365,3.25,0.753778361,4.272727273,0.904534034,4.727272727,0.467099366,6.727272727,3.49545159
BESADRŽAJAN,2,1.247219129,1.8,1.032795559,2.2,1.229272594,3.8,1.316561177,11,7.502380575
BESADRŽAJNO,1.75,1.215431087,2,1.348399725,1.818181818,1.167748416,3.181818182,1.328019715,14.5,1.772810521
BESKONAČNOST,2.704545455,1.211947221,3.068181818,1.02066388,,,,,,
BEZ,3.272727273,1.348399725,4.727272727,0.467099366,2.181818182,1.250454463,4.818181818,0.404519917,4.454545455,1.863525496
BEZOBRAZAN,2.909090909,1.513574937,4,1.183215957,2.818181818,1.53741223,4.909090909,0.301511345,6.181818182,2.713602101
BEZOBRAZNO,3.5,1.433720878,3.8,1.229272594,3,1.490711985,5,0,5.222222222,0.971825316
BEZVEZAN,2.2,0.918936583,4.3,0.823272602,2.2,1.398411798,4.8,0.632455532,6.333333333,2.291287847
BEZVEZNO,2.636363636,1.501514387,4,1.095445115,2.363636364,1.433368569,4.545454545,1.035725481,7.636363636,2.907670108
BICIKL,4.666666667,1.154700538,4.666666667,0.492365964,5,0,5,0,2.818181818,1.328019715
BIJEDA,3.818181818,1.017811772,3.522727273,1.151109401,,,,,,
BIJEL,4.916666667,0.288675135,4.583333333,0.792961461,4.166666667,1.267304465,5,0,4.083333333,1.676486224
BIJELA,1,,4,,,,,,,
BIJESAN,4,1.054092553,3.5,0.971825316,3,1.247219129,4.5,1.08012345,6.1,1.370320319
BIJESNO,4,1.054092553,3.6,0.966091783,2.6,1.505545305,4.7,0.483045892,8,3.674234614
BIK,4.620689655,0.82000841,2.75862069,1.479748348,3,0,3,0,9,0
BILJKA,4.586206897,0.907006118,3.862068966,1.481411921,3,0,3,0,9,0
BITAN,3.090909091,1.445997611,4.090909091,1.044465936,2.272727273,1.678744119,4.909090909,0.301511345,5.2,2.740640639
BITI,2.5,1.692228224,4.147058824,1.28233577,3,0,3,0,9,0
BITNO,2.454545455,1.439696938,4.636363636,0.924416278,2,1.732050808,4.818181818,0.404519917,5.666666667,1.414213562
BIVŠE,3.272727273,1.272077756,3.454545455,1.293339581,2.727272727,1.737291518,4.636363636,0.674199862,8.4,4.325634186
BIVŠI,3.545454545,1.293339581,3.363636364,1.501514387,3.181818182,1.662418829,4.272727273,1.103712743,7.777777778,5.09356893
BIČ,4.606060606,0.899284227,2.393939394,1.248483929,3,0,3,0,8.333333333,0.577350269
BJEŽATI,3.916666667,1.083624669,3.916666667,0.792961461,3.636363636,1.206045378,4.818181818,0.404519917,3.727272727,1.848832555
BLESAV,4.090909091,1.221027883,3.363636364,1.689540013,2.727272727,1.103712743,4.818181818,0.404519917,6,3.224903099
BLESAVO,2.363636364,0.924416278,4,1.264911064,1.909090909,1.136181804,4.909090909,0.301511345,3.727272727,2.493628244
BLISKO,3.4,1.264911064,3.3,1.059349905,2.5,1.178511302,4.8,0.421637021,7.666666667,2.34520788
BLITVA,4.666666667,1.154700538,3.75,1.288057029,5,0,4.818181818,0.404519917,4.333333333,1.224744871
BLIZAK,2.909090909,1.221027883,3.727272727,1.009049958,2.636363636,0.924416278,4.818181818,0.404519917,6.5,3.240370349
BLIZINA,3.4,1.429840706,3.8,0.788810638,2,0.816496581,4.6,0.966091783,5.3,0.674948558
BLIZU,3.166666667,1.267304465,4.583333333,0.668557923,3.181818182,1.662418829,4.818181818,0.404519917,3.818181818,1.470930441
BLOK,3.6,1.264911064,3.2,1.316561177,4.3,0.823272602,3.8,1.032795559,8.125,5.303300859
BOCA,4.75,0.866025404,4.666666667,0.651338947,5,0,5,0,3.9,2.024845673
BODEŽ,4.083333333,1.311372171,2.25,1.138180366,4.545454545,0.820199532,3.818181818,1.250454463,10.9,4.332051092
BODRITI,2.727272727,1.103712743,3.090909091,1.044465936,3.454545455,1.035725481,4.272727273,1.190874392,9.636363636,3.139195033
BODRITI SE,2.25,1.138180366,2.083333333,0.792961461,2.083333333,1.240112409,4.083333333,1.505042031,10.27272727,4.859854094
BOG,2.9,1.370320319,4.5,0.849836586,1.5,0.707106781,4.7,0.948683298,4.8,1.475729575
BOGATI,4.454545455,0.687551651,4.454545455,0.687551651,3.272727273,1.61807967,4.545454545,0.934198733,7.363636364,4.319090813
BOGATO,3.8,1.032795559,4,1.414213562,2.9,0.737864787,4.4,1.349897115,7.2,3.521363372
BOGATSTVO,4.088888889,0.874440658,4.155555556,0.998989388,3,,3,,,
BOJA,4.086956522,1.443261568,4.565217391,0.843482336,,,,,,
BOJATI,4.433333333,0.935260736,3.4,1.6103116,,,,,,
BOJATI SE,3.272727273,1.420627262,4.090909091,1.136181804,2.090909091,1.221027883,4.909090909,0.301511345,3.454545455,1.572490786
BOJICA,4.333333333,1.302677895,4,1.044465936,4.818181818,0.603022689,4.818181818,0.603022689,3.545454545,1.293339581
BOJITI,4.166666667,1.193416283,4,0.852802865,4.181818182,0.981649817,4.818181818,0.404519917,3.909090909,1.136181804
BOL,3.636363636,1.240609548,4.204545455,1.001848186,,,,,,
BOLESNO,4.6,0.516397779,4.5,0.707106781,3.1,1.523883927,4.8,0.421637021,3.8,1.813529401
BOLEST,3.804347826,1.240422244,4.239130435,0.970332878,3,0,3,0,9,0
BOLESTAN,3.916666667,1.164500153,4.5,0.674199862,4.1,0.994428926,5,0,3.9,1.791957341
BOLJE,2.833333333,1.029857301,4.5,0.522232968,3,1.341640786,4.727272727,0.467099366,5.363636364,2.941860883
BOLJI,2.454545455,1.12815215,4.545454545,0.687551651,3.090909091,1.513574937,4.909090909,0.301511345,5.272727273,2.101947149
BOLNICA,4.793103448,0.619868093,4.103448276,0.976320629,,,,,,
BOLNIČAR,4.7,0.483045892,3.2,1.549193338,4.8,0.421637021,4.7,0.483045892,9,3.286335345
BOLOVANJE,3.133333333,1.501514387,3.888888889,0.958744971,,,,,,
BOMBON,4.666666667,1.154700538,4.583333333,0.668557923,5,0,5,0,2.545454545,1.293339581
BORA,4.181818182,1.167748416,3.090909091,1.221027883,4.454545455,1.035725481,4.454545455,1.293339581,8.6,5.680375574
BORAVITI,3.181818182,0.981649817,3.454545455,1.12815215,3.181818182,1.250454463,3.818181818,1.07871978,9,4.358898944
BORDURA,2.166666667,1.466804401,1.5,0.904534034,3.090909091,1.868397466,2.181818182,1.662418829,5.7,8.857514073
BOS,4.363636364,0.809039835,3.818181818,1.167748416,4.272727273,1.009049958,5,0,3.272727273,1.555050423
BOSO,3.2,1.619327707,3.4,1.646545205,3.6,1.173787791,3.9,1.100504935,5.333333333,2.783882181
BOČICA,4.583333333,0.900336637,4.25,0.753778361,5,0,5,0,2.9,1.595131482
BOŽIĆ,4.545454545,0.687551651,3.909090909,1.136181804,3.545454545,1.507556723,5,0,3.818181818,2.315952582
BRADA,4.833333333,0.5920935,4.233333333,1.222866427,,,,,,
BRAK,4.363636364,1.120064933,4.636363636,0.674199862,3.909090909,1.445997611,5,0,7.818181818,3.487640515
BRANITI,3.34375,1.557694222,3.59375,1.240691145,3,,3,,9,
BRAT,3.666666667,1.723280874,4.666666667,0.492365964,4.727272727,0.467099366,4.636363636,1.206045378,2.9,1.523883927
BRATI,4.25,0.965307299,4.083333333,0.792961461,4.2,1.032795559,4.7,0.674948558,4.888888889,1.452966315
BRATIĆ,3.727272727,1.272077756,4,0.632455532,4.636363636,0.674199862,5,0,5.1,1.286683938
BRAVA,4.966666667,0.182574186,3.966666667,1.245220749,,,,,,
BRAČNI,3.4,1.349897115,4.2,1.032795559,3.2,1.316561177,4.9,0.316227766,9.666666667,3.082207001
BRAČNO,3.7,1.159501809,3.7,1.251665557,2.8,1.316561177,4.5,1.08012345,9.333333333,2.958039892
BRIGA,2.5,1.354006401,4.2,0.918936583,2.4,1.264911064,5,0,7.2,4.41713834
BRIJANJE,4.7,0.674948558,4.6,0.699205899,4.5,0.707106781,4.7,0.674948558,6.2,3.994440581
BRISATI,4.333333333,1.154700538,4.416666667,0.792961461,3.9,0.994428926,4.9,0.316227766,4.1,1.91195072
BRISATI SE,4.818181818,0.404519917,4.636363636,0.504524979,3.818181818,1.470930441,4.909090909,0.301511345,2.818181818,1.07871978
BRKATI,3.4,1.173787791,3.6,0.699205899,3.3,0.948683298,4.4,0.699205899,5.888888889,4.01386486
BRKOVI,4.833333333,0.481543412,3.25,1.481773321,3,,3,,,
BROD,4.75,0.866025404,3.916666667,1.311372171,4.909090909,0.301511345,5,0,3.272727273,2.101947149
BROJ,4.4,1.0749677,4.8,0.421637021,3.9,1.100504935,5,0,4,1.943650632
BROJATI,4.5,0.707106781,4.3,0.674948558,3.8,1.229272594,5,0,3.7,1.82878223
BROKULA,4.733333333,0.827681987,3.5,1.676408312,,,,,,
BRUS,3.5,1.623688282,1.75,0.866025404,4.181818182,0.981649817,3.818181818,1.401298099,9.111111111,5.754225501
BRUSITI,3.75,1.544785952,2.75,1.055289706,3.636363636,1.501514387,4.818181818,0.603022689,7.7,4.05654478
BRZ,4.384615385,0.869718493,4.384615385,0.869718493,3.846153846,0.987096234,4.846153846,0.554700196,3.923076923,1.800996875
BRZINOMJER,4.083333333,1.378954369,2.583333333,0.99620492,4.636363636,0.809039835,4.090909091,1.445997611,13,5.042675027
BRZO,3.75,1.288057029,4.833333333,0.389249472,3.545454545,1.293339581,5,0,3.636363636,1.963299634
BRŠLJAN,4.636363636,0.74238559,2.454545455,1.438117456,3,0,3,0,8.333333333,0.577350269
BUBA,4.583333333,1.164500153,4.333333333,1.07308674,4.909090909,0.301511345,4.818181818,0.404519917,3,1.069044968
BUBANJ,4.962962963,0.19245009,2.407407407,1.366051561,,,,,,
BUDAN,3.75,1.215431087,4.666666667,0.492365964,3.454545455,1.293339581,4.818181818,0.404519917,4.181818182,1.887759615
BUDITI,4.083333333,1.240112409,4.5,0.797724035,4,0.666666667,4.9,0.316227766,4.4,4.477102237
BUDITI SE,4.181818182,0.981649817,4.636363636,0.674199862,2.818181818,1.401298099,5,0,3.090909091,1.044465936
BUDNO,3.8,0.918936583,4.1,1.197219,3.2,1.398411798,4.9,0.316227766,4.1,2.424412873
BUKA,3.636363636,1.286291357,3.727272727,0.646669791,3.818181818,1.07871978,5,0,5.272727273,2.649185123
BUNDEVA,4.5,1.243163121,3.166666667,1.029857301,5,0,4.727272727,0.646669791,6.7,3.368151488
BUĆA,4.6,1.069966161,2.933333333,1.460593487,,,,,,
BUĐOLA,4.9,0.316227766,3.2,0.918936583,5,0,4.6,0.699205899,9.375,4.068608046
BUŠITI,3.909090909,0.943879807,3.454545455,0.820199532,4.363636364,0.674199862,4.727272727,0.467099366,7.2,3.259175083
CEKER,4.688888889,0.848051838,2.586956522,1.423237108,3,,3,,9,
CENTAR,4.2,1.398411798,4,1.333333333,4.1,0.994428926,4.6,0.966091783,6.222222222,2.223610677
CESTA,5,0,4.909090909,0.301511345,4.818181818,0.603022689,4.818181818,0.603022689,4.181818182,2.040499048
CIGARA,4.9,0.316227766,3.4,1.505545305,4.6,1.264911064,5,0,8.375,4.340424601
CIGARETA,4.709677419,0.782881361,3.677419355,1.514091516,3,0,3,0,9,0
CIJEDITI,4,1,3.909090909,0.831209415,3.818181818,1.328019715,4.909090909,0.301511345,5.727272727,2.053821272
CIJEDITI SE,3.7,1.251665557,3.1,0.994428926,3.5,1.178511302,4.3,1.059349905,5.3,3.164033993
CIJELI,3.9,1.286683938,4.9,0.316227766,2.7,1.33749351,5,0,5.1,3.212821536
CIJELO,3.636363636,1.286291357,4.272727273,1.009049958,2.727272727,1.61807967,5,0,4.636363636,2.65603943
CIJENA,3.818181818,0.981649817,4.818181818,0.603022689,4.090909091,1.300349603,4.818181818,0.603022689,8.6,4.247875286
CIJEV,5,,3.407407407,1.474377555,,,,,,
CIKLA,4.956521739,0.208514414,4.086956522,1.239979599,,,,,,
CILJ,3.1,1.197219,3.9,1.286683938,3.1,1.449137675,4.9,0.316227766,7,2.581988897
CIPELA,5,0,4.9,0.4025779,,,,,,
CIRKUS,4.5,1.243163121,3.083333333,0.900336637,4.545454545,0.687551651,5,0,4.818181818,1.990888335
CJEDILO,4.870967742,0.427546137,3.806451613,1.301777115,3,,3,,8,
CJELIVATI,2.583333333,1.56427929,1.916666667,0.99620492,3,1.483239697,2.818181818,1.53741223,9.9,6.740425308
CRKVA,5,0,4.64516129,0.754912229,,,,,,
CRN,5,0,4.916666667,0.288675135,4.416666667,1.240112409,5,0,3.727272727,1.190874392
CRNA,1.5,0.707106781,4,1.414213562,,,,,,
CRTATI,4.583333333,0.900336637,4.333333333,0.651338947,4,1.264911064,5,0,3.181818182,1.328019715
CRV,4.814814815,0.483340701,2.888888889,1.552500052,,,,,,
CRVEN,4.451612903,1.120675679,4.096774194,1.011758822,,,,,,
CURA,5,0,4.636363636,0.674199862,4.636363636,0.674199862,4.818181818,0.404519917,5,3.714835124
CURICA,5,0,3.9,1.100504935,4.9,0.316227766,5,0,3,1.699673171
CURITI,4.3,1.059349905,4,1.247219129,4.2,1.316561177,5,0,5.3,1.567021236
CVIJET,4.962962963,0.19245009,4.444444444,1.050030525,,,,,,
CVIJEĆE,4.666666667,1.154700538,4.5,0.674199862,5,0,5,0,4,3.872983346
DA,2.727272727,1.420627262,4.727272727,0.646669791,1.636363636,1.026910636,5,0,2.333333333,2
DABOME,1.727272727,1.348399725,1.818181818,1.167748416,1.636363636,0.809039835,3.818181818,1.60113596,12.11111111,6.112373607
DAKAKO,1.6,1.349897115,2.7,1.418136492,1.2,0.421637021,4.3,0.674948558,12,3.295017884
DAKLE,1.916666667,1.505042031,3.583333333,1.083624669,1.416666667,0.792961461,4.166666667,0.937436867,10.3,4.001388648
DALEKI,4.090909091,0.943879807,3.909090909,1.136181804,2.636363636,1.361816968,4.727272727,0.646669791,5.909090909,3.562430223
DALEKO,3.272727273,1.420627262,4.090909091,0.70064905,2.818181818,1.328019715,4.727272727,0.646669791,5.181818182,1.990888335
DALEKOZOR,4.636363636,0.924416278,2.181818182,1.07871978,4.7,0.948683298,4.8,0.421637021,6.833333333,0.98319208
DALJE,3.8,1.398411798,4.3,0.948683298,2.7,1.059349905,4.7,0.483045892,4.2,1.87379591
DALJI,2.8,1.229272594,3.6,0.699205899,2.9,1.286683938,4.6,0.516397779,6.777777778,3.231786572
DAMA,4,1,2.636363636,1.026910636,4.090909091,1.221027883,4.909090909,0.301511345,8,2.788866755
DAN,4.318181818,1.073415052,4.844444444,0.424025919,,,,,,
DANAS,3.454545455,1.213559752,4.727272727,0.467099366,2.6,1.577621275,5,0,4.8,1.932183566
DAR,4.6,0.843274043,3.9,0.875595036,4.8,0.632455532,4.8,0.632455532,3.3,1.159501809
DARIVATI,3.909090909,1.136181804,3.454545455,1.12815215,2.818181818,1.470930441,4.727272727,0.646669791,5.363636364,1.433368569
DASKA,4.9,0.305128577,4.366666667,0.9278575,,,,,,
DATI,3.290322581,1.57466501,4.322580645,1.136869877,,,,,,
DATUM,4,1.154700538,4.5,0.849836586,3.4,1.776388346,5,0,6,2
DEBELI,4.909090909,0.301511345,4.454545455,0.820199532,4.181818182,0.750757194,5,0,5.090909091,3.389824345
DEBELO,3.818181818,0.750757194,4,1,3.727272727,0.904534034,4.727272727,0.646669791,5.1,3.212821536
DEBLJE,4.090909091,1.044465936,4,1.341640786,3.727272727,1.272077756,4.727272727,0.646669791,6.272727273,2.686667419
DEBLJI,3.6,1.429840706,4.3,0.674948558,3.4,1.646545205,5,0,4.222222222,1.986062548
DEBLO,4.633333333,1.129031728,2.7,1.600646421,,,,,,
DEKA,4.4,1.0749677,4.6,0.843274043,4.888888889,0.333333333,4.777777778,0.666666667,2.333333333,1.5
DEKAPITACIJA,2.2,1.751190072,1.5,0.971825316,2.444444444,1.333333333,2.555555556,1.943650632,8.333333333,8.91627725
DELFIN,4,1.699673171,2.9,1.286683938,4.888888889,0.333333333,4.888888889,0.333333333,3.333333333,2.236067977
DESET,4.545454545,0.934198733,4.363636364,0.924416278,2.818181818,1.401298099,4.363636364,1.120064933,4.2,1.751190072
DESETI,3.916666667,1.083624669,3.166666667,1.193416283,2.916666667,1.729862492,4.75,0.621581561,6.1,2.024845673
DESNI,3.8,1.229272594,3.4,1.173787791,4.2,0.788810638,4.3,0.823272602,8.2,3.966526608
DESNO,4.7,0.674948558,4.8,0.421637021,4.1,1.370320319,5,0,4.5,2.415229458
DETALJ,3.5,1.08012345,4.1,0.737864787,3.4,1.429840706,4.9,0.316227766,9.25,3.918819064
DEVET,4.636363636,0.674199862,4,1,4.272727273,1.272077756,4.818181818,0.603022689,5,1.483239697
DEVETI,4.090909091,1.221027883,3.363636364,1.206045378,3.272727273,1.272077756,4.818181818,0.603022689,5.909090909,1.972538743
DEČKO,4.7,0.674948558,4,1.490711985,4.5,0.707106781,4.8,0.632455532,3.6,2.011080417
DIGNUTI,4.363636364,1.286291357,4.636363636,0.674199862,4.1,1.197219,4.6,0.843274043,2.333333333,1.658312395
DIGNUTI SE,4.181818182,1.328019715,4.818181818,0.404519917,4.090909091,1.445997611,4.636363636,1.206045378,3.8,2.201009869
DIJELITI,3.7,1.159501809,4.1,0.875595036,1.888888889,0.927960727,4.555555556,0.726483157,4.222222222,1.394433378
DIJETE,4.71875,0.81257754,4.6875,0.997981834,,,,,,
DIMNJAČAR,4.454545455,1.035725481,2.636363636,1.501514387,4.8,0.421637021,5,0,6,1.632993162
DINA,4.6,1.264911064,1.8,1.229272594,4.6,1.264911064,3.6,1.837873167,10.125,3.270539492
DINASTIJA,2.608695652,1.777105165,1.260869565,0.619192385,,,,,,
DINJA,4.935483871,0.359210604,3.064516129,1.54780455,3,,3,,8,
DIO,3.8,0.918936583,4,0.942809042,3.2,1.398411798,4.9,0.316227766,5.444444444,2.65099562
DIOPTRIJA,3.5,1.269295518,2.7,1.159501809,3.5,1.715938357,4.7,0.674948558,8.375,1.302470181
DIPLOMAC,2.8,1.316561177,2.4,1.264911064,3.444444444,1.424000624,3.222222222,1.301708279,8.666666667,8.093207028
DIRATI,4.181818182,1.167748416,4.181818182,1.07871978,3.9,1.595131482,4.8,0.632455532,3.111111111,1.054092553
DIVAN,3.454545455,1.12815215,3.363636364,1.433368569,3.363636364,1.361816968,4.909090909,0.301511345,6,1.095445115
DIVITI SE,2.583333333,1.639635873,3.625,1.134920032,,,,,,
DIVLJE,3.1,1.286683938,3,0.666666667,2.7,1.494434118,4.5,0.707106781,6.777777778,3.032234233
DIVLJI,3.818181818,1.328019715,4,1.095445115,3.272727273,1.190874392,5,0,6.5,3.43996124
DIVNO,2.8,1.229272594,4.2,1.135292424,3.1,1.663329993,4.8,0.421637021,4.6,1.95505044
DIZATI,4.181818182,1.07871978,4.181818182,1.07871978,3.818181818,1.53741223,4.818181818,0.404519917,4.9,2.024845673
DIZATI SE,3.545454545,1.035725481,3.909090909,1.136181804,3.545454545,1.634847783,5,0,5.181818182,1.940009372
DJECA,5,0,4.818181818,0.404519917,4.909090909,0.301511345,5,0,3.7,2.406010991
DJED,4.727272727,0.904534034,4.636363636,0.504524979,5,0,5,0,1.9,0.994428926
DJELO,2.7,1.418136492,3.4,1.505545305,2.8,1.316561177,4.4,1.0749677,9.25,2.659215781
DJELOVATI,3.1,1.100504935,3.8,0.421637021,3,1.414213562,4.7,0.674948558,9.285714286,3.903600292
DJEVOJKA,4.818181818,0.404519917,4.818181818,0.404519917,4.909090909,0.301511345,5,0,6.3,3.653004851
DJEVOJČICA,4.833333333,0.746639983,4.633333333,0.808716878,,,,,,
DJEČAK,4.956521739,0.208514414,4.173913043,1.402989468,,,,,,
DLIJETO,4,1.2344268,1.863636364,1.192825629,,,,,,
DNEVNA SOBA,4.363636364,1.026910636,4.181818182,0.603022689,4.666666667,0.5,5,0,4.111111111,1.536590743
DNEVNI,3.8,0.918936583,4.3,0.674948558,2.9,1.370320319,4.5,1.08012345,6.6,2.011080417
DNEVNO,3.3,1.494434118,4.1,0.994428926,3.2,1.813529401,5,0,6.555555556,1.740051085
DOB,3,1.414213562,4.3,0.823272602,2.5,1.433720878,4.9,0.316227766,5.888888889,3.059593292
DOBAR,3.9,0.994428926,4.8,0.421637021,2.6,1.349897115,5,0,2.222222222,0.971825316
DOBITI,3.727272727,1.103712743,4.363636364,0.809039835,3,1.118033989,4.777777778,0.666666667,3.666666667,1.58113883
DOBRO,2.7,1.702938637,4.7,0.483045892,2.888888889,1.269295518,4.777777778,0.440958552,2.555555556,1.130388331
DOBRODOŠLICA,3.545454545,1.439696938,3.363636364,1.120064933,3.4,1.429840706,4.4,0.843274043,9.2,3.190262964
DOBRONAMJERAN,2.818181818,1.328019715,3.363636364,1.026910636,2.363636364,1.026910636,3.636363636,1.361816968,9.444444444,2.788866755
DOBRONAMJERNO,2.818181818,1.328019715,3.090909091,0.70064905,2.181818182,1.250454463,4.545454545,0.820199532,9.727272727,3.744086246
DOBROTA,3.386363636,1.350553876,3.977272727,0.976196615,,,,,,
DODAVATI,4.2,1.316561177,3.8,1.229272594,2.7,1.33749351,5,0,3.6,1.837873167
DODAVATI SE,4.2,1.032795559,3.3,1.494434118,4,1.247219129,4.9,0.316227766,3.8,1.316561177
DODIRIVATI,4.363636364,0.674199862,3.909090909,0.943879807,4.181818182,0.750757194,4.818181818,0.404519917,5.545454545,2.733628957
DODIRIVATI SE,4.636363636,0.674199862,3.363636364,1.206045378,4.090909091,1.044465936,4.454545455,0.934198733,3.5,2.592724864
DOGAĐATI SE,3.3,1.059349905,4.2,0.918936583,2.7,1.159501809,4.9,0.316227766,7.222222222,1.56347192
DOGOVORITI,3.363636364,1.286291357,4.636363636,0.924416278,3,1.341640786,4.818181818,0.603022689,7.181818182,2.96034396
DOGOVORITI SE,3.3,0.948683298,4.3,0.674948558,3,1.414213562,4.8,0.632455532,6.5,2.460803843
DOHVATITI,3.6,1.0749677,3.4,0.966091783,3,1.154700538,4.7,0.674948558,5.2,2.201009869
DOJAM,2.3,1.418136492,3.2,0.788810638,1.6,0.843274043,4.8,0.421637021,10.125,2.642374473
DOK,2.130434783,1.575504186,3.608695652,1.559111939,,,,,,
DOKAZ,2.392857143,1.314852075,2.678571429,1.540888907,,,,,,
DOKTOR,4.7,0.948683298,4.6,0.699205899,4.444444444,1.333333333,5,0,3.555555556,2.242270675
DOKTORAT,3.545454545,1.368476259,3.090909091,1.136181804,4.090909091,1.136181804,4.454545455,0.820199532,16.5,1.58113883
DOKTORICA,5,0,4.181818182,1.250454463,4.818181818,0.404519917,5,0,4.090909091,1.868397466
DOLAZITI,3.454545455,1.507556723,4.727272727,0.646669791,3.1,1.449137675,4.9,0.316227766,3.6,2.118699811
DOLJE,4,0.894427191,4.454545455,0.934198733,4.1,1.370320319,4.8,0.632455532,2.9,1.663329993
DOM,4.6,0.966091783,4.7,0.483045892,4.111111111,1.536590743,5,0,3.625,1.685018016
DONIJETI,4.181818182,1.250454463,4.909090909,0.301511345,3.4,1.173787791,4.9,0.316227766,3.4,1.95505044
DONJI,4,1.247219129,4.5,0.849836586,3.6,1.264911064,5,0,5.9,2.960855732
DORAT,2.090909091,1.578261414,1.545454545,1.035725481,3.1,1.663329993,2,1.632993162,3.4,7.229568913
DORUČAK,4.5,1.08012345,4.7,0.674948558,4.444444444,0.881917104,4.666666667,0.707106781,3.444444444,1.740051085
DOSADAN,3.8,1.475729575,4.4,0.843274043,3.3,1.33749351,4.5,0.849836586,5.111111111,1.691481928
DOSADNO,2.9,1.100504935,4.7,0.483045892,2.3,0.823272602,4.6,1.264911064,4.444444444,1.236033081
DOSTA,2.935483871,1.69185271,4.64516129,0.660726222,,,,,,
DOTJERAN,4,0.894427191,3.272727273,1.103712743,3.272727273,1.190874392,4.363636364,0.674199862,6.777777778,2.223610677
