word_croatian,imagine_mean,imagine_sd,frequency_mean,frequency_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd
NAJTEŽE,3.363636364,0.924416278,3.909090909,1.044465936,2.909090909,1.375103302,4.818181818,0.404519917,4.8,2.250925735
NAJTEŽI,3.3,1.251665557,3.9,1.286683938,3.1,1.523883927,5,0,5.3,2.945806813
NAJVAŽNIJE,2.181818182,1.167748416,4.545454545,0.522232968,2.454545455,1.439696938,5,0,6.9,1.595131482
NAJVAŽNIJI,3.3,1.159501809,3.7,0.823272602,3,1.333333333,5,0,6.6,2.67498702
NAJVEĆE,3.666666667,0.778498944,4,0.953462589,3,1.12815215,4.833333333,0.577350269,4.909090909,2.700168345
NAJVEĆI,4.6,0.966091783,4.9,0.316227766,3.7,1.159501809,4.8,0.421637021,4.7,2.830390629
NAJVIŠE,3.8,1.398411798,4.9,0.316227766,2.9,0.994428926,4.9,0.316227766,3.9,1.791957341
NAJVIŠI,3.272727273,1.61807967,3.545454545,1.439696938,3,1.843908891,5,0,4.909090909,1.375103302
NAKIT,4.5,1.269295518,3.6,1.264911064,5,0,5,0,4.666666667,3.774917218
NAKNADAN,2.636363636,1.026910636,3.181818182,1.250454463,2.545454545,0.934198733,3,1.095445115,11.81818182,5.946733251
NAKNADNO,1.636363636,0.809039835,3.454545455,0.687551651,1.636363636,0.809039835,4.636363636,0.924416278,9.428571429,2.6367368
