"targetWord","score.std.gusto","score.gusto","score.std.olfatto","score.olfatto","score.std.tatto","score.tatto","score.std.udito","score.udito","score.std.vista","score.vista","maxPercepStrength.std","maxPercepStrength","domSense","sumPercepStrength.std","sumPercepStrength","entropy","modalityExclusivity","length","CDcount","zipf","fpmw","LogFmpw","ortographNeigh","ortographLevenshtein","FAM.std","FAM","AoA.std","AoA","CA.std","CA"
"candido",-0.598,0.487,-0.486,0.692,-0.456,0.769,-0.655,0.385,1.544,4.897,1.544,4.897,"vista",-0.65,7.231,1.065,0.624,7,99,2.987,0.966,-0.015,8,1.55,0.035,4.889,0.517,5.35,0.112,5.158
"cangiante",-0.793,0.114,-0.806,0.086,-0.769,0.171,-0.732,0.257,1.341,4.657,1.341,4.657,"vista",-1.76,5.286,0.52,0.865,9,3,1.589,0.031,-1.506,2,2.35,-1.194,2.778,1.162,6.35,-1.087,3.053
"canoro",-0.906,0,-0.89,0.029,-0.845,0.118,1.433,4.941,-0.069,1.765,1.433,4.941,"udito",-1.277,6.853,0.678,0.721,6,13,2.036,0.101,-0.994,5,1.7,-0.581,3.667,0.571,5.45,-0.412,4.158
"caramellato",1.403,4.882,0.811,3.676,-0.348,1.176,-0.837,0.147,0.777,3.618,1.403,4.882,"gusto",1.807,13.5,1.337,0.351,11,22,2.288,0.187,-0.728,3,2.25,-0.035,4.947,0.073,4.412,0.206,5.632
"carbonizzato",0.899,3.853,1.274,4.618,-0.123,1.647,-0.66,0.5,1.361,4.794,1.361,4.794,"vista",2.751,15.412,1.421,0.279,12,71,2.788,0.608,-0.216,4,2.15,0.088,5,-0.055,4.55,0.13,5.278
"carino",-0.48,0.744,-0.382,0.949,-0.184,1.359,0.069,1.842,1.318,4.462,1.318,4.462,"vista",0.342,9.355,1.387,0.397,6,6322,4.921,83.786,1.923,28,1,0.993,6.842,-1.29,2.529,0.46,6
"carnoso",0.55,3.118,-0.41,1,1.024,4.088,-0.734,0.353,0.998,4.059,1.024,4.088,"tatto",1.428,12.618,1.376,0.296,7,12,2.036,0.101,-0.994,3,1.8,-0.056,4.722,0.258,5,-0.159,4.632
"castano",-0.788,0.108,-0.776,0.135,-0.761,0.162,-0.844,0,1.534,5,1.534,5,"vista",-1.634,5.405,0.348,0.925,7,52,2.735,0.538,-0.27,12,1.3,0.588,6.105,-0.716,3.294,0.712,6.474
"cavo",-0.769,0.079,-0.805,0,1.201,4.231,-0.092,1.564,1.456,4.718,1.456,4.718,"vista",0.99,10.592,1.046,0.445,4,1387,4.196,15.755,1.197,36,1,-0.116,4.737,0.18,4.529,0.017,5.263
"celeste",-0.777,0.135,-0.79,0.108,-0.788,0.108,-0.693,0.297,1.534,5,1.534,5,"vista",-1.513,5.649,0.504,0.866,7,NA,NA,NA,NA,4,1.8,0.216,5.421,-1.041,2.882,0.271,5.737
"cereo",-0.743,0.278,-0.542,0.694,0.038,1.917,-0.829,0.083,1.141,4.25,1.141,4.25,"vista",-0.934,7.222,1.066,0.577,5,4,1.668,0.039,-1.409,17,1,-2.086,1.824,1.556,6.417,-1.445,2.611
"ceruleo",-0.774,0.162,-0.662,0.316,-0.614,0.421,-0.798,0.079,1.34,4.5,1.34,4.5,"vista",-1.508,5.478,0.689,0.807,7,8,1.969,0.086,-1.067,3,2.15,-1.349,2.389,1.268,6.444,-1.242,2.789
"chiaro",-0.526,0.825,-0.534,0.775,-0.753,0.3,-0.049,1.825,1.412,4.825,1.412,4.825,"vista",-0.451,8.55,1.213,0.529,6,7002,4.958,91.126,1.96,15,1,1.022,6.833,-1.362,2.412,0.645,6.316
"chiassoso",-0.808,0.051,-0.755,0.128,-0.76,0.128,1.585,4.974,0.346,2.462,1.585,4.974,"udito",-0.391,7.744,0.818,0.636,9,41,2.513,0.319,-0.496,4,2.5,-0.115,4.737,-0.378,3.765,0.506,6.158
"chiazzato",-0.785,0.111,-0.815,0.056,-0.562,0.583,-0.844,0,1.5,4.914,1.5,4.914,"vista",-1.508,5.664,0.48,0.868,9,4,1.931,0.078,-1.108,2,2.25,-1.031,3.056,0.384,5.2,-0.753,3.526
"chiuso",-0.766,0.179,-0.542,0.615,0.922,3.744,-0.306,1.103,1.48,4.795,1.48,4.795,"vista",0.788,10.436,1.199,0.442,6,5878,4.845,70.228,1.847,16,1,1.098,7,-1.329,2.471,0.893,6.833
"cigolante",-0.844,0,-0.816,0.054,-0.48,0.784,1.471,4.861,0.076,1.919,1.471,4.861,"udito",-0.593,7.618,0.903,0.638,9,7,1.89,0.07,-1.154,1,2.25,-0.558,3.944,0.389,5.2,-0.185,4.579
"cilindrico",-0.722,0.184,-0.805,0,1.225,4.282,-0.761,0.154,1.531,4.872,1.531,4.872,"vista",0.468,9.492,0.845,0.513,10,17,2.145,0.132,-0.878,2,2.65,0.128,5.529,0.339,4.778,-0.042,5.111
"cinguettante",-0.876,0.059,-0.843,0.118,-0.717,0.353,1.463,5,0.242,2.441,1.463,5,"udito",-0.73,7.971,0.891,0.62,12,1,1.191,0.008,-2.108,1,2.95,-0.261,4.389,-0.449,3.9,-0.059,4.842
"cioccoloso",1.258,4.486,0.991,3.946,-0.358,1.135,-0.763,0.27,0.895,3.757,1.258,4.486,"gusto",2.023,13.595,1.366,0.31,10,NA,NA,NA,NA,0,2.45,-1.764,1.842,-0.843,3.2,-1.466,2.895
"circolare",-0.721,0.375,-0.825,0.15,1.12,4.25,-0.625,0.575,1.425,4.85,1.425,4.85,"vista",0.374,10.2,1.064,0.461,9,497,3.699,5.018,0.701,7,1.55,0.41,5.611,-0.283,4.2,0.481,5.842
"circoscritto",-0.732,0.205,-0.577,0.538,0.481,2.769,-0.369,0.974,1.359,4.564,1.359,4.564,"vista",0.163,9.051,1.201,0.482,12,30,2.481,0.296,-0.529,4,3.05,-0.042,4.895,0.839,5.412,-0.389,4.474
"clamoroso",-0.337,1.154,-0.4,1.025,-0.591,0.625,0.673,3.3,0.703,3.375,0.703,3.375,"vista",0.048,9.479,1.411,0.29,9,65,2.759,0.569,-0.245,3,2.45,0.27,5.824,0.514,5.056,0.011,5.167
"cocente",0.028,2.03,-0.334,1.182,1.03,4.121,-0.501,0.848,0.437,2.848,1.03,4.121,"tatto",0.661,11.03,1.466,0.297,7,43,2.589,0.382,-0.418,3,1.8,-0.371,4.588,0.108,4.375,0.13,5.389
"colloso",-0.291,1.189,-0.428,0.892,1.246,4.405,-0.674,0.351,0.875,3.622,1.246,4.405,"tatto",0.729,10.459,1.303,0.388,7,2,1.367,0.016,-1.807,11,1.45,-1.024,3.706,-0.2,4.056,-1.049,3.389
"colorato",-0.609,0.41,-0.642,0.342,-0.746,0.154,-0.72,0.231,1.527,4.846,1.527,4.846,"vista",-1.19,5.983,0.738,0.784,8,142,3.102,1.262,0.101,10,1.4,0.761,6.765,-1.485,2.278,0.99,6.944
"colossale",-0.691,0.324,-0.689,0.324,-0.182,1.389,-0.115,1.541,1.36,4.649,1.36,4.649,"vista",-0.317,8.227,1.192,0.526,9,206,3.24,1.738,0.24,2,2.45,-0.116,4.737,0.684,5.176,-0.182,4.842
"compatto",-0.473,0.795,-0.758,0.105,1.298,4.41,-0.495,0.718,1.174,4.231,1.298,4.41,"tatto",0.747,10.259,1.159,0.42,8,75,2.798,0.623,-0.205,6,1.65,0.579,5.889,0.275,5.05,0.361,5.632
"concavo",-0.88,0.061,-0.895,0.03,1.061,4.212,-0.672,0.485,1.387,4.879,1.387,4.879,"vista",0.001,9.667,0.907,0.502,7,9,1.89,0.07,-1.154,5,1.7,-0.373,4.706,0.614,5.111,-0.331,4.667
"concentrico",-0.793,0.105,-0.802,0,0.235,2.263,-0.659,0.342,1.446,4.711,1.446,4.711,"vista",-0.573,7.421,0.853,0.635,11,2,1.367,0.016,-1.807,3,2.2,0.009,5.353,0.685,5.222,-0.11,4.833
"concettuale",-0.724,0.222,-0.764,0.162,-0.808,0.081,0.443,2.757,0.044,1.919,0.443,2.757,"udito",-1.808,5.141,1.012,0.52,11,31,2.47,0.288,-0.54,1,2.8,0.452,6.176,1.152,5.941,-0.289,4.667
"concreto",0.17,2.128,0.048,1.872,0.933,3.692,0.414,2.641,1,3.846,1,3.846,"vista",2.565,14.179,1.569,0.139,8,314,3.419,2.626,0.419,4,1.75,0.766,6.278,0.54,5.4,0.381,5.684
"confuso",-0.465,0.95,-0.454,0.975,-0.519,0.8,0.559,3.1,0.75,3.475,0.75,3.475,"vista",-0.128,9.3,1.415,0.288,7,1939,4.269,18.654,1.271,8,1.4,0.919,6.5,-0.069,4.6,0.613,6.105
"congelato",0.386,2.675,-0.366,1.15,1.255,4.5,-0.541,0.75,1.26,4.525,1.26,4.525,"vista",1.994,13.6,1.421,0.278,9,384,3.575,3.763,0.576,8,1.4,0.853,6.412,-0.529,3.85,0.972,6.737
"conico",-0.85,0.121,-0.903,0,1.176,4.424,-0.746,0.303,1.443,4.939,1.443,4.939,"vista",0.119,9.788,0.866,0.505,6,3,1.492,0.023,-1.631,16,1,-0.759,3.474,0.454,4.938,-0.067,5.053
"contornato",-0.689,0.324,-0.782,0.135,0.879,3.667,-0.684,0.324,1.354,4.649,1.354,4.649,"vista",0.077,9.099,1.01,0.496,10,2,1.367,0.016,-1.807,2,1.8,-0.781,3.556,0.45,5.3,-0.488,4.053
"convesso",-0.794,0.077,-0.83,0,1.07,4,-0.78,0.103,1.51,4.921,1.51,4.921,"vista",0.176,9.101,0.785,0.541,8,2,1.367,0.016,-1.807,10,1.5,-0.781,3.474,0.665,5.176,-0.379,4.526
"coriaceo",-0.517,0.676,-0.62,0.455,0.45,2.735,-0.45,0.824,0.747,3.353,0.747,3.353,"vista",-0.39,8.043,1.336,0.36,8,10,1.931,0.078,-1.108,2,2.65,-1.543,2.765,1.634,6.429,-0.881,3.667
"corpulento",-0.694,0.333,-0.673,0.359,0.937,3.667,-0.541,0.615,1.347,4.513,1.347,4.513,"vista",0.376,9.487,1.14,0.441,10,19,2.232,0.164,-0.786,3,2.5,-0.565,4.353,0.983,5.706,-0.565,4.167
"corretto",-0.064,1.879,-0.164,1.667,-0.024,1.939,0.474,2.97,0.681,3.424,0.681,3.424,"vista",0.902,11.879,1.568,0.148,8,1555,4.186,15.389,1.187,14,1.2,0.883,6.579,-0.767,3.235,0.26,5.684
"corto",-0.761,0.179,-0.805,0,1.039,3.974,-0.339,1.051,1.477,4.795,1.477,4.795,"vista",0.61,10,1.028,0.479,5,1583,4.175,14.999,1.176,30,1,0.999,6.842,-1.201,2.647,0.683,6.421
"cremisi",-0.683,0.3,-0.733,0.2,-0.737,0.2,-0.797,0.067,1.367,4.6,1.367,4.6,"vista",-1.583,5.367,0.593,0.845,7,NA,NA,NA,NA,4,1.8,-1.356,3.118,1.631,6.417,-1.508,2.667
"cremoso",0.965,3.744,-0.32,1.051,0.962,3.718,-0.664,0.289,1.037,3.923,1.037,3.923,"vista",1.98,12.725,1.374,0.286,7,44,2.63,0.421,-0.376,3,1.85,0.455,5.722,-0.426,3.95,0.445,5.789
"cristallino",-0.754,0.189,-0.791,0.108,-0.395,0.944,-0.243,1.25,1.478,4.892,1.478,4.892,"vista",-0.704,7.384,0.992,0.648,11,68,2.759,0.569,-0.245,3,2.35,0.088,5.111,0.411,5.3,0.059,5.053
"croccante",0.803,3.385,-0.323,1.026,0.975,3.744,0.722,3.256,0.568,2.949,0.975,3.744,"tatto",2.745,14.359,1.541,0.189,9,161,3.184,1.527,0.184,3,2.25,0.657,6.056,-0.667,3.6,0.822,6.474
"crollante",-0.844,0,-0.819,0.054,0.24,2.324,0.323,2.486,1.384,4.703,1.384,4.703,"vista",0.285,9.567,1.072,0.492,9,NA,NA,NA,NA,0,1.9,-1.202,2.789,0.558,5,-1.206,3.211
"cromatico",-0.743,0.324,-0.72,0.353,-0.698,0.412,-0.641,0.559,1.423,4.909,1.423,4.909,"vista",-1.379,6.556,0.906,0.699,9,8,1.89,0.07,-1.154,2,2.1,-0.351,4.222,0.891,5.95,-0.129,4.684
"curativo",-0.18,1.525,-0.235,1.4,-0.376,1.1,-0.4,1.075,0.284,2.5,0.284,2.5,"vista",-0.906,7.6,1.556,0.188,8,36,2.503,0.312,-0.506,3,2.05,0.026,5.412,0.461,5,-0.228,4.833
"curioso",-0.338,1.108,-0.343,1.081,-0.262,1.243,0.435,2.73,0.862,3.649,0.862,3.649,"vista",0.354,9.811,1.475,0.262,7,1504,4.145,14.018,1.147,7,1.4,0.894,6.5,-0.812,3.45,0.927,6.684
"curvato",-0.725,0.25,-0.832,0.028,1.228,4.378,-0.646,0.405,1.376,4.676,1.376,4.676,"vista",0.4,9.737,0.955,0.477,7,14,2.252,0.171,-0.766,4,1.75,-0.219,4.389,-0.218,4.25,0.107,5.158
"curvilineo",-0.817,0.056,-0.844,0,1.138,4.194,-0.69,0.306,1.514,4.944,1.514,4.944,"vista",0.301,9.5,0.841,0.52,10,1,1.191,0.008,-2.108,2,3.7,-0.164,5,0.734,5.353,-0.308,4.5
"curvo",-0.761,0.179,-0.782,0.053,1.186,4.205,-0.653,0.395,1.441,4.718,1.441,4.718,"vista",0.431,9.55,0.945,0.488,5,38,2.553,0.351,-0.455,11,1.3,0.429,5.556,-0.739,3.55,0.52,5.947
"debole",-0.228,1.351,-0.261,1.297,0.183,2.189,0.36,2.595,0.809,3.514,0.809,3.514,"vista",0.864,10.946,1.539,0.202,6,3244,4.525,33.645,1.527,7,1.45,0.736,6.706,-0.979,2.944,0.578,6.278
"decadente",-0.787,0.265,-0.624,0.588,-0.5,0.853,-0.354,1.147,1.203,4.471,1.203,4.471,"vista",-1.062,7.324,1.165,0.574,9,70,2.819,0.655,-0.184,2,2,-0.12,4.667,0.988,6.05,-0.45,4.158
"deforme",-0.796,0.103,-0.793,0.026,1.012,3.872,-0.649,0.342,1.513,4.821,1.513,4.821,"vista",0.287,9.163,0.892,0.523,7,94,2.969,0.927,-0.033,5,1.65,-0.123,4.684,-0.167,4.059,-0.23,5
"delizioso",1.46,5,0.931,3.909,-0.315,1.273,-0.229,1.485,0.737,3.515,1.46,5,"gusto",2.584,15.182,1.489,0.245,9,1420,4.146,14.041,1.147,9,1.45,0.701,6.647,-0.763,3.278,0.757,6.556
"dentellato",-0.684,0.351,-0.829,0.027,1.261,4.459,-0.551,0.595,1.442,4.806,1.442,4.806,"vista",0.639,10.238,1.014,0.467,10,10,1.931,0.078,-1.108,3,2.55,-1.404,2.412,0.846,5.9,-1.191,2.895
"difficile",-0.659,0.368,-0.63,0.41,-0.344,1,0.569,2.949,0.817,3.462,0.817,3.462,"vista",-0.247,8.189,1.278,0.378,9,11331,5.232,171.421,2.234,15,1,1.173,7,-1.209,2.85,0.803,6.474
"disallineato",-0.858,0.091,-0.86,0.088,0.762,3.559,-0.679,0.471,1.347,4.765,1.347,4.765,"vista",-0.288,8.973,0.949,0.521,12,1,1.191,0.008,-2.108,2,3.1,-1.077,3,1.007,5.588,-0.59,4.211
"disegnato",-0.778,0.053,-0.707,0.308,-0.311,1.103,-0.77,0.079,1.542,4.897,1.542,4.897,"vista",-1.023,6.439,0.749,0.752,9,572,3.737,5.47,0.738,7,1.55,0.674,6.111,-1.119,3,0.794,6.444
"disgustoso",1.477,4.95,1.247,4.5,0.373,2.675,-0.209,1.45,1.173,4.35,1.477,4.95,"gusto",4.061,17.925,1.533,0.195,10,1798,4.249,17.812,1.251,5,1.7,0.594,6.105,-0.77,3.235,0.568,6.211
"dolce",1.52,4.973,0.62,3.081,-0.543,0.649,-0.384,0.973,0.378,2.568,1.52,4.973,"gusto",1.591,12.243,1.398,0.353,5,5374,4.825,67.103,1.827,15,1,0.879,6.941,-1.413,2.389,0.803,6.667
"dolente",-0.711,0.216,-0.722,0.189,0.562,2.892,0.098,1.947,0.467,2.684,0.562,2.892,"tatto",-0.305,7.929,1.267,0.341,7,111,2.987,0.966,-0.015,8,1.6,0.245,5.333,-0.966,3.312,-0.354,4.368
"dolorante",-0.817,0.026,-0.683,0.308,0.524,2.846,0.613,3.026,0.884,3.59,0.884,3.59,"vista",0.521,9.796,1.214,0.364,9,132,3.042,1.099,0.041,2,2.2,0.314,5.526,-0.509,3.588,0.344,5.947
"doloroso",-0.583,0.65,-0.528,0.75,1.188,4.325,0.307,2.5,0.948,3.875,1.188,4.325,"tatto",1.332,12.1,1.388,0.304,8,993,3.955,9.054,0.957,4,1.75,0.836,6.882,-0.657,3.389,0.65,6.333
"dorato",-0.767,0.128,-0.784,0.081,-0.603,0.462,-0.771,0.135,1.542,4.947,1.542,4.947,"vista",-1.383,5.753,0.565,0.846,6,221,3.419,2.626,0.419,18,1,0.568,6.375,-1,3,0.503,6.056
"dritto",-0.758,0.154,-0.817,0.026,1.148,4.128,-0.721,0.231,1.518,4.897,1.518,4.897,"vista",0.37,9.437,0.876,0.516,6,2811,4.446,28.051,1.448,15,1,0.937,6.722,-1.082,2.824,0.621,6.316
"duro",-0.373,1,-0.756,0.128,1.527,4.868,-0.268,1.132,0.638,3.077,1.527,4.868,"tatto",0.767,10.205,1.241,0.465,4,5251,4.785,61.244,1.787,43,1,1.111,6.889,-1.345,2.65,0.96,6.737
"echeggiante",-0.808,0.051,-0.784,0.077,-0.76,0.128,1.491,4.795,-0.563,0.538,1.491,4.795,"udito",-1.423,5.59,0.546,0.849,11,NA,NA,NA,NA,1,2.6,-1.287,2.579,0.875,5.5,-1.839,2.389
"elastico",-0.821,0.182,-0.827,0.147,1.342,4.765,-0.422,1.029,1.029,4.118,1.342,4.765,"tatto",0.3,10.241,1.086,0.451,8,187,3.295,1.971,0.295,3,1.8,0.655,6.211,-0.751,3.235,0.491,6.105
"elegante",-0.633,0.444,-0.435,0.865,-0.189,1.405,-0.101,1.595,1.414,4.757,1.414,4.757,"vista",0.057,9.066,1.305,0.476,8,1320,4.096,12.506,1.097,4,1.75,0.823,6.474,-0.351,3.765,0.487,6.053
"ellittico",-0.805,0.079,-0.777,0.054,0.814,3.474,-0.656,0.324,1.482,4.763,1.482,4.763,"vista",0.058,8.694,0.893,0.542,9,3,1.589,0.031,-1.506,2,2.65,-0.181,5.059,1.109,5.833,-0.868,3.611
"elusivo",-0.826,0.154,-0.768,0.256,-0.576,0.667,0.249,2.436,0.631,3.205,0.631,3.205,"vista",-1.289,6.718,1.161,0.454,7,25,2.321,0.203,-0.693,3,2,-0.82,3.389,1.393,6.632,-1.083,3.053
"emanante",-0.172,1.538,1.033,4.051,-0.448,0.974,0.015,1.949,0.167,2.237,1.033,4.051,"olfatto",0.595,10.75,1.5,0.286,8,NA,NA,NA,NA,1,2.05,-1.436,2.444,0.924,5.95,-1.298,2.632
"enorme",-0.729,0.35,-0.737,0.325,0.964,3.925,-0.151,1.575,1.478,4.95,1.478,4.95,"vista",0.825,11.125,1.217,0.416,6,3936,4.621,41.92,1.622,11,1.15,0.862,6.882,-0.806,3.167,0.757,6.556
"equiangolo",-0.894,0.031,-0.886,0.03,0.41,2.788,-0.845,0.121,1.456,4.97,1.456,4.97,"vista",-0.759,7.94,0.768,0.622,10,NA,NA,NA,NA,0,3.7,-1.285,3.118,0.814,5.412,-1.15,3.222
"equilatero",-0.817,0.026,-0.829,0,1.077,3.974,-0.81,0.026,1.541,4.921,1.541,4.921,"vista",0.162,8.947,0.723,0.55,10,4,1.668,0.039,-1.409,0,3.8,0.284,5.824,0.255,4.611,0.088,5.278
"equilibrato",0.136,2.242,-0.137,1.667,0.189,2.364,0.142,2.273,0.896,3.879,0.896,3.879,"vista",1.226,12.424,1.568,0.178,11,67,2.747,0.553,-0.257,5,1.75,0.693,6.111,0.198,4.9,0.278,5.526
"equo",-0.607,0.421,-0.684,0.263,-0.381,0.974,-0.083,1.526,0.426,2.641,0.426,2.641,"vista",-1.33,5.826,1.338,0.408,4,308,3.48,3.023,0.48,4,1.55,0.615,6.529,0.367,4.889,0.071,5.333
"erbato",-0.36,1.105,0.586,3.077,0.551,3.025,-0.771,0.25,1.254,4.5,1.254,4.5,"vista",1.26,11.957,1.366,0.355,6,NA,NA,NA,NA,3,1.75,-1.855,1.684,0.22,4.5,-1.013,3.611
"erboso",-0.006,1.912,0.621,3.235,0.571,3.118,-0.621,0.588,1.289,4.636,1.289,4.636,"vista",1.853,13.489,1.462,0.3,6,14,2.12,0.125,-0.904,3,1.75,-0.442,3.944,-0.211,4.25,0.039,5.053
"esagonale",-0.832,0.027,-0.844,0,1.146,4.216,-0.816,0.054,1.507,4.946,1.507,4.946,"vista",0.161,9.243,0.74,0.535,9,15,2.252,0.171,-0.766,1,2.8,-0.067,5.235,0.475,4.944,-0.357,4.5
"esistenziale",-0.698,0.425,-0.653,0.525,-0.625,0.575,-0.027,1.875,-0.063,1.795,-0.027,1.875,"udito",-2.065,5.195,1.415,0.279,12,65,2.765,0.577,-0.239,2,2.65,0.568,6.412,1.142,5.944,-0.252,4.722
"esitante",-0.852,0.077,-0.773,0.211,-0.479,0.842,0.385,2.718,0.77,3.526,0.77,3.526,"vista",-0.949,7.374,1.118,0.468,8,41,2.513,0.319,-0.496,3,1.8,-0.034,4.706,0.58,5.45,-0.504,4.105
"essenziale",-0.464,0.939,-0.462,0.97,-0.449,0.97,-0.247,1.394,0.297,2.606,0.297,2.606,"vista",-1.325,6.879,1.515,0.242,10,580,3.712,5.166,0.713,7,1.7,0.587,6.053,0.493,4.941,-0.231,4.895
"euristico",-0.77,0.345,-0.77,0.345,-0.671,0.552,-0.225,1.483,-0.281,1.379,-0.225,1.483,"udito",-2.718,4.103,1.42,0.277,9,4,1.589,0.031,-1.506,3,2.3,-0.957,3.588,1.72,6.5,-1.527,2.556
"evanescente",-0.727,0.231,-0.519,0.615,-0.32,1.051,-0.22,1.256,0.796,3.385,0.796,3.385,"vista",-0.99,6.538,1.292,0.482,11,10,1.969,0.086,-1.067,2,3.3,-0.536,4.412,1.264,6.118,-1.268,3
"fangoso",-0.605,0.615,-0.211,1.462,1.03,4.051,-0.469,0.897,1.348,4.718,1.348,4.718,"vista",1.093,11.744,1.344,0.349,7,35,2.47,0.288,-0.54,3,1.8,-0.107,4.833,-0.393,3.706,0.016,5.211
"fantasioso",-0.193,1.475,-0.383,1.075,-0.59,0.65,0.338,2.625,0.623,3.175,0.623,3.175,"vista",-0.206,9,1.467,0.281,10,59,2.722,0.522,-0.282,3,2.45,0.604,6.412,-0.546,3.5,0.402,5.889
"farinoso",0.773,3.559,-0.261,1.324,0.919,3.853,-0.715,0.382,0.853,3.727,0.919,3.853,"tatto",1.569,12.845,1.415,0.27,8,1,1.191,0.008,-2.108,3,2.1,-0.324,4.278,-0.045,4.5,-0.092,4.833
"felice",-0.79,0.108,-0.66,0.378,-0.526,0.676,0.896,3.676,1.13,4.189,1.13,4.189,"vista",0.05,9.027,1.102,0.452,6,11160,5.319,209.048,2.32,16,1,0.893,6.941,-1.411,2.389,0.908,6.833
"fetente",-0.156,1.606,0.893,3.818,-0.699,0.424,-0.471,0.909,0.258,2.531,0.893,3.818,"olfatto",-0.174,9.289,1.392,0.365,7,101,3.004,1.005,0.002,2,1.85,-0.343,4.765,0.155,4.5,-0.501,4.278
"fetido",0.195,2.275,1.283,4.55,-0.504,0.825,-0.742,0.325,0.417,2.769,1.283,4.55,"olfatto",0.649,10.744,1.345,0.393,6,45,2.597,0.39,-0.409,3,1.85,-0.958,3.706,0.627,5.125,-0.423,4.444
"fiammeggiante",-0.78,0.103,-0.145,1.462,0.241,2.256,0.022,1.795,1.398,4.632,1.398,4.632,"vista",0.737,10.247,1.321,0.442,13,40,2.571,0.366,-0.436,1,3.25,-0.58,3.667,-0.145,4.316,0.005,4.842
"fibroso",-0.155,1.525,-0.741,0.3,1.043,4.075,-0.686,0.425,0.99,3.975,1.043,4.075,"tatto",0.45,10.3,1.252,0.367,7,7,1.931,0.078,-1.108,2,2.1,-0.836,3.278,0.914,5.95,-0.619,3.895
"filiforme",-0.722,0.375,-0.858,0.075,1.128,4.25,-0.793,0.2,1.331,4.675,1.331,4.675,"vista",0.086,9.575,0.956,0.48,9,11,1.969,0.086,-1.067,1,2.65,-0.495,3.833,1.09,6.2,-0.957,3.211
"fioco",-0.752,0.324,-0.721,0.382,-0.632,0.529,0.24,2.471,0.82,3.676,0.82,3.676,"vista",-1.044,7.382,1.193,0.454,5,4,1.589,0.031,-1.506,7,1.4,-0.877,3.368,0.586,5.125,-0.672,4.211
"fiorito",-0.497,0.684,1.077,3.921,0.237,2.211,-0.71,0.263,1.431,4.658,1.431,4.658,"vista",1.539,11.737,1.298,0.374,7,38,2.553,0.351,-0.455,6,1.7,0.443,5.611,-0.075,4.5,0.559,6
"flaccido",-0.661,0.5,-0.768,0.265,1.288,4.647,-0.531,0.794,1.171,4.412,1.288,4.647,"tatto",0.5,10.618,1.156,0.413,8,63,2.747,0.553,-0.257,4,2,-0.018,5.235,0.501,5.056,-0.085,5.111
"flessibile",-0.747,0.325,-0.849,0.079,1.41,4.825,-0.441,0.95,1.054,4.125,1.41,4.825,"tatto",0.425,10.304,1.088,0.461,10,201,3.252,1.784,0.251,3,2.45,0.534,6.353,0.219,4.667,0.553,6.167
"floreale",-0.22,1.297,0.886,3.649,0.194,2.216,-0.669,0.351,1.376,4.676,1.376,4.676,"vista",1.568,12.189,1.379,0.355,8,75,2.872,0.74,-0.131,2,2.3,-0.045,4.842,0.087,4.412,0.279,5.737
"floscio",-0.7,0.425,-0.766,0.282,1.221,4.425,-0.473,0.9,1.162,4.325,1.221,4.425,"tatto",0.444,10.357,1.169,0.4,7,33,2.543,0.343,-0.465,1,1.85,-0.447,4.158,0.025,4.294,-0.213,4.947
"fluorescente",-0.832,0.026,-0.784,0.077,-0.759,0.128,-0.76,0.128,1.562,4.947,1.562,4.947,"vista",-1.572,5.306,0.332,0.927,12,50,2.638,0.429,-0.368,1,3.35,0.066,5.105,0.17,4.529,0.379,5.895
"forcuto",-0.89,0.032,-0.889,0.032,0.826,3.71,-0.772,0.29,1.28,4.677,1.28,4.677,"vista",-0.445,8.742,0.853,0.531,7,NA,NA,NA,NA,3,1.85,-1.428,2.316,0.524,4.938,-1.485,2.789
"formicolante",-0.859,0.077,-0.872,0.051,1.224,4.41,-0.684,0.436,-0.373,1.103,1.224,4.41,"tatto",-1.564,6.077,0.827,0.717,12,2,1.367,0.016,-1.807,1,3,-0.342,4.706,0.276,4.765,-0.568,4.222
"forte",0.695,3.333,0.574,3.1,0.541,3.05,0.702,3.375,0.828,3.65,0.828,3.65,"vista",3.339,16.508,1.607,0.036,5,10583,5.228,169.637,2.23,39,1,1.173,7,-1.561,2.3,0.965,6.737
"fosforescente",-0.844,0,-0.844,0,-0.802,0.081,-0.787,0.108,1.534,5,1.534,5,"vista",-1.743,5.189,0.181,0.964,13,27,2.47,0.288,-0.54,1,4.45,0.233,5.824,-0.399,3.778,0.312,5.778
"fradicio",-0.426,0.872,-0.22,1.256,1.34,4.487,-0.459,0.821,1.188,4.231,1.34,4.487,"tatto",1.423,11.667,1.356,0.314,8,271,3.361,2.299,0.361,2,2.35,0.385,6.062,-0.029,4.278,0.669,6.444
"fragile",-0.712,0.278,-0.769,0.162,1.042,4,-0.201,1.361,1.215,4.351,1.215,4.351,"vista",0.575,10.152,1.164,0.413,7,610,3.733,5.423,0.734,5,1.75,0.729,6.278,-0.693,3.55,0.785,6.421
"fragrante",1.179,4.412,0.433,2.853,0.072,2.088,-0.192,1.529,0.478,2.941,1.179,4.412,"gusto",1.97,13.824,1.549,0.209,9,27,2.337,0.21,-0.677,5,2.2,-0.248,4.474,0.692,5.176,0.066,5.368
"freddo",0.651,3.189,-0.593,0.541,1.493,4.919,-0.536,0.629,0.498,2.838,1.493,4.919,"tatto",1.513,12.115,1.35,0.361,6,4760,4.784,60.995,1.785,12,1.3,0.879,6.941,-1.492,2.278,0.906,6.833
