"targetWord","score.std.gusto","score.gusto","score.std.olfatto","score.olfatto","score.std.tatto","score.tatto","score.std.udito","score.udito","score.std.vista","score.vista","maxPercepStrength.std","maxPercepStrength","domSense","sumPercepStrength.std","sumPercepStrength","entropy","modalityExclusivity","length","CDcount","zipf","fpmw","LogFmpw","ortographNeigh","ortographLevenshtein","FAM.std","FAM","AoA.std","AoA","CA.std","CA"
"aderente",-0.885,0.062,-0.881,0.062,1.098,4.281,-0.687,0.484,1.2,4.5,1.2,4.5,"vista",-0.155,9.39,0.93,0.473,8,81,2.839,0.686,-0.164,2,1.9,0.603,6.471,0.303,4.722,0.597,6.278
"adesivo",-0.719,0.375,-0.693,0.425,1.377,4.75,-0.363,1.1,0.77,3.525,1.377,4.75,"tatto",0.371,10.175,1.218,0.43,7,447,3.638,4.356,0.639,3,1.8,0.559,6,-0.816,3.176,0.402,5.895
"affascinante",-0.524,0.676,-0.281,1.189,-0.197,1.378,0.425,2.703,1.369,4.676,1.369,4.676,"vista",0.792,10.622,1.395,0.377,12,2300,4.357,22.854,1.359,6,1.35,0.841,6.882,0.13,4.5,0.521,6.167
"affievolito",-0.37,1.027,-0.181,1.444,-0.37,1.027,0.721,3.351,0.669,3.216,0.721,3.351,"udito",0.47,10.066,1.475,0.231,11,10,1.931,0.078,-1.108,2,2.95,-0.447,4.167,0.794,5.737,-0.777,3.526
"affilato",-0.634,0.41,-0.794,0.077,1.389,4.641,-0.271,1.179,1.269,4.385,1.389,4.641,"tatto",0.959,10.692,1.132,0.427,8,207,3.274,1.878,0.274,10,1.4,0.34,5.389,-0.012,4.6,0.705,6.263
"affollato",-0.805,0.051,0.042,1.846,-0.021,1.692,1.173,4.179,1.518,4.872,1.518,4.872,"vista",1.906,12.641,1.306,0.381,9,316,3.435,2.727,0.436,5,1.7,0.788,6.278,-0.351,4.1,0.606,6.105
"affumicato",1.347,4.765,1.331,4.735,-0.654,0.5,-0.725,0.382,0.689,3.382,1.347,4.765,"gusto",1.988,13.765,1.299,0.318,10,112,3.027,1.06,0.025,3,2.1,0.276,5.474,0.197,4.529,0.504,6.105
"affusolato",-0.894,0.029,-0.873,0.059,1.16,4.382,-0.689,0.441,1.328,4.735,1.328,4.735,"vista",0.032,9.647,0.898,0.488,10,10,1.931,0.078,-1.108,3,2.65,-0.122,4.737,0.898,5.471,-0.065,5.211
"afoso",-0.865,0.091,-0.298,1.273,0.287,2.562,-0.657,0.515,0.291,2.576,0.291,2.576,"vista",-1.242,7.017,1.293,0.354,5,21,2.252,0.171,-0.766,3,1.85,0.445,6.118,0.036,4.353,0.423,5.944
"agro",1.154,4.367,0.376,2.733,-0.717,0.4,-0.838,0.133,-0.274,1.333,1.154,4.367,"gusto",-0.3,8.967,1.197,0.472,4,7,1.89,0.07,-1.154,21,1,-0.957,3.647,0.731,5.312,-1.477,2.667
"alcolico",1.479,4.95,1.168,4.325,-0.785,0.225,-0.749,0.3,0.171,2.25,1.479,4.95,"gusto",1.285,12.05,1.213,0.392,8,155,3.145,1.395,0.144,3,1.8,0.868,6.579,0.385,4.765,0.655,6.474
"allineato",-0.882,0.062,-0.897,0.031,0.894,3.844,-0.658,0.531,1.275,4.656,1.275,4.656,"vista",-0.268,9.125,0.927,0.507,9,41,2.543,0.343,-0.465,5,1.75,0.168,5.111,0.193,4.9,0.276,5.474
"allungato",-0.497,0.757,-0.781,0.135,0.99,3.892,-0.454,0.811,1.452,4.838,1.452,4.838,"vista",0.711,10.432,1.169,0.451,9,134,3.048,1.114,0.047,5,1.75,0.463,5.789,-0.417,3.706,0.288,5.684
"altissimo",-0.788,0.108,-0.734,0.243,0.092,2.027,-0.189,1.378,1.519,4.973,1.519,4.973,"vista",-0.1,8.73,1.105,0.557,9,173,3.189,1.543,0.188,4,1.8,0.967,6.611,-1.242,2.8,0.964,6.737
"alto",-0.792,0.108,-0.753,0.194,0.503,2.889,-0.22,1.324,1.521,4.973,1.521,4.973,"vista",0.259,9.489,1.106,0.513,4,7128,4.975,94.718,1.976,35,1,1.107,6.889,-1.668,2.25,1.055,6.895
"amaranto",-0.684,0.297,-0.762,0.135,-0.773,0.108,-0.814,0,1.459,4.757,1.459,4.757,"vista",-1.574,5.297,0.431,0.898,8,8,2.004,0.094,-1.029,0,2,-0.541,4.412,0.786,5.467,-0.86,3.778
"amaro",1.466,4.865,0.175,2.162,-0.735,0.216,-0.761,0.189,-0.283,1.189,1.466,4.865,"gusto",-0.138,8.622,1.119,0.542,5,271,3.466,2.93,0.467,17,1,0.715,6.647,-1.115,2.778,0.813,6.667
"ambrato",-0.685,0.333,-0.749,0.194,-0.74,0.222,-0.847,0,1.497,4.944,1.497,4.944,"vista",-1.525,5.694,0.531,0.868,7,7,1.844,0.062,-1.205,4,1.8,-0.707,3.684,0.532,5,-0.406,4.474
"ammorbante",-0.586,0.528,0.034,1.861,-0.712,0.278,-0.02,1.806,0.241,2.333,0.241,2.333,"vista",-1.043,6.806,1.402,0.302,10,1,1.191,0.008,-2.108,0,2.7,-0.874,3.167,1.079,6.211,-1.357,2.556
"ammuffito",0.697,3.205,1.191,4.179,-0.136,1.462,-0.735,0.162,1.27,4.385,1.27,4.385,"vista",2.287,13.393,1.366,0.315,9,56,2.709,0.506,-0.295,3,2.4,0.354,5.444,-0.027,4.6,0.435,5.789
"amorale",-0.824,0.029,-0.749,0.194,-0.627,0.444,0.308,2.472,0.542,2.944,0.542,2.944,"vista",-1.349,6.084,1.044,0.479,7,15,2.145,0.132,-0.878,3,1.75,-0.321,4.278,1.064,6.15,-0.538,3.895
"ampio",-0.762,0.167,-0.764,0.162,0.53,2.919,-0.101,1.568,1.436,4.811,1.436,4.811,"vista",0.339,9.626,1.143,0.483,5,337,3.472,2.969,0.473,5,1.5,0.741,6.706,-0.264,4,0.595,6.222
"analitico",-0.834,0.182,-0.834,0.182,-0.752,0.333,-0.104,1.727,-0.007,1.939,-0.007,1.939,"vista",-2.53,4.364,1.189,0.403,9,17,2.145,0.132,-0.878,2,2.5,0.15,5.211,1.426,6.176,-0.773,4.053
"annebbiato",-0.796,0.077,-0.584,0.462,-0.645,0.359,-0.604,0.436,1.519,4.846,1.519,4.846,"vista",-1.11,6.179,0.791,0.772,10,57,2.771,0.584,-0.233,4,2.1,0.18,5.316,0.249,4.647,-0.123,5.053
"annerito",-0.637,0.525,-0.632,0.55,-0.701,0.4,-0.831,0.125,1.408,4.825,1.408,4.825,"vista",-1.392,6.425,0.88,0.732,8,16,2.252,0.171,-0.766,4,1.8,0.113,5,-0.209,4.3,0.212,5.421
"annuvolato",-0.881,0.026,-0.608,0.615,-0.737,0.333,-0.749,0.308,1.425,4.868,1.425,4.868,"vista",-1.551,6.15,0.746,0.787,10,4,1.589,0.031,-1.506,1,2.55,0.337,5.941,-0.691,3.333,0.374,5.889
"ansimante",-0.829,0,-0.718,0.231,-0.449,0.821,1.457,4.769,0.904,3.641,1.457,4.769,"udito",0.365,9.462,1.015,0.504,9,17,2.169,0.14,-0.853,2,2.25,-0.197,4.556,0.406,5.15,0.058,5.105
"antisettico",-0.565,0.541,0.134,2.027,-0.453,0.757,-0.685,0.297,0.428,2.649,0.428,2.649,"vista",-1.141,6.27,1.34,0.375,11,26,2.367,0.226,-0.646,2,2.5,-0.507,4,1.777,6.647,-0.603,4.316
"apatico",-0.779,0.132,-0.714,0.189,-0.678,0.342,0.129,2.053,0.553,2.947,0.553,2.947,"vista",-1.489,5.663,1.078,0.497,7,23,2.27,0.179,-0.747,3,1.85,0.304,5.412,1.193,6.35,0.015,4.947
"aperto",-0.721,0.375,-0.503,0.825,0.68,3.35,-0.01,1.875,1.411,4.825,1.411,4.825,"vista",0.857,11.25,1.327,0.396,6,5121,4.736,54.629,1.737,14,1.15,0.879,6.941,-1.318,2.5,0.883,6.778
"appannato",-0.765,0.184,-0.744,0.179,0.02,1.744,-0.638,0.359,1.542,4.897,1.542,4.897,"vista",-0.585,7.364,0.942,0.641,9,16,2.191,0.148,-0.83,4,1.9,0.277,5.474,-0.156,4.059,0.504,6.158
"appassito",-0.502,0.824,0.057,2.029,0.369,2.706,-0.8,0.206,1.318,4.706,1.318,4.706,"vista",0.441,10.471,1.304,0.43,9,14,2.145,0.132,-0.878,3,2.1,0.3,5.389,-0.461,3.9,0.501,5.895
"appestante",-0.484,0.912,0.962,3.971,-0.753,0.294,-0.595,0.647,-0.11,1.676,0.962,3.971,"olfatto",-0.981,7.5,1.266,0.49,10,1,1.191,0.008,-2.108,0,2.2,-1.542,2.158,0.658,5.214,-1.015,3.526
"appetitoso",1.388,4.703,1.22,4.361,-0.286,1.216,-0.671,0.378,1.171,4.243,1.388,4.703,"gusto",2.822,14.902,1.379,0.29,10,80,2.903,0.795,-0.1,4,2.45,0.337,5.941,-0.24,3.944,0.526,6.167
"appiattito",-0.786,0.128,-0.783,0.103,1.392,4.615,-0.62,0.462,1.434,4.692,1.434,4.692,"vista",0.638,10,0.957,0.459,10,9,1.89,0.07,-1.154,2,2.55,0.152,5.111,-0.063,4.45,0.185,5.316
"appiccicoso",-0.082,1.564,-0.518,0.641,1.519,4.895,-0.514,0.605,0.624,3.077,1.519,4.895,"tatto",1.03,10.782,1.326,0.398,11,144,3.115,1.301,0.114,3,2.05,0.641,6.158,-0.98,2.941,0.502,6.111
"appuntito",-0.657,0.529,-0.835,0.147,1.433,4.941,-0.586,0.676,1.329,4.735,1.433,4.941,"tatto",0.684,11.029,1.097,0.435,9,82,2.907,0.803,-0.096,5,1.75,0.506,5.778,-0.867,3.3,0.695,6.263
