word_english,length,familiar_mean,familiar_n,aoa_subjective_mean,aoa_subjective_n,transparency_mean,transparency_n,lmd_mean,lmd_n,imagine_mean,imagine_n,ser_mean,ser_n,familiar_z,aoa_zscore,transparency_z,lmd_zscore,imagine_zscore,ser_zscore
speedboat,9,6.86,14,3.73,15,6,15,6.2,15,6.14,21,3.93,15,0.88,-0.73,1.23,0.79,1.17,0.97
spellbound,10,4.93,14,5.53,15,4.07,14,4.79,14,2.76,21,3.33,15,-0.87,0.81,-0.38,-0.2,-1.04,0.4
spendthrift,11,3,14,6.6,15,4.55,11,6.42,12,2.05,21,1.2,15,-2.63,1.72,0.01,0.94,-1.51,-1.65
spillover,9,4.71,14,5.2,15,4.5,14,3.07,15,4.57,21,3.47,15,-1.07,0.52,-0.03,-1.4,0.14,0.53
spotlight,9,6.86,14,3.8,15,5.33,15,6.33,15,6.38,21,3.93,15,0.88,-0.68,0.67,0.88,1.32,0.97
spyglass,8,5.07,14,5.27,15,4.36,14,5.36,14,4.57,21,2.6,15,-0.74,0.58,-0.14,0.2,0.14,-0.31
stagecoach,10,5.36,14,5.6,15,3.93,14,7.2,15,4.81,21,3.2,15,-0.48,0.86,-0.5,1.49,0.29,0.27
staircase,9,7,14,2.6,15,3.53,15,1.73,15,6.48,21,2.86,14,1.01,-1.7,-0.83,-2.33,1.38,-0.06
stairway,8,6.86,14,2.6,15,4.07,15,2.8,15,6.43,21,2.33,15,0.88,-1.7,-0.39,-1.59,1.35,-0.56
stairwell,9,6.57,14,3.47,15,3.4,15,2.13,15,6.19,21,2.13,15,0.62,-0.96,-0.94,-2.05,1.2,-0.76
stalemate,9,6.07,14,5.67,15,2.92,13,4.43,14,3.33,21,2.13,15,0.16,0.92,-1.34,-0.45,-0.67,-0.76
stateside,9,4.57,14,6.53,15,4.14,14,4.69,13,3.19,21,1.2,15,-1.2,1.66,-0.32,-0.26,-0.76,-1.65
stationmaster,13,4.57,14,5.87,15,5.15,13,5.27,15,3.86,21,2.07,15,-1.2,1.09,0.52,0.14,-0.33,-0.82
steadfast,9,5.29,14,6.27,15,2.71,14,4.29,14,1.81,21,1.8,15,-0.55,1.43,-1.51,-0.55,-1.67,-1.08
stingray,8,6.43,14,3.6,15,4.47,15,5.07,15,6.14,21,3.27,15,0.49,-0.85,-0.05,0,1.17,0.33
stomachache,11,6.93,14,1.93,15,6.4,15,5.2,15,3.43,21,4.93,15,0.94,-2.27,1.56,0.09,-0.61,1.94
stovepipe,9,3.79,14,5.33,15,4.83,12,5.07,15,4.43,21,2.47,15,-1.91,0.64,0.25,0,0.04,-0.44
stowaway,8,5.5,14,5.53,15,4.5,12,4.07,15,3.14,21,2.93,15,-0.35,0.81,-0.03,-0.7,-0.8,0.01
streamline,10,5.79,14,6.27,15,3.93,14,5.21,14,2.95,21,2,15,-0.09,1.43,-0.5,0.1,-0.92,-0.88
striptease,10,6.29,14,6.67,15,5.27,15,4.27,15,5.43,21,4.07,15,0.36,1.77,0.61,-0.56,0.7,1.1
sunbeam,7,5.93,14,3.87,15,5.93,15,4.67,15,5.67,21,3.8,15,0.04,-0.62,1.17,-0.28,0.85,0.85
sunburn,7,7,14,2.73,15,6.36,14,5.47,15,6.43,21,5,15,1.01,-1.59,1.52,0.28,1.35,2
