word_spanish,concrete_mean,familiar_mean,similar_word,similarity_mean,similarity_sd,concrete_mean_similar_word,familiar_mean_similar_word,less_similar_word,less_similarity_mean,less_similarity_sd,concrete_mean_less_similar_word,familiar_mean_less_similar_word,,,,,,,,,,,,,
chica,5.76,6.53,niña,7.57,1.5,6.25,6.9,viuda,3,1.93,5.96,5.44,,,,,,,,,,,,,
chichón,5.95,4.45,bulto,5.83,2.18,3.91,4.8,joroba,3.23,2.21,4.9,4.95,,,,,,,,,,,,,
codorniz,6.7,5.1,perdiz,6.4,1.99,6.5,4.85,liebre,3.7,2.31,6.2,3.68,,,,,,,,,,,,,
colchón,6.21,6.22,cojín,5.37,2.04,6.02,6.27,cortinas,4.17,1.95,6.2,5.66,,,,,,,,,,,,,
colmena,5.4,4.5,hormiguero,5.75,2.24,5.89,5.22,acuario,2.87,1.96,5.97,5.77,,,,,,,,,,,,,
comadrona,6.45,6.45,ginecóloga,6.5,1.7,6.25,5.9,maestra,3.46,2.16,5.85,5.98,,,,,,,,,,,,,
comedor,6.23,6.12,restaurante,6.07,1.76,6.03,6.19,despacho,3.7,1.97,5.42,6.14,,,,,,,,,,,,,
concha,6.1,4.95,cáscara,5.48,2.28,5.89,5.44,escamas,2.83,1.29,5.48,3.82,,,,,,,,,,,,,
cordillera,5.72,4.76,sierra,6.4,2.36,5.47,5.68,valle,4.75,2.5,5.64,5.48,,,,,,,,,,,,,
corteza,4.77,4.91,envoltura,5.34,2.18,3,4.05,forro,2.6,1.94,4.98,5.34,,,,,,,,,,,,,
cristal,5.88,6.64,lente,5.63,2.14,5.25,4.85,diamante,4.43,2.1,6.2,5.6,,,,,,,,,,,,,
cuchara,6.65,6.9,cazo,5.43,1.91,5.45,5.35,cacerola,3.86,2.07,5.9,5.4,,,,,,,,,,,,,
cuchillo,6.51,6.34,espada,6.77,1.38,6.46,5.3,pistola,4.97,2.14,5.76,4.78,,,,,,,,,,,,,
cuero,5.1,5.38,piel,5.66,2.35,5.3,6.23,caucho,4.33,1.88,5.65,4.8,,,,,,,,,,,,,
cuna,5.86,4.72,litera,5.45,1.76,6.45,5.5,taburete,2.1,1.35,6.14,4.91,,,,,,,,,,,,,
desayuno,5.81,5.99,almuerzo,6.57,2.1,5.7,5.47,banquete,4.27,2.1,5.51,5.77,,,,,,,,,,,,,
dueño,4.81,5.28,patrón,6.4,2.06,4.31,5.34,cliente,3.33,1.77,5.05,6.34,,,,,,,,,,,,,
eco,5.17,5.01,ruido,5.13,1.59,4.04,6.39,susurro,3.89,1.99,5.12,6.02,,,,,,,,,,,,,
enchufe,5.85,6.45,cargador,5.43,2.36,5.5,6.9,bombilla,4,2.14,6.36,6.84,,,,,,,,,,,,,
encina,5.2,3.9,roble,6.87,1.2,6.47,4.17,cerezo,4.4,2.18,6.6,5.85,,,,,,,,,,,,,
estiércol,6.41,4.39,abono,7.54,1.71,4.45,5.5,vómito,4.04,2.4,6.1,6.35,,,,,,,,,,,,,
farol,4.86,4.73,linterna,5.5,2.08,6.37,6.03,fuego,2.41,1.74,5.82,6.76,,,,,,,,,,,,,
flequillo,5.65,6.29,mechas,5.96,1.29,5.2,5.85,vello,3.48,2.1,4.98,4.34,,,,,,,,,,,,,
frambuesa,6.15,5.7,mora,5.55,1.97,4.84,4.75,aceituna,2.63,1.81,6.15,6.45,,,,,,,,,,,,,
