word_chinese,translate_word_english,valence_mean_all,valence_sd_all,arousal_mean_all,arousal_sd_all,dominance_mean_all,dominance_sd_all,familiarity_mean_all,familiarity_sd_all,valence_mean_old,valence_sd_old,arousal_mean_old,arousal_sd_old,dominance_mean_old,dominance_sd_old,familiarity_mean_old,familiarity_sd_old,valence_mean_young,valence_sd_young,arousal_mean_young,arousal_sd_young,dominance_mean_young,dominance_sd_young,familiarity_mean_young,familiarity_sd_young,valence_n_all,valence_n_old,valance_n_young,df_n_all,df_n_old,df_n_young,frequency,complexity,char_1,char_1_frequency,char_1_stroke,char_2,char_2_frequency,char_2_stroke,char_3,char_3_frequency,char_3_stroke,char_4,char_4_frequency,char_4_stroke
班门弄斧,Display one's slight skill before an ecpert,3.33 ,0.95 ,5.58 ,1.31 ,5.25 ,1.68 ,7.19 ,1.21 ,3.29 ,1.06 ,5.62 ,1.24 ,5.20 ,1.73 ,6.92 ,1.12 ,3.38 ,0.88 ,5.54 ,1.38 ,5.30 ,1.66 ,7.48 ,1.27 ,45 ,21 ,24 ,48,25,23,101.00 ,28.00 ,班,262.18 ,10.00 ,门,1206.79 ,3.00 ,弄,94.01 ,7.00 ,斧,9.75 ,8.00 
半吞半吐,"Half concealing, half telling",3.46 ,1.05 ,5.13 ,1.31 ,5.02 ,1.48 ,6.63 ,1.39 ,3.24 ,1.13 ,4.84 ,1.21 ,5.25 ,1.33 ,6.29 ,1.16 ,3.70 ,0.93 ,5.43 ,1.38 ,4.80 ,1.61 ,6.96 ,1.54 ,48 ,25 ,23 ,49,24,25,54.00 ,23.00 ,半,412.06 ,5.00 ,吞,39.32 ,7.00 ,半,412.06 ,5.00 ,吐,49.38 ,6.00 
棒打鸳鸯,Break up affectionate couples,3.10 ,1.24 ,6.49 ,1.24 ,3.98 ,1.96 ,7.00 ,1.32 ,3.66 ,1.29 ,6.08 ,1.28 ,4.26 ,1.89 ,6.74 ,1.01 ,2.52 ,0.90 ,6.90 ,1.05 ,3.71 ,2.03 ,7.25 ,1.54 ,105 ,53 ,52 ,47,23,24,37.00 ,37.00 ,棒,22.06 ,12.00 ,打,847.71 ,5.00 ,鸳,2.20 ,10.00 ,鸯,2.18 ,10.00 
抱恨终身,Hatred for life,2.75 ,1.33 ,6.59 ,1.48 ,4.16 ,1.95 ,7.14 ,1.04 ,3.02 ,1.42 ,6.28 ,1.61 ,4.76 ,2.03 ,6.76 ,1.16 ,2.48 ,1.18 ,6.91 ,1.26 ,3.54 ,1.69 ,7.54 ,0.72 ,212 ,107 ,105 ,49,25,24,19.00 ,32.00 ,抱,86.85 ,8.00 ,恨,59.77 ,9.00 ,终,386.99 ,8.00 ,身,1129.97 ,7.00 
悲愤交加,Grief and indignation,2.95 ,1.28 ,6.92 ,1.29 ,4.61 ,1.87 ,7.14 ,1.24 ,2.96 ,1.35 ,6.79 ,1.37 ,4.88 ,1.90 ,6.80 ,1.38 ,2.94 ,1.23 ,7.04 ,1.21 ,4.33 ,1.83 ,7.50 ,0.98 ,101 ,48 ,53 ,49,25,24,67.00 ,35.00 ,悲,112.19 ,12.00 ,愤,31.74 ,12.00 ,交,1106.25 ,6.00 ,加,1892.76 ,5.00 
悲观厌世,Be pessimistic and worldweary,2.65 ,1.05 ,6.08 ,1.40 ,4.14 ,1.88 ,7.00 ,1.26 ,2.63 ,1.09 ,5.96 ,1.40 ,4.39 ,1.95 ,6.64 ,1.45 ,2.67 ,1.00 ,6.19 ,1.40 ,3.83 ,1.77 ,7.43 ,0.84 ,103 ,51 ,52 ,51,28,23,104.00 ,29.00 ,悲,112.19 ,12.00 ,观,879.67 ,6.00 ,厌,48.74 ,6.00 ,世,1564.19 ,5.00 
悲痛欲绝,Distraught,2.25 ,1.06 ,7.30 ,1.36 ,4.52 ,2.15 ,7.74 ,1.00 ,2.14 ,1.06 ,6.90 ,1.58 ,4.91 ,2.49 ,7.41 ,0.91 ,2.35 ,1.07 ,7.65 ,1.03 ,4.17 ,1.76 ,8.04 ,1.00 ,44 ,21 ,23 ,46,22,24,614.00 ,44.00 ,悲,112.19 ,12.00 ,痛,230.66 ,12.00 ,欲,119.71 ,11.00 ,绝,360.98 ,9.00 
笨头笨脑,Stupid,3.33 ,0.95 ,5.10 ,1.24 ,4.58 ,1.77 ,7.19 ,1.21 ,3.28 ,0.84 ,5.12 ,1.20 ,4.13 ,1.52 ,6.96 ,1.02 ,3.39 ,1.08 ,5.09 ,1.31 ,5.00 ,1.91 ,7.40 ,1.35 ,48 ,25 ,23 ,48,23,25,81.00 ,37.00 ,笨,14.41 ,11.00 ,头,1198.71 ,5.00 ,笨,14.41 ,11.00 ,脑,314.90 ,10.00 
笨嘴拙舌,Awkward in speech,3.53 ,1.06 ,5.38 ,1.36 ,4.77 ,1.67 ,6.81 ,1.28 ,3.63 ,0.82 ,5.25 ,1.19 ,4.71 ,1.49 ,6.54 ,1.25 ,3.43 ,1.27 ,5.52 ,1.53 ,4.83 ,1.86 ,7.08 ,1.28 ,47 ,24 ,23 ,48,24,24,44.00 ,41.00 ,笨,14.41 ,11.00 ,嘴,97.43 ,16.00 ,拙,4.62 ,8.00 ,舌,13.62 ,6.00 
比手划脚,Mime,3.79 ,1.24 ,5.44 ,1.20 ,5.82 ,1.51 ,7.18 ,1.15 ,3.84 ,0.99 ,5.28 ,0.94 ,5.83 ,1.27 ,7.04 ,0.95 ,3.74 ,1.48 ,5.61 ,1.44 ,5.80 ,1.73 ,7.32 ,1.31 ,48 ,25 ,23 ,49,24,25,38.00 ,25.00 ,比,1091.32 ,4.00 ,手,1414.05 ,4.00 ,划,509.89 ,6.00 ,脚,176.83 ,11.00 
变相体罚,Disguised corporal punishment,2.80 ,1.04 ,6.47 ,1.06 ,3.69 ,1.97 ,6.88 ,1.45 ,2.91 ,1.02 ,6.28 ,1.04 ,4.50 ,2.17 ,6.79 ,0.98 ,2.69 ,1.05 ,6.67 ,1.05 ,2.88 ,1.36 ,6.96 ,1.83 ,104 ,53 ,51 ,48,24,24,79.00 ,33.00 ,变,1060.95 ,8.00 ,相,1565.14 ,9.00 ,体,2253.44 ,7.00 ,罚,125.89 ,9.00 
别无出路,There is no way out,3.34 ,1.22 ,5.70 ,1.69 ,3.29 ,1.76 ,6.83 ,1.51 ,3.38 ,1.35 ,5.38 ,1.79 ,3.72 ,1.97 ,6.32 ,1.80 ,3.30 ,1.11 ,6.04 ,1.55 ,2.83 ,1.40 ,7.39 ,0.84 ,47 ,24 ,23 ,48,25,23,90.00 ,29.00 ,别,1182.98 ,7.00 ,无,1828.92 ,4.00 ,出,4757.26 ,5.00 ,路,1036.73 ,13.00 
秉性难移,It's hard to change one's nature,3.60 ,1.12 ,5.53 ,1.36 ,3.34 ,1.59 ,7.21 ,1.23 ,3.96 ,1.07 ,5.26 ,1.30 ,3.61 ,1.75 ,6.83 ,1.03 ,3.25 ,1.05 ,5.79 ,1.38 ,3.08 ,1.41 ,7.58 ,1.32 ,106 ,53 ,53 ,47,23,24,45.00 ,37.00 ,秉,3.32 ,8.00 ,性,1799.09 ,8.00 ,难,719.94 ,10.00 ,移,236.36 ,11.00 
病病歪歪,Illness,3.04 ,1.25 ,5.08 ,1.53 ,4.02 ,1.69 ,6.78 ,1.50 ,2.84 ,1.52 ,4.96 ,1.46 ,4.17 ,1.66 ,6.92 ,1.02 ,3.26 ,0.86 ,5.22 ,1.62 ,3.88 ,1.74 ,6.64 ,1.87 ,48 ,25 ,23 ,49,24,25,57.00 ,38.00 ,病,616.88 ,10.00 ,病,616.88 ,10.00 ,歪,23.20 ,9.00 ,歪,23.20 ,9.00 
不分皂白,Without distinguishing between right and wrong,2.75 ,1.12 ,6.19 ,1.77 ,4.72 ,1.65 ,7.18 ,0.83 ,2.96 ,1.04 ,5.46 ,1.86 ,4.42 ,1.53 ,7.04 ,0.77 ,2.54 ,1.18 ,6.92 ,1.35 ,5.04 ,1.76 ,7.33 ,0.87 ,48 ,24 ,24 ,50,26,24,95.00 ,20.00 ,不,9822.27 ,4.00 ,分,3077.20 ,4.00 ,皂,5.52 ,7.00 ,白,720.16 ,5.00 
