word_italian,type_pain,pos,psycho_social_pain,physical_pain,familiar_mean_all,familiar_z_all,familiar_know_meaning_percent_all,aoa_mean_all,aoa_z_all,aoa_known_meaning_percent_all,imagine_mean_all,imagine_z_all,imagine_known_meaning_percent_all,concrete_mean_all,concrete_z_all,concrete_known_meaning_percent_all,context_avaliability_mean_all,context_avaliability_z_all,context_avaliability_known_meaning_percent_all,valence_mean_all,valence_z_all,valence_known_meaning_percent_all,arousal_mean_all,arousal_z_all,arousal_known_meaning_percent_all,pain_mean_all,pain_z_all,pain_known_meaning_percent_all,intensity_mean_all,intensity_z_all,intensity_known_meaning_percent_all,unpleasant_mean_all,unpleasant_z_all,unpleasant_known_meaning_percent_all,familiar_mean_female,familiar_z_female,familiar_know_meaning_percent_female,aoa_mean_female,aoa_z_female,aoa_known_meaning_percent_female,imagine_mean_female,imagine_z_female,imagine_known_meaning_percent_female,concrete_mean_female,concrete_z_female,concrete_known_meaning_percent_female,context_avaliability_mean_female,context_avaliability_z_female,context_avaliability_known_meaning_percent_female,valence_mean_female,valence_z_female,valence_known_meaning_percent_female,arousal_mean_female,arousal_z_female,arousal_known_meaning_percent_female,pain_mean_female,pain_z_female,pain_known_meaning_percent_female,intensity_mean_female,intensity_z_female,intensity_known_meaning_percent_female,unpleasant_mean_female,unpleasant_z_female,unpleasant_known_meaning_percent_female,familiar_mean_male,familiar_z_male,familiar_know_meaning_percent_male,aoa_mean_male,aoa_z_male,aoa_known_meaning_percent_male,imagine_mean_male,imagine_z_male,imagine_known_meaning_percent_male,concrete_mean_male,concrete_z_male,concrete_known_meaning_percent_male,context_avaliability_mean_male,context_avaliability_z_male,context_avaliability_known_meaning_percent_male,valence_mean_male,valence_z_male,valence_known_meaning_percent_male,arousal_mean_male,arousal_z_male,arousal_known_meaning_percent_male,pain_mean_male,pain_z_male,pain_known_meaning_percent_male,intensity_mean_male,intensity_z_male,intensity_known_meaning_percent_male,unpleasant_mean_male,unpleasant_z_male,unpleasant_known_meaning_percent_male,zipf,n,old20,letters,frequency_max_n,frequency_mean_n,cd_count,coltheart_n
addio,psycho-social,n,100%,0%,5.06,0.05,100%,3.52,-0.49,100%,4.84,-0.10,100%,3.15,-0.66,100%,5.81,0.36,100%,-2.03,-0.65,100%,5.12,0.47,100%,5.88,0.79,100%,72.69,0.61,100%,86.88,0.84,100%,5.00,-0.01,100%,3.32,-0.58,100%,4.74,-0.10,100%,3.07,-0.65,100%,5.82,0.35,100%,-2.03,-0.62,100%,5.03,0.39,100%,5.79,0.76,100%,72.21,0.61,100%,87.39,0.85,100%,5.40,0.39,100%,4.60,-0.01,100%,5.40,-0.07,100%,3.60,-0.77,100%,5.75,0.43,100%,-2.00,-0.81,100%,5.60,0.91,100%,6.50,1.00,100%,76.00,0.61,100%,84.00,0.80,100%,4.890197134,9,1.2,5,4.955958132,2.553395583,5381,13
addominale,physical,a,,,5.82,0.31,100%,4.95,0.17,100%,6.07,0.65,100%,5.78,0.70,100%,5.73,0.39,100%,0.05,1.07,100%,3.11,-0.42,100%,3.98,-0.23,100%,37.04,-0.52,100%,40.52,-0.59,100%,6.00,0.36,100%,5.05,0.20,100%,6.05,0.63,100%,5.93,0.77,100%,5.85,0.45,100%,0.13,1.15,100%,3.03,-0.48,100%,4.05,-0.20,100%,37.39,-0.51,100%,41.83,-0.57,100%,5.44,0.20,100%,4.69,0.07,100%,6.11,0.69,100%,5.44,0.55,100%,5.47,0.25,100%,-0.12,0.87,100%,3.28,-0.28,100%,3.82,-0.29,100%,36.19,-0.55,100%,36.93,-0.65,100%,3.257249155,1,3.1,10,3.518282164,3.518282164,169,1
affanno,physical,n,25%,75%,5.30,0.13,100%,5.16,0.25,100%,5.71,0.47,100%,5.03,0.30,100%,5.69,0.37,100%,-1.19,0.02,100%,4.91,0.38,100%,3.57,-0.31,100%,46.46,-0.22,100%,48.22,-0.30,100%,5.39,0.10,100%,5.33,0.27,100%,5.56,0.43,100%,5.08,0.29,100%,5.72,0.34,100%,-1.12,0.14,100%,5.00,0.42,100%,3.79,-0.27,100%,49.73,-0.19,100%,50.38,-0.27,100%,5.10,0.19,100%,4.73,0.21,100%,6.11,0.59,100%,4.90,0.33,100%,5.60,0.42,100%,-1.36,-0.29,100%,4.57,0.23,100%,3.09,-0.41,100%,37.00,-0.31,100%,43.09,-0.37,100%,2.781987837,3,1.8,7,2.728742325,1.936519596,62,5
affaticamento,physical,n,,,5.96,0.54,100%,4.51,-0.11,100%,5.67,0.33,100%,5.07,0.16,100%,6.30,0.60,100%,-1.07,-0.08,100%,4.14,-0.16,100%,4.40,-0.05,100%,49.57,-0.14,100%,52.57,-0.16,100%,5.85,0.46,100%,4.62,-0.06,100%,5.52,0.29,100%,5.14,0.19,100%,6.32,0.57,100%,-1.18,-0.13,100%,4.09,-0.18,100%,4.56,-0.01,100%,49.00,-0.16,100%,54.37,-0.10,100%,6.31,0.78,100%,4.08,-0.29,100%,6.15,0.50,100%,4.83,0.06,100%,6.25,0.70,100%,-0.67,0.11,100%,4.31,-0.11,100%,3.85,-0.21,100%,51.46,-0.06,100%,46.92,-0.35,100%,2.787520326,1,2.75,13,1.19092323,1.19092323,57,2
affilato,physical,a,,,4.80,-0.23,100%,3.52,-0.54,100%,6.48,0.79,100%,6.38,0.91,100%,5.85,0.46,100%,-0.88,0.08,100%,4.25,0.13,100%,4.86,0.45,100%,61.14,0.43,100%,62.90,0.27,100%,5.15,-0.07,100%,3.69,-0.45,100%,6.54,0.75,100%,6.34,0.83,100%,5.97,0.44,100%,-1.13,-0.12,100%,4.07,0.10,100%,5.17,0.55,100%,63.00,0.50,100%,63.50,0.33,100%,4.35,-0.44,100%,3.29,-0.66,100%,6.40,0.85,100%,6.43,1.03,100%,5.67,0.47,100%,-0.50,0.39,100%,4.52,0.17,100%,4.43,0.30,100%,58.45,0.33,100%,62.05,0.18,100%,3.2737086,10,1.4,8,3.700797515,2.167797532,207,10
affliggere,psycho-social,v,64%,36%,4.04,-0.46,100%,5.77,0.67,100%,3.07,-1.00,100%,2.48,-0.90,100%,3.67,-0.80,100%,-1.83,-0.41,100%,3.84,-0.24,100%,5,0.37,100%,61.53,0.26,100%,65.83,0.16,100%,4.30,-0.45,100%,5.76,0.63,100%,3.15,-0.98,100%,2.41,-0.93,100%,3.70,-0.76,100%,-1.86,-0.39,100%,3.85,-0.21,100%,4.95,0.35,100%,63.59,0.33,100%,67.45,0.17,100%,3.31,-0.51,100%,5.81,0.76,100%,2.88,-1.07,100%,2.67,-0.81,100%,3.59,-0.88,100%,-1.76,-0.45,100%,3.80,-0.32,100%,5.12,0.44,100%,56.25,0.10,100%,61.82,0.14,100%,2.120342156,2,2.05,10,1.491953226,1.429483857,12,3
afflizione,psycho-social,n,79%,21%,4.21,-1.13,100%,6.09,1.02,100%,4.31,-0.28,100%,2.57,-0.75,100%,4.09,-0.68,100%,-2.52,-1.16,97%,3.62,-0.24,100%,5.26,0.60,100%,65.97,0.45,100%,71.14,0.54,100%,4.50,-1.03,100%,6.17,0.98,100%,4.68,-0.10,100%,2.67,-0.69,100%,3.96,-0.82,100%,-2.73,-1.19,96%,3.91,-0.09,100%,5.50,0.66,100%,69.83,0.47,100%,74.88,0.58,100%,3.44,-1.40,100%,5.91,1.13,100%,3.50,-0.68,100%,2.33,-0.87,100%,4.36,-0.41,100%,-2.09,-1.10,100%,3.00,-0.56,100%,4.73,0.45,100%,57.91,0.41,100%,62.64,0.47,100%,2.561991092,2,2.5,10,1.588863239,1.540408232,41,2
affogare,physical,v,,,5.46,0.41,100%,3.60,-0.87,100%,6.41,0.81,100%,5.81,0.67,100%,5.86,0.53,100%,-2.66,-1.22,100%,6.05,1.03,100%,6.09,0.96,100%,82.34,1.02,100%,94.45,1.22,100%,5.60,0.46,100%,3.66,-0.83,100%,6.54,0.89,100%,5.74,0.66,100%,6.07,0.70,100%,-2.69,-1.12,100%,6.19,1.12,100%,6.14,0.93,100%,83.48,1.04,100%,94.76,1.23,100%,5.25,0.34,100%,3.50,-0.96,100%,6.19,0.67,100%,5.94,0.67,100%,5.50,0.24,100%,-2.60,-1.42,100%,5.79,0.87,100%,6.00,1.01,100%,80.13,1.00,100%,93.77,1.19,100%,3.314774871,2,1.8,8,2.381254928,1.874134709,241,2
aggressione,physical,n,,,5.60,0.37,100%,4.71,0.12,100%,6.07,0.63,100%,5.02,0.38,100%,5.95,0.54,100%,-2.77,-1.20,100%,6.49,1.30,100%,6.60,1.09,100%,84.19,0.95,100%,91.33,1.07,100%,5.96,0.43,100%,4.82,0.19,100%,6.11,0.62,100%,4.97,0.35,100%,6.22,0.59,100%,-2.81,-1.23,100%,6.49,1.29,100%,6.61,1.06,100%,85.72,0.99,100%,92.11,1.09,100%,4.43,0.19,100%,4.14,-0.30,100%,5.86,0.70,100%,5.29,0.51,100%,4.33,0.21,100%,-2.50,-1.06,100%,6.50,1.34,100%,6.57,1.21,100%,75.00,0.69,100%,86.50,0.95,100%,4.195244604,4,1.75,11,3.266470191,1.70980997,1300,5
aggressivo,physical,a,,,5.86,0.71,100%,4.14,-0.40,100%,5.69,0.42,100%,4.13,-0.13,100%,5.70,0.45,100%,-2.05,-0.59,100%,6.35,1.15,100%,4.83,0.27,100%,56.09,0.12,100%,64.07,0.11,100%,5.95,0.60,100%,4.15,-0.40,100%,5.69,0.38,100%,4.05,-0.22,100%,5.62,0.41,100%,-2.14,-0.62,100%,6.40,1.15,100%,4.90,0.31,100%,56.98,0.10,100%,67.76,0.16,100%,5.62,1.05,100%,4.13,-0.42,100%,5.69,0.50,100%,4.33,0.08,100%,5.88,0.52,100%,-1.82,-0.52,100%,6.20,1.15,100%,4.65,0.17,100%,53.81,0.17,100%,54.94,-0.02,100%,3.685773252,3,2.1,10,3.428969333,3.131856975,547,4
ago,physical,n,,,5.46,0.43,100%,3,-0.98,100%,7,1.27,100%,6.89,1.38,100%,6.25,0.89,100%,-0.57,0.44,100%,3.84,-0.20,100%,4.74,0.14,100%,52.28,-0.11,100%,49.31,-0.29,100%,5.57,0.54,100%,3.10,-0.93,100%,7.00,1.26,100%,6.85,1.28,100%,6.26,0.91,100%,-0.46,0.52,100%,3.82,-0.20,100%,4.79,0.14,100%,50.33,-0.18,100%,46.92,-0.37,100%,5.11,0.11,100%,2.67,-1.13,100%,7.00,1.29,100%,7.00,1.66,100%,6.22,0.83,100%,-0.89,0.19,100%,3.89,-0.22,100%,4.56,0.15,100%,58.11,0.11,100%,56.22,-0.07,100%,3.936778425,41,1,3,5.214093351,1.880170075,813,47
