word_italian,type_pain,pos,psycho_social_pain,physical_pain,familiar_mean_all,familiar_z_all,familiar_know_meaning_percent_all,aoa_mean_all,aoa_z_all,aoa_known_meaning_percent_all,imagine_mean_all,imagine_z_all,imagine_known_meaning_percent_all,concrete_mean_all,concrete_z_all,concrete_known_meaning_percent_all,context_avaliability_mean_all,context_avaliability_z_all,context_avaliability_known_meaning_percent_all,valence_mean_all,valence_z_all,valence_known_meaning_percent_all,arousal_mean_all,arousal_z_all,arousal_known_meaning_percent_all,pain_mean_all,pain_z_all,pain_known_meaning_percent_all,intensity_mean_all,intensity_z_all,intensity_known_meaning_percent_all,unpleasant_mean_all,unpleasant_z_all,unpleasant_known_meaning_percent_all,familiar_mean_female,familiar_z_female,familiar_know_meaning_percent_female,aoa_mean_female,aoa_z_female,aoa_known_meaning_percent_female,imagine_mean_female,imagine_z_female,imagine_known_meaning_percent_female,concrete_mean_female,concrete_z_female,concrete_known_meaning_percent_female,context_avaliability_mean_female,context_avaliability_z_female,context_avaliability_known_meaning_percent_female,valence_mean_female,valence_z_female,valence_known_meaning_percent_female,arousal_mean_female,arousal_z_female,arousal_known_meaning_percent_female,pain_mean_female,pain_z_female,pain_known_meaning_percent_female,intensity_mean_female,intensity_z_female,intensity_known_meaning_percent_female,unpleasant_mean_female,unpleasant_z_female,unpleasant_known_meaning_percent_female,familiar_mean_male,familiar_z_male,familiar_know_meaning_percent_male,aoa_mean_male,aoa_z_male,aoa_known_meaning_percent_male,imagine_mean_male,imagine_z_male,imagine_known_meaning_percent_male,concrete_mean_male,concrete_z_male,concrete_known_meaning_percent_male,context_avaliability_mean_male,context_avaliability_z_male,context_avaliability_known_meaning_percent_male,valence_mean_male,valence_z_male,valence_known_meaning_percent_male,arousal_mean_male,arousal_z_male,arousal_known_meaning_percent_male,pain_mean_male,pain_z_male,pain_known_meaning_percent_male,intensity_mean_male,intensity_z_male,intensity_known_meaning_percent_male,unpleasant_mean_male,unpleasant_z_male,unpleasant_known_meaning_percent_male,zipf,n,old20,letters,frequency_max_n,frequency_mean_n,cd_count,coltheart_n
penare,psycho-social,v,88%,12%,3.87,-0.62,98%,5.62,0.46,98%,3.69,-0.69,98%,3.09,-0.75,98%,4.40,-0.37,98%,-2.10,-0.55,98%,4.40,0.03,98%,5.40,0.38,98%,62.29,0.18,98%,71,0.30,98%,4.26,-0.40,97%,5.74,0.53,97%,3.59,-0.72,97%,3.13,-0.79,97%,4.48,-0.38,97%,-2.19,-0.59,97%,4.80,0.18,97%,5.65,0.45,97%,65.77,0.25,97%,72.97,0.32,97%,3.13,-1.06,100%,5.38,0.31,100%,3.88,-0.64,100%,3.00,-0.68,100%,4.24,-0.35,100%,-1.94,-0.46,100%,3.60,-0.28,100%,4.94,0.26,100%,55.94,0.06,100%,67.06,0.27,100%,2.622286994,12,1.25,6,3.938335038,2.198469533,51,12
penetrante,physical,a,,,4.48,-0.11,100%,5.60,0.43,100%,4.94,0.09,100%,4.63,0.04,100%,3.96,-0.58,100%,-1.22,0.13,100%,4.96,0.33,100%,5.04,0.17,100%,66.63,0.29,100%,66.10,0.12,100%,4.44,-0.15,100%,5.59,0.40,100%,4.97,0.12,100%,4.50,-0.03,100%,3.84,-0.66,100%,-1.00,0.31,100%,5.06,0.31,100%,4.88,0.05,100%,67.78,0.29,100%,64.00,0.03,100%,4.56,-0.04,100%,5.63,0.47,100%,4.88,0.02,100%,4.93,0.21,100%,4.18,-0.42,100%,-1.69,-0.23,100%,4.73,0.36,100%,5.38,0.40,100%,64.47,0.28,100%,70.44,0.29,100%,2.630255924,1,2.1,10,2.381254928,2.381254928,49,1
penetrare,physical,v,,,4.76,-0.07,100%,6.03,0.76,100%,5.69,0.37,100%,5.62,0.47,100%,5.05,0.04,100%,-0.06,0.88,100%,4.87,0.26,100%,4.19,-0.02,100%,49.23,-0.04,100%,53.44,-0.17,100%,4.63,-0.20,100%,6.15,0.86,100%,5.62,0.27,100%,5.38,0.37,100%,5.11,-0.01,100%,-0.13,0.93,100%,4.62,0.05,100%,4.08,-0.17,100%,45.78,-0.18,100%,48.08,-0.37,100%,4.96,0.12,100%,5.83,0.59,100%,5.83,0.52,100%,6.00,0.62,100%,4.95,0.13,100%,0.05,0.80,100%,5.24,0.57,100%,4.36,0.21,100%,54.76,0.18,100%,61.80,0.13,100%,3.450994618,1,1.8,9,1.889893234,1.889893234,311,1
penoso,psycho-social,a,95%,5%,4.57,-0.18,100%,5.39,0.37,100%,3.50,-0.86,100%,2.92,-0.89,100%,4.09,-0.53,100%,-1.66,-0.36,100%,3.18,-0.66,100%,2.86,-0.63,100%,31.60,-0.62,100%,50.48,-0.27,100%,4.83,-0.13,100%,5.33,0.37,100%,3.41,-0.95,100%,2.76,-0.97,100%,4.16,-0.52,100%,-1.85,-0.46,100%,3.43,-0.67,100%,3.03,-0.63,100%,34.33,-0.59,100%,52.00,-0.25,100%,4.17,-0.27,100%,5.50,0.36,100%,3.65,-0.72,100%,3.17,-0.76,100%,3.95,-0.57,100%,-1.32,-0.19,100%,2.80,-0.65,100%,2.60,-0.62,100%,27.24,-0.67,100%,48.12,-0.30,100%,3.182149306,8,1.5,6,3.407089132,2.148633547,170,8
percuotere,physical,v,,,3.38,-1.05,100%,5.62,0.48,100%,5.42,0.44,100%,5.13,0.41,100%,4.69,0.05,100%,-1.81,-0.38,100%,6.10,0.94,100%,5.29,0.48,100%,72.63,0.36,100%,76.38,0.27,100%,3.54,-1.08,100%,5.39,0.42,100%,5.46,0.41,100%,5.04,0.33,100%,4.65,-0.01,100%,-1.81,-0.37,100%,6.04,0.89,100%,5.20,0.42,100%,72.58,0.29,100%,77.92,0.29,100%,2.60,-0.92,100%,6.67,0.77,100%,5.20,0.56,100%,5.60,0.80,100%,4.83,0.31,100%,-1.83,-0.43,100%,6.33,1.10,100%,5.67,0.71,100%,72.83,0.67,100%,69.67,0.21,100%,1.367014489,2,2.25,10,1.19092323,1.19092323,2,3
perdita,psycho-social,n,97%,3%,5.72,0.45,100%,3.41,-0.84,100%,4.58,-0.02,100%,4.68,0.19,100%,5.22,0.38,100%,-2.09,-0.58,100%,4.69,0.14,100%,5.58,0.61,100%,78.19,0.58,100%,84.56,0.59,100%,6.04,0.53,100%,3.14,-0.93,100%,4.92,0.09,100%,4.77,0.19,100%,5.38,0.43,100%,-2.12,-0.59,100%,4.96,0.33,100%,5.72,0.71,100%,79.77,0.62,100%,84.96,0.58,100%,4.20,0.04,100%,4.67,-0.40,100%,2.80,-0.56,100%,4.20,0.18,100%,4.50,0.19,100%,-2.00,-0.53,100%,3.67,-0.57,100%,5.00,0.21,100%,71.33,0.41,100%,82.83,0.64,100%,4.511899907,7,1.5,7,3.881562242,2.193943091,3087,9
perenne,physical,a,,,5.71,0.39,100%,4.82,0.14,100%,3.83,-0.42,100%,2.25,-1.05,100%,3.87,-0.46,100%,-0.23,0.75,100%,2.44,-0.72,100%,2.52,-0.72,100%,29.52,-0.49,100%,38.19,-0.46,100%,5.67,0.36,100%,4.67,0.10,100%,3.85,-0.40,100%,2.36,-1.08,100%,3.96,-0.42,100%,-0.26,0.70,100%,2.42,-0.76,100%,2.56,-0.74,100%,31.08,-0.45,100%,39.22,-0.45,100%,6.00,0.65,100%,5.75,0.40,100%,3.75,-0.53,100%,1.33,-0.85,100%,3.25,-0.74,100%,0.00,1.11,100%,2.67,-0.39,100%,2.25,-0.60,100%,19.75,-0.72,100%,31.25,-0.53,100%,2.81417252,1,1.85,7,1.96907448,1.96907448,78,1
perforante,physical,a,,,4.38,-0.69,100%,5.22,0.67,100%,5.20,0.03,100%,4.63,0.10,100%,4.51,-0.30,100%,-1.67,-0.31,100%,5.18,0.41,100%,5.84,0.56,100%,77.70,0.65,100%,82.80,0.62,100%,4.52,-0.77,100%,5.27,0.75,100%,5.32,0.12,100%,4.58,0.07,100%,4.69,-0.24,100%,-1.86,-0.46,100%,5.60,0.57,100%,5.97,0.62,100%,81.22,0.76,100%,83.78,0.67,100%,4.00,-0.49,100%,5.07,0.46,100%,4.85,-0.21,100%,4.77,0.20,100%,4.07,-0.46,100%,-1.14,0.10,100%,4.14,0.02,100%,5.50,0.41,100%,68.64,0.39,100%,80.21,0.50,100%,2.168646835,1,1.95,10,2.270104476,2.270104476,16,1
periodico,physical,a,,,5.21,0.16,100%,5,0.30,100%,3.94,-0.64,100%,3.24,-0.69,100%,4.31,-0.42,100%,0.17,1.08,100%,2.24,-0.98,100%,1.44,-1.20,100%,13.09,-1.04,100%,20.30,-0.98,100%,5.46,0.25,100%,5.00,0.31,100%,3.78,-0.69,100%,3.10,-0.70,100%,4.25,-0.43,100%,0.20,1.11,100%,2.17,-0.99,100%,1.43,-1.19,100%,14.50,-1.02,100%,22.39,-0.93,100%,3.80,-0.38,100%,5.00,0.22,100%,4.80,-0.39,100%,4.00,-0.58,100%,4.75,-0.34,100%,0.00,0.89,100%,2.60,-0.95,100%,1.50,-1.28,100%,3.25,-1.18,100%,8.60,-1.26,100%,2.433961279,2,2.5,9,2.52336169,2.49651926,32,3
persistente,physical,a,,,5.79,0.41,100%,5.24,0.28,100%,3.62,-0.62,100%,3.17,-0.58,100%,4.43,-0.25,100%,-0.76,0.43,100%,4.58,0.20,100%,4.34,0.12,100%,56.23,0.09,100%,65.49,0.27,100%,6.04,0.48,100%,5.37,0.29,100%,3.44,-0.65,100%,3.16,-0.62,100%,4.44,-0.24,100%,-0.92,0.40,100%,4.58,0.20,100%,4.33,0.04,100%,60.65,0.14,100%,66.04,0.21,100%,5.20,0.26,100%,4.91,0.27,100%,4.11,-0.55,100%,3.20,-0.49,100%,4.40,-0.28,100%,-0.36,0.50,100%,4.57,0.21,100%,4.36,0.30,100%,43.44,-0.05,100%,64.18,0.41,100%,2.93128592,2,2.3,11,2.145165739,1.668044485,100,2
petto,physical,n,,,6.44,0.60,97%,2.74,-1.05,100%,6.88,1.09,100%,6.67,1.26,100%,6.32,0.79,100%,-2.09,-0.80,97%,2.29,-0.98,100%,3.43,-0.27,100%,33.24,-0.49,100%,28.69,-0.67,100%,6.48,0.58,96%,2.75,-1.13,100%,6.86,1.12,100%,6.81,1.30,100%,6.39,0.79,100%,-2.27,-0.82,96%,2.13,-1.13,100%,3.71,-0.23,100%,36.57,-0.50,100%,31.40,-0.69,100%,6.33,0.66,100%,2.73,-0.90,100%,6.90,1.01,100%,6.33,1.18,100%,6.18,0.79,100%,-1.73,-0.78,100%,2.64,-0.67,100%,2.82,-0.38,100%,26.27,-0.48,100%,22.55,-0.62,100%,4.334406441,27,1,5,6.180297396,2.678529591,2057,28
piaga,physical,n,,,4.13,-0.66,100%,5.47,0.54,100%,5.52,0.38,100%,5.57,0.60,100%,4.70,-0.41,100%,-1.91,-0.51,100%,4.05,-0.12,100%,6,0.73,100%,76.24,0.66,100%,76.67,0.48,100%,4.43,-0.64,100%,5.45,0.54,100%,5.74,0.46,100%,5.68,0.66,100%,4.86,-0.43,100%,-1.84,-0.45,100%,4.16,-0.06,100%,5.92,0.66,100%,74.97,0.61,100%,76.84,0.46,100%,3.14,-0.71,100%,5.57,0.50,100%,4.43,-0.03,100%,5.00,0.32,100%,3.67,-0.32,100%,-2.33,-0.92,100%,3.33,-0.44,100%,6.43,1.11,100%,83.83,1.02,100%,75.67,0.61,100%,3.35971525,7,1.5,5,3.739926492,1.851703466,252,9
piccolo,physical,a,,,6.69,0.95,100%,1.58,-1.77,100%,6.30,0.66,100%,5.51,0.42,100%,5.73,0.38,100%,0.47,1.20,100%,2.36,-1.16,100%,1.59,-1.48,100%,11,-1.50,100%,14.96,-1.48,100%,6.74,0.95,100%,1.47,-1.84,100%,6.43,0.76,100%,5.67,0.50,100%,5.77,0.36,100%,0.51,1.27,100%,2.16,-1.26,100%,1.69,-1.47,100%,9.26,-1.53,100%,11.95,-1.56,100%,6.54,0.93,100%,2.00,-1.50,100%,5.85,0.32,100%,4.92,0.13,100%,5.58,0.44,100%,0.33,0.95,100%,3.08,-0.81,100%,1.23,-1.51,100%,16.77,-1.42,100%,24.46,-1.22,100%,5.291431625,8,1.1,7,5.234049628,2.739974172,11344,12
piegare,physical,v,,,6.39,0.74,100%,2.21,-1.28,100%,6.63,0.95,100%,6.07,0.76,100%,6.40,0.94,100%,-0.23,0.76,100%,2.48,-0.70,100%,3.14,-0.33,100%,23.21,-0.57,100%,27.58,-0.72,100%,6.37,0.71,100%,2.04,-1.29,100%,6.58,0.91,100%,6.32,0.79,100%,6.35,0.91,100%,-0.26,0.70,100%,2.46,-0.73,100%,2.96,-0.45,100%,18.84,-0.71,100%,25.26,-0.78,100%,6.50,0.96,100%,3.25,-1.24,100%,7.00,1.24,100%,4.00,0.45,100%,6.75,1.13,100%,0.00,1.11,100%,2.67,-0.39,100%,4.25,0.39,100%,50.50,0.29,100%,43.25,-0.31,100%,3.446195735,6,1.5,7,4.096179279,1.949451451,305,7
pistola,physical,n,,,4.65,0.01,100%,3.18,-0.86,100%,7,1.27,100%,6.97,1.44,100%,6.28,0.89,100%,-1.46,-0.22,100%,4.78,0.33,100%,5.08,0.33,100%,68.61,0.42,100%,68.60,0.31,100%,4.18,-0.21,100%,3.31,-0.79,100%,7.00,1.26,100%,6.96,1.36,100%,6.22,0.84,100%,-1.43,-0.17,100%,4.71,0.31,100%,5.17,0.36,100%,69.22,0.43,100%,66.54,0.24,100%,6.11,0.71,100%,2.78,-1.08,100%,7.00,1.29,100%,7.00,1.66,100%,6.44,1.01,100%,-1.56,-0.38,100%,5.00,0.39,100%,4.78,0.24,100%,66.78,0.39,100%,74.56,0.53,100%,5.130017965,13,1,7,4.24649267,1.833722777,5494,16
pizzicante,physical,a,,,4.45,-0.89,100%,4.29,-0.13,100%,4.13,-0.45,100%,4.53,0.13,100%,3.97,-0.73,100%,-0.26,0.74,100%,4.21,0.04,100%,3.49,-0.27,100%,43,-0.23,100%,40.94,-0.35,100%,4.46,-1.04,100%,4.33,-0.17,100%,3.91,-0.57,100%,4.71,0.18,100%,4.04,-0.74,100%,-0.39,0.71,100%,4.13,-0.07,100%,3.42,-0.38,100%,44.13,-0.31,100%,42.20,-0.43,100%,4.44,-0.52,100%,4.18,-0.03,100%,4.60,-0.18,100%,4.11,0.01,100%,3.82,-0.71,100%,0.00,0.81,100%,4.36,0.27,100%,3.64,-0.03,100%,40.64,-0.06,100%,38.09,-0.16,100%,NA,0,2.5,10,NA,NA,NA,0
pizzicare,physical,v,,,5.69,0.16,100%,2.75,-0.79,100%,6.50,0.73,100%,6.22,0.87,100%,5.71,0.41,100%,-0.49,0.61,100%,4.45,-0.04,100%,3.80,-0.57,100%,36.16,-0.80,100%,41.14,-0.82,100%,5.87,0.20,100%,2.70,-0.77,100%,6.57,0.75,100%,6.29,0.90,100%,5.89,0.48,100%,-0.54,0.60,100%,4.54,-0.07,100%,3.73,-0.62,100%,34.58,-0.89,100%,41.00,-0.86,100%,5.18,0.05,100%,2.86,-0.84,100%,6.31,0.68,100%,6.00,0.80,100%,5.29,0.24,100%,-0.36,0.66,100%,4.21,0.03,100%,4.00,-0.41,100%,40.21,-0.56,100%,41.50,-0.73,100%,2.70943717,2,1.8,9,2.367014489,1.929483857,57,2
preoccupante,psycho-social,a,,,5.93,0.61,100%,4.42,-0.07,100%,3.98,-0.44,100%,3.41,-0.44,100%,5.28,0.15,100%,-1.58,-0.25,100%,4.49,0.14,100%,4.42,-0.07,100%,56.62,0.00,100%,67.30,0.20,100%,6.22,0.62,100%,4.37,-0.09,100%,4.06,-0.44,100%,3.41,-0.45,100%,5.57,0.22,100%,-1.57,-0.23,100%,4.49,0.12,100%,4.53,-0.06,100%,56.58,-0.01,100%,67.70,0.20,100%,5.00,0.58,100%,4.71,0.06,100%,3.57,-0.44,100%,3.43,-0.38,100%,3.50,-0.28,100%,-1.67,-0.37,100%,4.50,0.25,100%,3.86,-0.14,100%,56.83,0.08,100%,64.83,0.24,100%,3.349285722,2,1.85,12,2.675223069,2.171633777,270,2
pressante,psycho-social,a,87%,13%,4.24,-0.35,100%,5.97,0.69,100%,3.55,-0.69,100%,3.31,-0.51,100%,3.61,-0.69,100%,-0.92,0.24,100%,4.27,0.00,100%,3.34,-0.49,100%,44.17,-0.28,100%,54.03,-0.14,100%,4.14,-0.33,100%,5.97,0.69,100%,3.50,-0.74,100%,3.63,-0.40,100%,3.41,-0.79,100%,-0.96,0.20,100%,4.32,0.03,100%,3.59,-0.39,100%,49.74,-0.14,100%,56.42,-0.07,100%,4.56,-0.43,100%,6.00,0.72,100%,3.67,-0.55,100%,2.33,-0.82,100%,4.22,-0.41,100%,-0.78,0.36,100%,4.11,-0.12,100%,2.56,-0.83,100%,27.44,-0.70,100%,47.11,-0.32,100%,2.59746341,2,1.85,9,2.367014489,2.27896886,46,2
pressione,physical,n,,,6.14,0.66,100%,4.65,-0.08,100%,5,0.04,100%,4.70,0.23,100%,5.09,0.23,100%,-0.31,0.65,100%,3.85,-0.40,100%,3.40,-0.55,100%,36.32,-0.80,100%,46.07,-0.61,100%,6.14,0.66,100%,4.69,-0.07,100%,5.05,0.08,100%,4.82,0.30,100%,5.17,0.28,100%,-0.37,0.64,100%,3.85,-0.47,100%,3.53,-0.50,100%,37.03,-0.79,100%,46.86,-0.65,100%,6.17,0.65,100%,4.43,-0.10,100%,4.71,-0.16,100%,4.00,-0.15,100%,4.71,-0.03,100%,0.00,0.73,100%,3.86,-0.08,100%,2.71,-0.84,100%,33.13,-0.82,100%,42.63,-0.44,100%,4.677070227,3,1.7,9,3.690610313,2.024152258,3567,5
profondo,physical,a,,,5.91,0.56,100%,3.58,-0.70,100%,5.16,0.09,100%,3.75,-0.30,100%,4.95,0.10,100%,0.14,0.94,100%,4.15,-0.28,100%,3.67,-0.35,100%,52.36,-0.08,100%,47.88,-0.40,100%,6.14,0.71,100%,3.58,-0.72,100%,5.24,0.14,100%,3.88,-0.21,100%,4.92,0.14,100%,0.06,0.92,100%,4.24,-0.30,100%,3.53,-0.41,100%,50.56,-0.15,100%,49.09,-0.40,100%,4.83,-0.16,100%,3.57,-0.60,100%,4.71,-0.19,100%,3.00,-0.84,100%,5.14,-0.08,100%,0.57,0.99,100%,3.71,-0.17,100%,4.43,-0.02,100%,60.50,0.25,100%,42.63,-0.37,100%,4.413379567,10,1.3,8,4.01112469,2.059589833,2525,13
proiettile,physical,n,,,4.82,-0.24,100%,3.88,-0.26,100%,6.82,1.02,100%,6.72,1.09,100%,5.72,0.22,100%,-1.90,-0.45,100%,5.33,0.66,100%,5.40,0.50,100%,77.98,0.71,100%,78.13,0.61,100%,4.69,-0.37,100%,3.95,-0.21,100%,6.78,1.03,100%,6.70,1.09,100%,5.63,0.14,100%,-1.87,-0.39,100%,5.24,0.58,100%,5.35,0.44,100%,77.70,0.64,100%,78.29,0.63,100%,5.33,0.24,100%,3.63,-0.43,100%,6.95,0.98,100%,6.79,1.06,100%,6.06,0.52,100%,-2.00,-0.62,100%,5.63,0.91,100%,5.55,0.69,100%,78.85,0.94,100%,77.60,0.55,100%,4.381254928,3,1.7,10,4.188746311,2.248894677,1629,3
prolungato,physical,a,,,5.29,0.10,100%,4.73,0.25,100%,3.61,-0.77,100%,3.66,-0.56,100%,4.82,-0.31,100%,-0.46,0.73,100%,3.50,-0.44,100%,4.07,-0.18,100%,51.62,-0.16,100%,56.65,-0.21,100%,5.29,0.09,100%,4.63,0.22,100%,3.71,-0.72,100%,3.82,-0.52,100%,5.10,-0.20,100%,-0.56,0.71,100%,3.65,-0.42,100%,4.30,-0.12,100%,56.16,-0.09,100%,58.62,-0.16,100%,5.27,0.15,100%,5.05,0.35,100%,3.26,-0.95,100%,3.16,-0.70,100%,3.82,-0.71,100%,-0.15,0.78,100%,3.00,-0.49,100%,3.35,-0.35,100%,37.10,-0.39,100%,50.25,-0.35,100%,3.013744875,6,1.95,10,2.979798346,1.803012655,129,6
pronunciato,physical,a,,,5.07,0.19,100%,4.49,0.03,100%,3.55,-0.77,100%,3.16,-0.63,100%,4.47,-0.28,100%,0.09,0.97,100%,2.95,-0.80,100%,2.11,-0.94,100%,23.13,-0.85,100%,26.54,-0.84,100%,5.39,0.26,100%,4.51,0.03,100%,3.63,-0.78,100%,3.07,-0.72,100%,4.72,-0.22,100%,0.03,1.02,100%,2.97,-0.82,100%,2.30,-0.93,100%,27.61,-0.80,100%,29.66,-0.82,100%,4.40,0.04,100%,4.46,0.03,100%,3.38,-0.74,100%,3.33,-0.45,100%,3.97,-0.38,100%,0.20,0.86,100%,2.93,-0.77,100%,1.73,-0.97,100%,13.72,-0.96,100%,20.10,-0.87,100%,3.308194526,8,1.55,11,2.747225731,2.074236929,234,9
prostrante,physical,a,,,3.44,-1.18,98%,6.44,1.10,98%,3.63,-0.56,98%,2.92,-0.68,98%,3.38,-1.05,100%,-1.37,-0.11,98%,4.05,-0.37,98%,4.02,-0.37,98%,53.47,-0.26,98%,57.10,-0.24,98%,3.48,-1.13,100%,6.40,1.06,100%,3.67,-0.54,100%,2.96,-0.69,100%,3.40,-1.03,100%,-1.39,-0.05,100%,4.20,-0.37,100%,4.34,-0.28,100%,55.40,-0.22,100%,58.40,-0.25,100%,3.35,-1.34,94%,6.53,1.20,94%,3.53,-0.61,94%,2.81,-0.65,94%,3.31,-1.11,100%,-1.31,-0.25,94%,3.65,-0.36,94%,3.12,-0.63,94%,48.12,-0.36,94%,53.65,-0.24,94%,NA,0,2.2,10,NA,NA,NA,0
prurito,physical,n,,,6.07,0.80,100%,2.40,-1.38,100%,5.89,0.53,100%,6.10,0.77,100%,5.95,0.65,100%,-0.84,0.26,100%,4.99,0.29,100%,3.12,-0.47,100%,38.93,-0.42,100%,48.05,-0.27,100%,6.18,0.77,100%,2.25,-1.46,100%,5.95,0.54,100%,6.34,0.84,100%,6.05,0.65,100%,-0.95,0.26,100%,5.17,0.34,100%,3.20,-0.50,100%,42.51,-0.39,100%,53.69,-0.18,100%,5.83,0.87,100%,2.71,-1.21,100%,5.76,0.50,100%,5.63,0.63,100%,5.77,0.64,100%,-0.60,0.26,100%,4.62,0.20,100%,2.97,-0.42,100%,31.41,-0.49,100%,36.40,-0.46,100%,3.44256145,2,1.9,7,2.168646835,1.679785033,254,2
psichico,psycho-social,a,99%,1%,5.43,0.15,100%,5.96,0.75,100%,2.93,-1.04,100%,2.84,-0.73,100%,4.71,-0.17,100%,-0.68,0.48,100%,3.46,-0.18,100%,3.93,-0.20,100%,52.87,-0.02,100%,65.34,0.16,100%,5.66,0.21,100%,6.05,0.76,100%,2.92,-1.01,100%,2.98,-0.63,100%,4.79,-0.15,100%,-0.85,0.38,100%,3.49,-0.14,100%,4.11,-0.12,100%,52.68,-0.03,100%,63.61,0.08,100%,4.94,0.03,100%,5.75,0.72,100%,2.94,-1.12,100%,2.56,-0.93,100%,4.53,-0.23,100%,-0.29,0.72,100%,3.39,-0.28,100%,3.53,-0.37,100%,53.31,0.00,100%,70.07,0.36,100%,2.979798346,2,2.4,8,3.110001322,2.962086921,89,2
psicosomatico,physical,a,,,3.95,-0.99,85%,6.43,1.52,84%,2.55,-1.44,83%,2.83,-0.95,84%,3.30,-1.16,85%,-0.72,0.23,84%,3,-0.60,84%,3.21,-0.34,84%,41.07,-0.16,86%,47.30,-0.21,84%,4.24,-0.89,96%,6.59,1.51,93%,2.58,-1.35,93%,2.96,-0.90,93%,3.52,-0.99,93%,-0.76,0.22,94%,2.89,-0.49,93%,3.39,-0.27,93%,43.41,-0.08,93%,46.68,-0.17,93%,3.43,-1.16,70%,6.13,1.55,71%,2.50,-1.62,70%,2.60,-1.04,71%,2.85,-1.49,72%,-0.64,0.25,70%,3.20,-0.79,71%,2.87,-0.47,71%,36.87,-0.30,75%,48.47,-0.27,71%,2.513142525,2,3.5,13,2.212112529,1.940078507,32,2
pugnalante,physical,a,,,2.75,-1.38,96%,6.13,0.90,98%,4.24,-0.32,98%,3.94,-0.19,96%,3.25,-1.03,96%,-1.79,-0.38,97%,5.55,0.71,96%,5.42,0.60,97%,70.09,0.62,96%,72.91,0.43,97%,3.05,-1.32,100%,6.05,0.84,100%,4.15,-0.38,100%,3.81,-0.25,100%,3.38,-0.91,100%,-1.86,-0.40,100%,5.63,0.74,100%,5.31,0.53,100%,69.54,0.55,100%,73.60,0.39,100%,1.73,-1.57,85%,6.33,1.09,94%,4.47,-0.14,94%,4.31,-0.02,87%,2.93,-1.32,88%,-1.60,-0.33,88%,5.31,0.64,87%,5.73,0.79,88%,71.71,0.81,88%,71.00,0.54,88%,1.19092323,0,2.4,10,NA,NA,1,0
pugnalare,physical,v,,,4.36,-0.37,100%,4.39,-0.04,100%,6.72,0.84,100%,6.03,0.72,100%,5.69,0.29,100%,-2.63,-1.12,100%,5.79,0.77,100%,6.72,1.14,100%,86.50,0.96,100%,91.61,0.96,100%,4.50,-0.35,100%,4.36,-0.04,100%,6.67,0.84,100%,5.86,0.65,100%,5.71,0.30,100%,-2.60,-1.06,100%,5.93,0.78,100%,6.71,1.14,100%,84.57,0.92,100%,92.46,0.98,100%,3.60,-0.49,100%,4.60,0.00,100%,7.00,0.84,100%,7.00,1.13,100%,5.50,0.22,100%,-2.80,-1.46,100%,5.00,0.67,100%,6.75,1.13,100%,100.00,1.26,100%,86.80,0.87,100%,2.965440196,2,1.9,9,2.872164467,2.031543849,99,3
pugnale,physical,n,,,5.14,0.03,100%,3.72,-0.71,100%,6.80,1.12,100%,6.69,1.22,100%,6.02,0.55,100%,-1.21,0.05,100%,5.03,0.17,100%,5.63,0.38,100%,70.52,0.22,100%,71.54,0.16,100%,4.98,-0.01,100%,3.89,-0.65,100%,6.72,1.11,100%,6.64,1.22,100%,5.96,0.53,100%,-1.27,0.07,100%,5.07,0.15,100%,5.72,0.38,100%,69.64,0.16,100%,71.11,0.13,100%,5.56,0.14,100%,3.28,-0.86,100%,7.00,1.15,100%,6.82,1.22,100%,6.19,0.60,100%,-1.06,0.01,100%,4.94,0.23,100%,5.39,0.40,100%,72.83,0.36,100%,72.61,0.23,100%,3.824391686,5,1.75,7,3.048255726,2.080602651,347,7
pugno,physical,n,,,6.41,0.66,100%,2.36,-1.26,100%,6.86,1.04,100%,6.72,1.21,100%,6.30,0.76,100%,-1.26,-0.02,100%,5.12,0.67,100%,5.82,0.65,100%,72.31,0.53,100%,66.18,0.22,100%,6.47,0.65,100%,2.46,-1.23,100%,6.84,1.03,100%,6.78,1.24,100%,6.23,0.70,100%,-1.35,-0.06,100%,5.21,0.72,100%,5.76,0.62,100%,71.08,0.49,100%,65.49,0.20,100%,6.28,0.70,100%,2.13,-1.32,100%,6.89,1.05,100%,6.61,1.13,100%,6.47,0.90,100%,-1.06,0.07,100%,4.94,0.55,100%,5.94,0.74,100%,75.25,0.62,100%,68.07,0.27,100%,4.404175282,7,1.45,5,4.07001911,2.039330169,2319,10
pulsante,physical,mix,,,4.73,-0.07,100%,5.20,0.07,100%,5.58,0.42,98%,5.21,0.40,100%,4.95,0.02,100%,-0.93,0.17,100%,4.35,0.07,100%,4.16,0.07,100%,49.20,-0.05,100%,53.93,-0.12,100%,4.68,-0.10,100%,5.17,0.03,100%,5.39,0.35,100%,4.93,0.28,100%,4.63,-0.08,100%,-1.00,0.15,100%,4.35,0.12,100%,4.38,0.16,100%,48.31,-0.09,100%,55.00,-0.12,100%,4.81,-0.01,100%,5.25,0.14,100%,5.93,0.55,94%,5.69,0.60,100%,5.50,0.19,100%,-0.80,0.19,100%,4.36,-0.01,100%,3.73,-0.11,100%,50.93,0.04,100%,51.54,-0.11,100%,3.918057654,4,1.75,8,3.122889345,1.673914759,730,5
