word_french,familiarity_mean_conceptual,familiarity_sd_conceptual,familiarity_min_conceptual,familiarity_max_conceptual,number_of_raters,rt_mean,rt_sd
capsule,84.526,21.227,16,100,19,6.434,6.195
captivité,82.818,21.597,23,100,22,4.559,2.832
capture,80.429,16.092,67,100,24,4.898,1.949
capuche,73.5,10.95,34,100,24,5.067,1.464
capuchon,86.81,17.142,50,100,21,4.861,4.615
carabine,76.455,29.385,50,100,22,5.576,7.939
caractéristique,88.955,14.702,50,100,22,5.512,5.763
carafe,81.429,27.669,0,100,21,6.762,6.294
caramel,94.444,6.428,77,100,19,4.69,3.113
carapace,89.042,13.608,50,100,24,5.589,4.792
carat,54.273,36.73,0,100,22,7.654,9.367
caravane,84.136,17.131,50,100,22,7.035,6.809
caravelle,34.167,34.216,0,97,19,5.364,4.295
carburant,91,21.412,50,100,22,6.437,11.098
carburateur,84.842,21.958,13,100,19,5.296,2.932
carcan,29,28.859,0,91,22,6.155,4.229
carcasse,81.238,22.799,18,100,21,4.259,2.031
cardiogramme,66.208,31.106,1,100,24,6.501,5.289
carence,74.636,31.429,0,100,22,5.369,4.467
caresse,93.333,13.017,43,100,22,4.762,3.205
cargo,72.727,24.445,9,97,22,5.473,3.982
caribou,79.682,34.135,0,100,22,3.412,1.657
caricature,91.25,11.903,55,100,24,8.139,15.404
carie,92,10.236,67,100,19,4.368,2.675
carillon,60.7,32.099,9,100,20,4.841,3.544
carnaval,87.111,17.008,50,100,19,6.167,8.69
carotte,95.368,11.596,50,100,19,5.34,5.213
carpette,69.25,27.038,0,100,24,8.671,11.839
carquois,28.333,37.508,0,90,22,7.481,7.853
carré,94,9.487,50,100,24,3.672,0.285
carrefour,82.222,18.913,46,100,19,5.058,3.187
carrière,92.952,6.734,82,100,21,6.52,8.107
carriole,45.684,34.525,0,94,19,8.882,8.714
carrosse,81.579,20.676,26,100,19,5.09,6.904
cartable,86.364,24.045,0,100,22,3.808,2.413
cartouche,91.792,9.33,74,100,24,8.715,11.45
cas,92.227,14.455,50,100,22,4.586,4.117
cascade,88.476,15.661,50,100,21,6.366,6.836
cascadeur,87.955,16.401,29,100,22,5.049,3.071
caserne,86.235,14.14,50,100,17,4.529,3.021
casino,87.1,15.774,50,100,22,6.064,5.704
casque,91.091,12.913,50,100,22,6.923,7.028
cassette,71.182,37.406,50,100,22,7.643,6.174
caste,50.333,34.084,0,99,24,6.381,5.659
castor,90.667,7.474,66,100,24,3.359,0.434
cataclysme,71.85,30.766,5,100,20,8.05,12.007
catalogue,94.636,7.985,84,100,22,6.919,10.525
catapulte,83.45,23.725,11,100,20,7.253,12.124
catastrophe,94.421,10.627,53,100,19,5.535,5.408
catégorie,93.667,7.08,75,100,22,5.859,7.965
cauchemar,93.714,7.564,79,100,21,4.653,3.165
causalité,74.455,28.67,0,100,22,10.823,15.7
cause,90.167,16.086,40,100,24,6.986,13.324
cavalerie,73.727,31.433,1,100,22,5.084,2.845
cave,92.714,10.873,65,100,21,8.259,11.898
caverne,84.364,25.561,6,100,22,5.47,4.22
cavité,64.294,28.844,50,100,17,6.689,6.517
cèdre,86.647,14.603,60,100,17,5.69,3.979
ceinture,97.158,4.451,85,100,19,4.74,4.083
céleri,94.063,8.858,69,100,16,6.775,8.776
cellule,86.095,23.413,0,100,22,7.171,10.34
cène,25.35,29.534,0,100,21,6.759,6.132
cens,23.905,33.519,0,95,21,13.784,13.916
cent,92.818,19.61,63,100,22,6.194,6.278
centaure,54.5,34.245,0,100,24,7.027,8.861
centre,86.182,15.558,50,100,22,5.86,7.199
cèpe,21.182,32.034,39,100,22,4.871,2.307
cerceau,76.053,33.001,4,100,19,5.65,3.808
cercueil,81.227,29.442,0,100,22,5.338,5.701
cérémonie,86.368,13.841,58,100,19,4.936,2.93
cerf,86.895,22.126,14,100,19,3.78,1.514
cerise,96.063,5.234,85,100,16,4.722,4.386
cerisier,86.647,13.928,50,100,17,4.051,2.085
cerne,90.875,10.576,59,100,16,7.251,8.93
certitude,87.833,8.841,50,100,24,5.478,2.613
chacal,67.286,23.26,0,100,22,6.371,5.753
chagrin,91.429,13.235,50,100,21,6.9,9.162
chair,83.667,23.77,0,100,21,8.157,11.139
chaise,95.895,6.445,82,100,19,4.43,3.077
châle,78.706,20.99,23,100,17,4.116,1.746
chalet,96.526,7.604,68,100,19,6.185,6.095
chaloupe,73.706,27.599,19,100,17,4.767,3.349
chambre,94.773,11.054,50,100,22,3.804,2.546
chameau,92.333,9.676,64,100,21,3.309,1.27
champ,90.864,14.808,50,100,22,5.913,6.931
champignon,91.429,14.531,50,100,22,5.023,2.656
champion,90.667,13.253,58,100,19,4.947,2.554
championnat,86.182,15.714,50,100,22,5.766,4.744
chance,87.611,14.701,57,100,19,4.363,2.533
chandail,90.316,15.232,46,100,19,6.415,7.484
chanteuse,91,19.677,12,100,21,5.7,6.503
chantier,89.857,15.35,50,100,21,4.12,2.897
chaos,85.429,15.148,50,100,21,5.084,4.273
chapeau,92.5,12.504,50,100,24,4.803,2.838
chapelle,90.864,14.317,50,100,22,5.397,6.194
chaperon,82.476,17.982,50,100,22,4.453,2.476
chapiteau,86.176,12.788,56,100,17,5.458,5.973
chapitre,95.158,6.735,75,100,19,4.727,2.723
charabia,54.048,35.367,2,100,21,5.432,5.78
charité,88.792,13.574,50,100,24,4.069,4.274
charme,92,12.152,50,100,19,5.505,4.146
charnière,65.227,32.34,0,100,22,5.612,3.307
charpente,56,37.591,0,100,19,4.503,3.312
charte,79.318,19.394,36,100,22,4.186,2.066
châsse,59.167,39.203,0,100,24,7.642,7.708
chaste,72.273,35.229,0,100,22,6.655,6.514
chat,96.947,6.142,80,100,19,5.105,3.6
châtaigne,58.5,32.513,0,100,24,4.368,1.488
château,93.333,9.178,76,100,21,7.841,15.008
châtiment,80.105,21.853,27,100,19,6.322,8.014
chaton,89.263,20.709,13,100,19,4.29,2.124
chaudron,90.5,11.209,58,100,21,4.037,1.727
chauffage,95.81,5.465,80,100,21,5.578,7.098
chaussette,97.133,4.19,90,100,16,5.87,6.375
chausson,91.789,13.126,50,100,19,4.856,5.275
chaussure,93.167,13.203,50,100,24,7.03,12.416
chauve,87.947,16.205,39,100,19,4.499,1.849
chauve-souris,93,13.176,50,100,22,6.662,8.275
chauvinisme,37.714,38.655,0,100,21,7.8,13.758
cheminée,86.947,14.428,57,100,19,5.426,3.336
chemisier,81.8,27.962,16,100,16,4.83,3.911
chenille,89.65,20.663,27,100,20,4.819,2.142
cheptel,16.909,31.031,0,100,22,6.409,9.734
chéquier,81.182,18.902,50,100,22,4.337,2.521
cheval,96.13,5.328,81,100,24,6.843,8.742
chevelure,86.059,24.644,9,100,19,3.639,1.621
cheveu,91.15,15.38,50,100,20,6.014,6.739
cheville,89.708,17.729,37,100,24,6.009,7.001
chèvre,90.667,12.281,50,100,21,6.834,8.993
chevreau,44.864,38.801,0,100,22,5.853,5.743
chewing-gum,92.667,10.033,65,100,24,5.447,4.294
chien,95,11.675,50,100,21,4.909,6.296
chignon,90.636,21.838,0,100,22,5.11,7.518
chinoiserie,54.81,34.219,0,100,22,5.633,3.333
chirurgien,93.579,8.009,75,100,19,3.627,1.589
choc,89.05,19.368,22,100,20,4.648,3.214
choeur,85.583,15.534,40,100,24,6.735,6.49
choléra,77.526,24.667,5,100,19,6.369,5.599
chômage,90.208,13.635,50,100,24,6.308,7.453
chronique,84.864,15.752,52,100,22,6.288,5.335
chronomètre,85.762,15.44,50,100,21,6.667,9.101
ciel,96.318,5.609,84,100,22,4.309,3.279
cigare,89.273,13.527,45,100,22,5.144,3.679
cigarette,94.059,8.525,71,100,17,4.664,3.937
cigogne,84.958,23.972,5,100,24,4.854,3.179
ciment,90.625,12.921,50,100,24,4.709,5.479
cimetière,89.5,18.138,25,100,20,5.094,2.834
cintre,91.588,12.385,50,100,17,5.301,2.941
circonstance,82.316,18.797,40,100,19,7.619,7.277
circulation,89.091,14.68,50,100,22,5.236,5.36
cirrhose,33.632,32.67,0,100,19,7.295,4.256
ciseaux,93.429,11.089,50,100,21,5.725,7.618
citadelle,71.25,28.453,8,100,24,5.332,4.907
citation,91.733,7.977,78,100,16,6.062,7.032
citerne,75.955,28.165,0,100,22,5.522,4.435
citoyen,87.053,18.189,50,100,19,7.578,10.479
citoyenne,91.364,21.389,67,100,22,4.234,2.747
citron,97.045,4.962,85,100,22,4.607,2.701
citrouille,91.917,15.042,50,100,24,6.712,8.482
civière,82.364,19.745,22,100,22,6.201,4.479
civilisation,88.364,16.058,50,100,22,6.945,4.798
civisme,75.955,18.363,45,100,22,4.543,2.614
clafoutis,38,34.273,0,100,20,6.372,6.755
clairière,73.2,33.03,0,100,20,5.799,4.929
clairon,33.35,31.42,0,82,20,5.907,3.15
clarification,84.136,17.425,50,100,22,6.462,7.279
clarté,85,12.377,62,100,24,3.335,0.627
classement,84,17.243,50,100,22,5.283,5.158
classification,84.591,14.198,55,100,22,7.745,14.266
claustrophobie,86.684,22.161,27,100,19,5.13,5.89
clavecin,39.579,42.748,0,100,19,5.514,4.399
clé,93.571,11.669,50,100,21,5.762,4.695
clebs,17.35,28.459,0,97,20,6.925,7.67
clef,87.789,24.064,4,100,19,9.194,12.011
clémence,77.895,25.918,20,100,19,4.812,2.785
clenche,44.125,33.653,0,100,24,5.306,3.34
clic,90.857,13.154,50,100,21,7.228,8.441
cliché,84.75,17.708,50,100,24,6.998,14.442
client,88.619,15.233,50,100,21,6.928,8.745
cliente,91.909,11.976,55,100,22,6.126,5.896
clientèle,90.563,11.46,63,100,16,7.405,8.567
climatiseur,82.316,17.923,50,100,19,3.727,1.219
clinique,94.9,5.684,83,100,21,6.141,6.577
clique,78.417,27.314,0,100,24,7.24,8.079
clivage,34.857,33.847,0,94,21,6.624,7.434
cloche,92.182,10.243,62,100,22,7.161,5.055
clocher,92.842,9.094,73,100,19,6.063,5.187
clochette,91.438,10.899,69,100,16,5.31,2.921
cloison,56.381,36.105,0,100,21,5.071,4.351
clôture,90.136,14.721,50,100,22,5.516,5.563
clou,91.737,18.619,20,100,19,8.532,9.256
cobra,95.318,8.482,9,100,22,4.154,2.562
cocaïne,85.941,14.889,50,100,17,4.953,2.947
coccinelle,94.238,8.567,71,100,21,11.152,16.773
cochon,92.667,6.713,19,100,24,3.62,0.894
cocotte,76.65,32.236,0,100,20,5.066,2.447
cocotte-minute,76.778,31.293,0,100,19,8.472,13.218
cocu,73.182,33.629,0,100,22,4.222,1.633
codage,77.682,18.689,50,100,22,6.785,11.01
coffre-fort,88.571,13.761,50,100,21,5.589,5.097
coffret,84.042,19.196,37,100,24,5.335,4.219
cognac,80.526,26.026,1,100,19,4.266,2.006
cohérence,85,13.822,50,100,22,5.45,3.636
cohue,60.952,35.671,0,100,22,6.772,8.45
coiffure,89.81,13.5,50,100,22,5.762,5.113
coïncidence,90.167,11.813,56,100,24,4.715,5.211
coing,32.421,38.041,0,100,19,6.581,5.492
colibri,81.421,24.652,0,100,19,4.498,3.235
colique,70.19,32.029,0,100,22,5.307,3.971
collaborateur,83.833,15.69,50,100,24,3.698,0.936
collaboration,92.636,11.5,50,100,22,6.308,11.228
collage,82.053,18.038,43,100,19,6.928,7.407
collant,84.286,23.529,5,100,21,8.252,16.749
collection,89,14.323,50,100,22,5.455,2.933
collectivité,81.81,20.136,15,100,21,8.172,10.269
collègue,91.045,12.35,50,100,22,4.353,1.948
collet,61.737,34.457,0,100,19,6.006,4.597
colline,85.625,16.394,50,100,24,6.32,6.285
collision,77.619,29.758,50,100,21,4.943,4.934
colloque,74.167,19.198,0,100,24,4.94,1.573
colombe,84.45,17.763,50,100,20,3.907,2.127
colonie,85.286,13.199,50,100,21,8.905,13.455
colorant,91.125,9.986,64,100,16,6.118,7.886
colza,19.348,28.415,0,100,24,4.923,2.947
combinaison,87.895,13.42,50,100,19,6.395,5.314
combustion,79.706,16.94,43,100,17,7.764,13.688
comédie,91.429,13.201,50,100,22,6.308,9.15
comète,74.632,25.661,17,100,19,4.803,3.755
comité,86.65,18.343,33,100,20,5.382,4.404
commande,94.188,7.305,78,100,16,5.329,4.938
commandement,88.381,13.742,50,100,21,9.34,11.313
commencement,89.7,13.627,50,100,20,5.447,3.208
commerçant,91.133,10.575,66,100,16,6.548,7.999
commerce,90.75,15.112,44,100,24,5.476,5.505
commère,47.579,32.094,0,100,19,6.744,6.753
commissaire,83.292,20.367,25,100,24,5.71,5.006
commission,88,16.702,48,100,22,5.816,6.488
commode,85,15.383,50,100,17,5.376,4.961
communauté,92.542,11.147,50,100,24,4.425,2.478
communiqué,80.684,19.664,46,100,19,4.715,2.338
communisme,80.143,18.564,34,100,22,8.961,13.122
compagnie,94.474,6.345,79,100,19,3.611,2.59
comparaison,85,18.461,50,100,19,4.811,3.762
compas,87.958,14.43,50,100,24,7.633,9.98
compatible,90.667,12.639,50,100,21,8.466,10.189
compensateur,62.773,34.056,0,100,22,5.681,4.246
compère,45.682,33.257,0,98,22,7.066,6.742
compétence,95.421,5.135,80,100,19,5.606,8.112
complaisance,38,35.777,0,100,24,5.229,1.522
complément,85.364,15.704,50,100,22,3.464,1.87
complet,90.583,13.194,50,100,24,36.009,147.052
complexe,87.952,15.555,50,100,21,6.562,6.576
complexité,94.067,6.954,81,100,16,5.889,5.802
complication,87.182,17.32,50,100,22,5.067,4.747
complicité,91.316,10.546,67,100,19,4.323,3.511
compliment,96.545,5.894,0,100,22,5.255,4.902
complot,80.421,24.511,10,100,19,4.801,2.443
composant,87.636,12.938,1,100,22,6.075,6.196
composante,80.818,17.347,33,100,22,7.037,8.497
composé,80.429,19.14,50,100,21,6.864,9.443
composition,85.238,23.268,7,100,21,7.255,7.329
compote,92.682,18.796,12,100,22,4.093,2.176
compréhension,94.952,9.399,71,100,21,5.654,5.9
compromis,90.955,13.933,50,100,22,6.676,6.6
comptabilité,80.611,23.582,26,100,19,8.616,16.854
comptable,91.059,8.934,66,100,17,4.774,3.274
compte,91.864,14.393,0,100,22,5.867,5.819
comptine,80,10.696,0,100,24,4.898,1.444
comptoir,93,10.506,66,100,22,4.673,3.453
comté,66.095,33.59,3,100,21,8.51,7.071
comtesse,77.55,25.23,9,100,21,5.022,3.99
concentration,93.75,8.3,67,100,24,4.558,3.369
concept,88.667,17.968,41,100,24,7.671,10.867
conception,86.364,17.473,38,100,22,7.628,9.763
concombre,98.25,5.399,76,100,20,6.436,5.768
concurrence,86.095,17.773,22,100,21,6.495,8.516
concurrent,91.727,13.477,50,100,22,3.71,2.543
condition,86.053,14.864,50,100,19,4.906,3.055
conduit,82.364,16.238,50,100,22,6.799,8.4
conduite,90.842,11.829,59,100,19,6.657,9.581
conférence,91.737,9.474,67,100,19,6.755,9.501
confession,83.421,16.029,50,100,19,6.902,8.715
confiance,95,9.492,61,100,21,6.071,4.598
confidence,93.182,10.423,66,100,22,6.835,9.65
configuration,81.3,24.007,20,100,20,5.266,5.73
confirmation,90.4,10.272,62,100,21,6.426,9.531
confiture,94.727,8.52,72,100,22,5.548,5.918
confrère,71.8,21.272,50,100,20,6.047,5.832
confusion,86.476,15.005,50,100,22,7.1,11.076
congé,93.588,7.859,78,100,17,4.002,2.392
congrès,80.238,18.474,50,100,21,6.046,6.769
conjoint,95.35,5.887,81,100,21,4.019,2.126
conjoncture,59.875,28.929,0,100,24,6.56,6.299
conjugaison,88.368,14.151,50,100,19,5.191,4.445
conne,89.333,8.524,3,100,24,6.468,3.885
connexion,90.789,12.461,50,100,19,4.422,4.259
conquête,84.471,15.609,50,100,17,4.226,3.504
conscience,86.167,6.853,62,100,24,4.505,1.849
conseiller,90.818,13,50,100,22,4.914,5.946
consentement,93.545,11.839,50,100,22,7.185,12.039
conséquence,91,12.806,50,100,19,6.445,8.652
conservation,84.1,21.959,28,100,20,6.852,8.237
conserve,90.045,15.447,48,100,22,5.345,5.576
considération,86.773,14.485,50,100,22,9.095,12.835
consigne,88.5,7.688,34,100,24,4.444,1.06
consolation,90.632,12.681,50,100,19,4.768,4.021
consommateur,87.3,16.531,50,100,20,5.405,5.288
consommation,93.263,8.906,71,100,19,5.583,3.982
constitution,75.706,19.332,43,100,17,5.376,2.974
constructeur,89.105,12.119,64,100,19,6.622,5.37
construction,90.8,15.525,50,100,20,4.684,2.316
consultant,83.375,17.093,50,100,24,5.224,6.782
consultation,92.818,12.704,67,100,22,5.514,8.273
conte,84.238,17.178,50,100,21,7.463,6.779
contemplation,79.682,16.049,50,100,22,5.293,5.863
contenant,90.095,15.517,50,100,21,6.768,7.237
content,96.136,6.923,78,100,22,6.735,12.002
continence,54,33.184,0,100,24,6.557,2.846
continuité,90.381,13.912,50,100,21,4.97,3.437
contour,80.158,17.649,50,100,19,5.593,3.416
contraception,93.412,8.209,78,100,17,4.025,2.12
contradiction,86.529,14.77,50,100,17,7.671,8.007
contrainte,85.15,17.461,30,100,20,5.011,3.895
contrariété,79.045,22.965,24,100,22,7.153,8.874
contraste,88.526,16.423,50,100,19,7.151,6.449
contrat,89.708,16.056,37,100,24,6.551,7.617
contrepoison,46.714,31.103,0,99,21,8.799,9.948
contribution,82.25,18.493,50,100,20,4.916,4.783
contrôle,91.381,9.463,69,100,22,8.019,8.001
convenance,61.227,26.407,0,100,22,12.814,14.436
convention,83.053,17.103,50,100,19,5.911,7.338
conversion,89.053,12.66,50,100,19,5.944,5.035
conviction,82.706,14.251,50,100,17,8.89,10.45
convoi,64.778,31.161,3,100,19,4.69,4.703
coopération,88.05,16.863,42,100,20,3.959,1.691
coordination,80.882,17.011,50,100,17,5.929,6.698
coordonnée,86.85,16.346,50,100,20,5.347,4.369
copeau,71.167,36.199,0,100,19,6.217,7.251
copinage,58.947,39.981,0,100,19,5.785,5.085
coq,89.875,22.686,0,100,24,4.848,4.427
coque,71.571,36.138,50,100,22,4.644,1.696
coquillage,93.318,14.863,50,100,22,3.904,1.754
coquille,88.235,13.428,79,100,17,5.179,3.346
cor,17.773,28.601,0,79,22,4.482,4.082
corbeille,92.875,9.394,65,100,16,6.03,6.48
cordée,56.6,32.29,0,100,20,6.031,7.968
cordon,86.583,18.287,37,100,24,5.43,4.974
corne,80.211,26.599,0,100,19,4.833,3.142
corneille,84,20.357,27,100,21,5.953,3.684
cornemuse,77.708,30.531,0,100,24,5.183,4.699
cornet,93.095,10.227,60,100,21,6.093,3.663
cornichon,92.833,8.183,50,100,24,4.561,1.93
corporation,85.136,19.389,41,100,22,6.576,5.24
corps,90.895,23.214,0,100,19,3.918,1.567
corpulence,52.571,43.462,63,100,21,5.289,4.862
correction,85.273,16.776,50,100,22,6.702,14.069
correspondance,88.952,9.992,67,100,21,4.896,2.109
correspondant,80.381,17.99,50,100,21,7.6,9.398
corrida,27.773,30.322,0,100,22,5.689,3.908
corridor,91.053,20.938,12,100,19,3.89,2.413
cortège,66.208,32.595,0,100,24,5.282,2.985
corvée,86.375,22.644,5,100,24,5.374,7.542
cosse,26.412,30.95,0,98,17,6.445,5.459
costume,90.125,15.607,50,100,24,4.516,2.973
cotation,78,23.804,15,100,24,5.181,3.663
côte,90.238,20.484,9,100,21,6.294,5.966
côté,88.684,8.882,68,100,19,5.45,2.631
coteau,36.048,34.901,0,97,21,7.272,8.901
cotisation,91.455,12.235,50,100,22,5.354,6.073
coton,87.818,14.889,50,100,22,5.233,2.887
cou,92.167,10.304,50,100,24,3.663,0.903
couard,21.263,34.31,0,100,19,6.08,5.761
couche,90,13.495,50,100,20,8.057,13.167
coucher,89.409,13.095,59,100,22,7.84,10.204
coude,87.762,15.378,50,100,22,5.951,5.766
couffin,22,30.201,0,78,21,4.96,4.16
couleur,93.053,10.865,56,100,19,5.695,5.026
couleuvre,74,32.522,0,100,19,6.682,4.55
coupe,90.375,13.84,50,100,24,6.046,9.39
couple,97.727,3.966,78,100,22,3.879,1.986
couplet,76.211,27.581,5,100,19,5.325,3.664
coupon,87.048,15.885,50,100,22,7.262,9.112
coupure,84.952,22.377,7,100,21,7.151,7.59
courage,93.85,7.625,75,100,21,4.205,3.337
courbature,78.045,26.158,15,100,22,5.871,5.502
courbure,81.273,20.566,19,100,22,8.786,10.629
courgette,85.167,8.976,66,100,24,5.756,4.303
couronne,90.85,19.077,17,100,20,6.448,9.538
courroie,77.682,22.438,23,100,22,7.969,9.057
cousin,93.429,9.605,62,100,21,7.059,11.229
coût,87.333,17.358,50,100,19,4.156,2.382
couteau,96.095,7.197,76,100,21,4.625,3.697
coutume,90.684,12.893,50,100,19,5.455,4.421
couture,91.389,12.779,60,100,19,5.996,7.009
couturier,78.667,25.366,0,100,21,6.032,7.6
couvent,78.304,28.424,0,100,24,12.191,24.569
couvercle,91.632,12.794,50,100,19,4.336,2.231
couvert,81.737,25.329,6,100,19,6.347,6.521
coyote,76.273,29.49,50,100,22,5.933,4.909
crabe,93.083,8.697,61,100,24,5.048,4.44
crainte,88.833,7.139,50,100,24,3.452,0.659
crampon,87.65,17.254,41,100,20,9.833,24.356
crâne,92,10.228,55,100,24,6.721,9.569
crapaud,87.636,15.607,50,100,22,5.08,4.781
craque,81.158,30.727,0,100,19,5.367,5.488
craquement,81.2,19.632,50,100,20,6.314,7.103
cratère,76.524,24.345,5,100,21,4.624,2.347
cravate,94.15,15.212,34,100,20,4.021,1.262
crayon,95.227,11.347,50,100,22,4.56,3.917
créature,90.682,11.797,56,100,22,5.216,4.224
crédit,93.211,11.198,61,100,19,4.375,2.352
crème,95.524,7.461,75,100,21,4.386,3.148
créole,77.045,26.37,3,100,22,4.057,2.265
crêpe,95.053,9.727,60,100,19,3.642,1.527
crépuscule,83,29.199,0,100,22,4.705,3.708
crête,64.053,30.573,0,100,19,4.492,2.135
crevaison,84.579,12.795,62,100,19,4.646,2.019
crevasse,82.125,19.849,32,100,16,6.182,4.7
crevé,91.095,12.857,50,100,21,5.404,4.045
crevette,95.773,8.507,63,100,22,4.577,6.511
crinière,79.905,27.573,0,100,21,5.34,4.36
critère,90.636,15.019,50,100,22,5.97,8.758
critique,91.286,9.419,65,100,21,5.56,6.672
croc,69.333,35.281,0,100,24,7.416,10.724
croche-pied,44,37.635,0,100,20,5.708,2.14
crocodile,91.333,14.479,58,100,19,5.559,3.708
crosse,63.81,34.599,0,100,21,7.818,7.006
croupe,32.292,31.699,0,100,24,8.848,11.132
croyance,86.091,16.059,50,100,22,5.565,3.234
cruauté,82.318,28.888,0,100,22,4.411,2.981
cruche,76.667,11.413,50,100,24,4.944,1.645
crudité,94.864,7.167,78,100,22,6.889,7.251
crypte,35.444,39.128,0,100,24,3.994,1.224
cube,91.632,13.545,50,100,19,5.483,6.027
cueillette,86.455,16.82,50,100,22,4.498,2.644
cuillère,97.381,3.427,91,100,21,5.238,5.634
cuir,90,8.877,77,100,24,4.194,1.13
cuisine,90.619,16.32,50,100,21,6.037,9.424
cuisinière,88,15.053,50,100,21,6.326,7.591
cuisse,93.263,12.324,50,100,19,5.13,3.459
cuisson,92.619,9.14,73,100,21,5.592,3.924
culot,85.167,19.155,35,100,24,6.145,5.188
culture,86.818,16.978,50,100,22,7.579,12.611
cumul,73.905,29.22,0,100,21,6.2,6.762
curseur,89.1,11.706,60,100,21,4.227,2.391
cuvée,65.75,30.459,2,100,20,6.159,4.683
cycliste,90.316,11.397,67,100,19,5.336,3.919
cyclone,77.238,24.019,5,100,22,4.675,3.142
cylindre,84.905,22.702,10,100,21,4.993,5.937
cymbale,68.136,36.588,0,100,22,5.316,4.025
daltonisme,76.789,27.135,20,100,19,5.083,3.495
damier,54.19,36.696,0,100,22,8.887,9.802
dance,83.81,30.68,0,100,22,7.576,6.9
danseur,93.048,10.288,69,100,21,5.548,4.513
dauphin,95.316,8.654,66,100,19,3.519,1.303
dé,88.167,21.855,12,100,24,4.841,2.71
débâcle,54.952,37.695,0,100,21,7.196,6.757
débat,90.632,12.07,61,100,19,5.299,4.046
débile,85.636,15.993,50,100,22,5.722,3.453
débit,89.905,14.973,50,100,21,8.823,15.849
débouché,73.118,24.39,50,100,17,7.585,9.213
débris,88.952,13.37,50,100,21,5.109,2.878
début,94.053,8.885,73,100,19,3.512,1.577
décalage,85.2,17.65,50,100,20,5.271,5.399
décembre,92.941,12.387,50,100,17,5.373,3.312
déception,88.583,16.167,45,100,24,6.826,6.686
décès,83.2,23.246,15,100,20,5.802,4.679
décharge,78.591,23.021,13,100,22,4.944,3.051
déchet,89.955,15.46,50,100,22,7.153,11.391
décimètre,84.273,16.104,50,100,22,7.688,13.036
décision,93.095,9.332,67,100,21,6.375,6.357
déclaration,84.636,16.144,50,100,22,7.191,5.457
déclic,82.417,23.245,10,100,24,5.894,8.305
déclin,82.75,19.981,28,100,20,5.022,4.554
décollage,88.75,15.515,39,100,20,5.767,4.046
décoration,89.773,14.524,50,100,22,3.449,1.788
découverte,88.6,13.628,50,100,20,5.558,5.36
décrépitude,48.588,37.63,0,100,17,7.921,6.579
décret,52.5,34.557,0,100,24,8.498,17.992
déesse,85.25,22.309,7,100,20,5.218,2.589
défi,90.389,12.58,50,100,19,7.704,12.112
défiance,81.188,24.924,10,100,16,7.671,10.214
déficit,85.105,15.716,50,100,19,4.562,3.64
défilé,89.542,16.826,44,100,24,8.562,14.907
définition,95.632,5.937,80,100,19,5.436,7.34
dégaine,35.125,33.18,0,100,16,7.195,7.865
dégât,92.55,10.118,66,100,20,4.784,1.509
dégel,89.278,12.842,50,100,19,5.195,4.852
dégoût,91.857,11.503,65,100,21,3.701,1.813
déguisement,93.81,9.59,72,100,21,5.001,4.312
déité,11.364,25.329,0,100,22,7.658,10.175
déjeuner,90.136,14.945,50,100,22,7.634,10.97
délai,91.429,14.476,50,100,21,7.252,9.772
délégation,58.5,23.227,26,100,24,4.307,0.798
délégué,77.773,24.882,18,100,22,9.389,20.028
délicatesse,91.471,9.402,71,100,17,4.61,3.049
délire,71.952,30.24,50,100,21,6.673,6.716
délit,89.188,15.012,50,100,16,5.39,6.014
délivrance,78.409,21.821,30,100,22,7.244,10.741
déluge,90.2,13.866,50,100,20,7.721,10.532
demande,88.476,13.833,50,100,21,4.701,6.14
démarche,85.136,16.583,50,100,22,7.327,7.462
démêlage,82.917,23.758,2,100,24,5.677,5.696
demeure,91.333,11.864,50,100,24,7.392,8.283
déminage,50.15,32.91,0,100,20,5.896,4.909
démocratie,93.286,6.581,80,100,21,5.423,5.249
démolition,88.375,18.872,37,100,24,5.105,4.389
démon,89.053,14.474,53,100,19,6.352,9.804
dent,91.958,10.976,58,100,24,3.823,1.678
dentelle,89.5,7.765,61,100,24,5.838,3.443
département,89,15.158,50,100,19,7.173,7.476
dépense,94.714,6.619,81,100,22,6.577,6.861
dépit,59.455,33.764,0,100,22,6.636,5.175
dépliant,86.045,17.3,50,100,22,7.236,12.483
dépôt,89.111,17.643,50,100,19,5.497,5.412
dépotoir,85.15,22.441,22,100,20,4.203,1.562
député,79.571,21.313,29,100,22,5.279,4.323
dérision,61.45,29.828,0,100,20,4.903,1.927
derme,65.316,29.535,0,100,19,4.443,2.027
dernier,89.455,13.623,50,100,22,5.543,4.709
derrière,94.667,7.705,69,100,24,5.657,5.437
désarroi,78.762,24.554,20,100,21,5.079,4.727
désastre,84.5,13.081,50,100,24,4.268,0.893
description,94.5,9.012,0,100,22,3.67,1.754
déséquilibre,89.542,13.065,50,100,24,6.81,8.894
désillusion,72.158,29.071,13,100,19,7.081,6.579
désir,87.238,16.078,50,100,22,7.543,10.151
dessein,47.188,39.723,0,100,16,5.895,4.573
destin,92.211,12.026,50,100,19,3.683,2.136
destination,90.2,10.211,65,100,21,7.431,10.442
destinée,85.412,12.85,59,100,17,7.607,11.058
destruction,89.364,13.605,58,100,22,8.149,8.638
détection,86.688,13.812,50,100,16,4.818,4.042
détente,94.455,11.795,33,100,22,3.898,2.093
détermination,93.591,11.823,50,100,22,4.124,4.082
