word_french,familiarity_mean_conceptual,familiarity_sd_conceptual,familiarity_min_conceptual,familiarity_max_conceptual,number_of_raters,rt_mean,rt_sd
altitude,88.818,15.013,50,100,22,4.152,3.033
amande,94.227,12.513,50,100,22,4.587,2.204
amante,73.455,31.239,0,100,22,5.737,4.979
amas,55.667,33.179,0,100,22,7.712,10.239
amateur,94.955,8.409,50,100,22,6.027,6.605
ambassadeur,77.333,24.034,14,100,21,5.907,5.353
ambiance,90.167,8.424,38,100,24,4.715,0.958
ambiguïté,87.263,17.81,50,100,19,4.567,4.593
ambulance,96.5,7.437,76,100,24,4.452,4.12
âme,89.5,10.733,64,100,16,7.063,7.576
aménagement,82.143,16.764,50,100,21,5.392,5.334
amende,87.273,15.26,50,100,22,5.96,3.944
amertume,76.545,27.512,0,100,22,5.736,5.335
amnésie,79.053,21.933,18,100,19,5.671,5.229
amortisseur,75,21.87,24,100,22,5.746,4.881
ampère,67.158,31.611,4,100,19,4.655,1.772
ampleur,84.227,19.978,21,100,22,9.135,10.466
amplificateur,87.909,16.437,50,100,22,5.799,7.905
amplitude,81.176,17.195,50,100,17,6.134,4.115
ampoule,94.667,7.257,74,100,24,4.545,2.043
analogie,68.524,28.335,13,100,21,9.809,10.35
ananas,93.636,7.455,75,100,22,4.048,2.241
anarchie,73.95,27.662,16,100,20,4.352,2.425
anatomie,88.7,14.228,50,100,20,4.718,3.431
ancêtre,90.35,16.737,26,100,20,5.262,4.072
âne,86.125,23.156,0,100,24,4.328,3.064
angle,93.5,11.405,0,100,22,3.995,1.96
angoisse,86.333,11.075,69,100,24,4.87,2.111
anguille,75.526,29.951,1,100,19,5.354,4.66
animation,86.579,16.351,50,100,19,6.547,8.045
anneau,89.864,10.339,69,100,22,4.213,1.703
année,92.417,14.572,50,100,24,5.513,7.696
annexe,83.409,15.336,59,100,22,6.348,7.447
annonce,92.667,12.324,50,100,24,7.45,8.163
annuaire,78.591,25.397,0,100,22,5.538,3.847
antichambre,51.85,33.542,3,100,20,5.38,3.696
anticipation,87.947,13.632,55,100,19,4.475,2.311
antipathie,68.167,31.049,0,100,24,7.583,9.062
antithèse,71.833,27.079,20,100,24,5.455,5.837
antre,34.6,29.964,0,95,20,4.809,3.899
anxiété,91,12.348,50,100,22,5.434,6.855
aorte,60.053,38.601,0,100,19,6.572,5.842
aperçu,87.5,15.665,50,100,22,5.06,5.832
apéritif,94.158,9.622,59,100,19,5.611,6.731
aphrodisiaque,62.105,34.137,0,100,19,7.969,9.587
aplomb,42.895,38.15,0,100,19,6.57,6.729
apogée,74.045,24.277,50,100,22,7.425,7.268
appareil,88.429,14.638,50,100,22,8.458,14.775
appartement,92.333,13.66,50,100,19,4.269,2.545
appât,74.85,28.575,2,100,20,4.584,2.045
appel,91.5,13.044,50,100,20,7.449,11.705
appétit,92.8,12.988,50,100,20,4.723,4.39
application,89.6,13.133,50,100,21,6.861,9.857
apport,69.19,22.655,6,100,21,5.72,4.899
appréciation,91.364,10.321,65,100,22,4.943,3.186
apprentissage,88.706,14.304,50,100,17,4.857,3.201
approche,82.476,17.834,50,100,21,5.281,7.593
appui,85.619,14.766,50,100,22,6.233,7.772
aptitude,81.727,20.354,41,100,22,6.36,10.335
aquarelle,80.476,23.974,2,100,21,6.86,7.322
araignée,94.667,7.992,50,100,24,3.263,0.404
arbalète,67.375,31.461,0,100,24,6.742,5.511
arbre,96.909,5.163,82,100,22,7.527,7.484
arbuste,92.667,11.53,64,100,21,6.721,6.491
