word_indonesian,translate_word_english,valence_n_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_mean_male,dominance_sd_male,predictability_n_male,predictability_mean_male,prediability_sd_male,concrete_n_male,concrete_mean_male,concrete_sd_male,frequency_n_male,frequency_mean_male,frequency_sd_male,valence_n_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_mean_female,dominance_sd_female,predictability_n_female,predictability_mean_female,prediability_sd_female,concrete_n_female,concrete_mean_female,concrete_sd_female,frequency_n_female,frequency_mean_female,frequency_sd_female,valence_n_all,valence_mean_all,valence_sd_all,arousal_n_all,arousal_mean_all,arousal_sd_all,dominance_n_all,dominance_mean_all,dominance_sd_all,predictability_n_all,predictability_mean_all,prediability_sd_all,concrete_n_all,concrete_mean_all,concrete_sd_all,frequency_n_all,frequency_mean_all,frequency_sd_all
meramu,gathering ,31,5.032258065,1.401995506,27,4.666666667,2,29,3.727272727,1.555050423,31,3.290322581,1.21637572,30,5.266666667,2.211776214,36,4.666666667,2.014235055,34,5,2.088931871,38,4.394736842,2.187673992,34,5.75,1.799758438,34,5.176470588,2.152807726,34,5.352941176,2.533201986,33,4.818181818,2.898863414,65,5.015384615,1.780908368,65,4.507692308,2.100022894,63,5.2,1.816590212,65,4.276923077,1.996150141,64,5.3125,2.369615869,69,4.739130435,2.459388816
merantau,wander ,31,5.322580645,1.661065858,27,4.148148148,2.265183024,29,4.181818182,1.662418829,31,4.774193548,2.716734282,30,4.533333333,1.833281086,36,5.416666667,1.872736729,34,6.117647059,1.472262861,38,5.736842105,1.388839892,34,6.125,2.383138231,34,6.323529412,1.854079666,34,5.5,2.537596095,33,6.363636364,2.382464347,65,5.738461538,1.603481789,65,5.076923077,1.955023116,63,5.733333333,2.349081058,65,5.584615385,2.416688771,64,5.046875,2.270792376,69,5.869565217,2.168715013
merapat,docked ,31,5.193548387,1.447281471,27,3.666666667,2.218800785,29,4.181818182,1.662418829,31,2.870967742,1.668171364,30,4.2,2.441028613,36,4.888888889,2.213952868,34,4.470588235,1.744867697,38,4.289473684,2.038917237,34,5.791666667,1.910592138,34,6.529411765,1.942121522,34,4.382352941,2.361492926,33,6.545454545,1.937958157,65,4.815384615,1.638332877,65,4.030769231,2.121093695,63,5.4,1.923538406,65,4.784615385,2.576894374,64,4.296875,2.381673998,69,5.68115942,2.232729493
merawat,treating ,31,6.258064516,2.06507049,27,3.777777778,2.118296364,29,5.727272727,2.284333999,31,3.967741935,1.016001016,30,4.366666667,2.311639713,36,4.916666667,2.075365716,34,6.705882353,1.586484808,38,4.394736842,2.365740541,34,6.375,1.860633366,34,6.647058824,1.667557694,34,4.558823529,2.607578425,33,6.96969697,2.157615126,65,6.492307692,1.829643723,65,4.138461538,2.269890712,63,6.222222222,1.952724075,65,5.369230769,1.933012794,64,4.46875,2.455759347,69,5.898550725,2.339839911
mercu suar,lighthouse ,31,5.129032258,0.957146296,27,4.592592593,2.39003153,29,5.181818182,2.522624896,31,3.290322581,1.321452443,30,3.833333333,2.245045631,36,5.083333333,1.380993431,34,5.705882353,2.329382956,38,4.552631579,2.543644634,34,5.5,2.604344197,34,4.882352941,2.40913295,34,1.558823529,1.795468648,33,4.515151515,2.488990912,65,5.430769231,1.819763298,65,4.569230769,2.462019184,63,5.6,2.406430778,65,4.123076923,2.110299833,64,2.625,2.305961907,69,4.811594203,1.994664665
merdeka,independent ,31,7.387096774,1.725831575,27,4.555555556,2.044379412,29,4.090909091,1.921173884,31,3.903225806,2.119038126,30,4.8,2.496894623,36,5.166666667,1.843908891,34,6.705882353,1.586484808,38,6.552631579,2.062501347,34,6.916666667,1.909169331,34,6.411764706,1.940285,34,5.205882353,2.637485163,33,6.424242424,2.179883928,65,7.030769231,1.676764283,65,5.723076923,2.267347654,63,6.311111111,2.224064893,65,5.215384615,2.374949392,64,5.015625,2.560333482,69,5.768115942,2.094424865
meresapi,"pervade, absorbed",31,5,1.673320053,27,3.62962963,2.040892492,29,4.363636364,2.062654953,31,3.258064516,0.444802723,30,6.033333333,2.552663698,36,4.805555556,1.430673057,34,5.588235294,2.031832239,38,4.184210526,1.372613667,34,6.083333333,2.041241452,34,5.058823529,2.131170918,34,6.441176471,1.909960756,33,6.393939394,2.207082264,65,5.307692308,1.878522333,65,3.953846154,1.690328826,63,5.688888889,2.119414823,65,4.2,1.804508243,64,6.25,2.225394561,69,5.565217391,1.996159996
meriam,cannon ,31,4.064516129,1.340036912,27,5.074074074,2.200103598,29,4.181818182,1.887759615,31,4.387096774,2.275630599,30,3.1,2.26441741,36,4.5,1.85933936,34,3.617647059,1.633266032,38,5.5,1.751447278,34,5.791666667,2.413353551,34,5.176470588,2.656844657,34,3.235294118,2.686202947,33,5.454545455,2.463367983,65,3.830769231,1.505917814,65,5.323076923,1.945408796,63,5.355555556,2.327264836,65,4.8,2.49499499,64,3.171875,2.478829009,69,4.956521739,2.205839727
merpati,"pigeon, dove",31,5.64516129,1.623748484,27,3.851851852,1.769478491,29,4.090909091,1.814086296,31,3.258064516,1.12450706,30,2.333333333,1.516196087,36,5.527777778,1.963758948,34,6.411764706,1.597681029,38,3.394736842,1.853258251,34,5.916666667,1.954185401,34,5.235294118,2.45021735,34,2.676470588,2.507208858,33,6.181818182,2.270112132,65,6.046153846,1.643460233,65,3.584615385,1.819102695,63,5.488888889,2.018350161,65,4.292307692,2.163064066,64,2.515625,2.093013226,69,5.84057971,2.125636157
merusak,"damage, ruin",31,2.774193548,1.606438658,27,5.37037037,1.667521148,29,4.363636364,2.203303305,31,4.225806452,1.521176681,30,5.333333333,2.073366966,36,5.777777778,1.605545944,34,3.176470588,1.914388711,38,6,1.451932543,34,5,2.085144141,34,6.117647059,2.114376559,34,4.941176471,2.411351645,33,6.878787879,2.420712392,65,2.984615385,1.772113037,65,5.738461538,1.564018493,63,4.733333333,2.114882331,65,5.215384615,2.07283251,64,5.125,2.250220448,69,6.304347826,2.095543926
