word_indonesian,translate_word_english,valence_n_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_mean_male,dominance_sd_male,predictability_n_male,predictability_mean_male,prediability_sd_male,concrete_n_male,concrete_mean_male,concrete_sd_male,frequency_n_male,frequency_mean_male,frequency_sd_male,valence_n_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_mean_female,dominance_sd_female,predictability_n_female,predictability_mean_female,prediability_sd_female,concrete_n_female,concrete_mean_female,concrete_sd_female,frequency_n_female,frequency_mean_female,frequency_sd_female,valence_n_all,valence_mean_all,valence_sd_all,arousal_n_all,arousal_mean_all,arousal_sd_all,dominance_n_all,dominance_mean_all,dominance_sd_all,predictability_n_all,predictability_mean_all,prediability_sd_all,concrete_n_all,concrete_mean_all,concrete_sd_all,frequency_n_all,frequency_mean_all,frequency_sd_all
abang,elder brother ,26,6.076923077,1.787133502,38,4.736842105,2.321278894,36,5.5,2.035400978,32,6.3125,2.161801817,34,3.382352941,1.741032537,28,5.607142857,2.484608706,30,6.833333333,1.984132458,31,4.548387097,2.790922305,46,5.739130435,2.174956271,36,7.361111111,1.973434682,36,2.888888889,2.252335648,33,7,2.150581317,56,6.482142857,1.916351376,69,4.652173913,2.525319356,82,5.634146341,2.105326549,68,6.867647059,2.115362513,70,3.128571429,2.021058903,61,6.360655738,2.394666204
aborsi,abortion ,26,2.884615385,1.032547261,38,5.236842105,2.09805844,36,5.166666667,2.184359991,32,3.75,2.214322878,34,4.058823529,1.841296916,28,4.464285714,2.235772182,30,2.266666667,1.892513988,31,6.032258065,2.08939977,46,5.608695652,2.507573071,36,4.555555556,3.027912477,36,3.805555556,2.69199283,33,4.121212121,2.0730047,56,2.553571429,1.571561388,69,5.594202899,2.116592993,82,5.414634146,2.367220694,68,4.176470588,2.6874011,70,3.928571429,2.305138737,61,4.278688525,2.137998656
abu,ash ,26,3.730769231,1.484794728,38,4.052631579,1.643124387,36,4.472222222,2.14457603,32,5.90625,2.084650121,34,3.617647059,2.146381111,28,4.464285714,2.219144694,30,4,1.485562705,31,3.870967742,1.688035061,46,4.52173913,2.287542402,36,5.944444444,2.365761061,36,2.805555556,2.227355183,33,5.454545455,2.23733811,56,3.875,1.477867013,69,3.971014493,1.653614708,82,4.5,2.212478639,68,5.926470588,2.221443503,70,3.2,2.210646177,61,5,2.265686062
acar,pickles ,26,4.307692308,1.568929081,38,3.421052632,1.764998721,36,4.75,1.857417562,32,6.59375,1.775448603,34,4.058823529,1.722246181,28,4.714285714,1.822841552,30,5.733333333,1.680175141,31,3.580645161,1.910919387,46,5.434782609,2.561702333,36,6.444444444,2.407659734,36,2.5,1.85933936,33,5.454545455,2.078023536,56,5.071428571,1.766940271,69,3.492753623,1.820012835,82,5.134146341,2.292026949,68,6.514705882,2.119508864,70,3.257142857,1.946276373,61,5.114754098,1.984089721
acara,"agenda, program, judicial procedure",26,5.153846154,2.378105257,38,4.210526316,2.094495937,36,4.916666667,1.794833856,32,6.09375,2.130566712,34,4.088235294,1.729733682,28,6.642857143,1.850210913,30,6.2,1.845778034,31,3.870967742,1.978921179,46,5.456521739,2.228168373,36,6.805555556,2.053838837,36,3.972222222,2.645601321,33,7.060606061,2.030076876,56,5.714285714,2.155030358,69,4.057971014,2.035595432,82,5.219512195,2.054951204,68,6.470588235,2.10522157,70,4.028571429,2.232639489,61,6.868852459,1.944868546
adat,"custom, tradition, manners",26,5.884615385,1.925137358,38,5.052631579,2.241468732,36,5.361111111,2.294749009,32,6.125,2.09068595,34,4.558823529,2.017967421,28,5.035714286,1.452511053,30,5.966666667,1.884296875,31,4.258064516,1.769514848,46,5.739130435,2.480455,36,6.277777778,2.119448865,36,5.027777778,2.546550733,33,5.878787879,1.653737732,56,5.928571429,1.886383195,69,4.695652174,2.067282586,82,5.573170732,2.393563838,68,6.205882353,2.091623832,70,4.8,2.300598536,61,5.491803279,1.608549562
aerobik,aerobic ,26,4.884615385,2.084743113,38,4.105263158,1.31085847,36,5.027777778,1.66452243,32,4.71875,2.876314566,34,4,1.414213562,28,4.035714286,2.045449201,30,5.966666667,1.828572711,31,5.032258065,2.008048322,46,5.47826087,2.126438132,36,7.055555556,1.510807626,36,3.666666667,2.317634262,33,5.666666667,2.01038968,56,5.464285714,2.008747106,69,4.52173913,1.711627155,82,5.280487805,1.939036226,68,5.955882353,2.530021671,70,3.828571429,1.925958663,61,4.918032787,2.170215673
agar-agar,jelly,26,5.269230769,2.050515883,38,4.342105263,2.017173776,36,4.75,1.841970994,32,6.75,1.646109784,34,3.941176471,1.841296916,28,4.785714286,1.872948613,30,5.866666667,1.888866351,31,3.967741935,2.373237886,46,5.97826087,2.304479989,36,6.555555556,2.183633204,36,2.861111111,1.929511822,33,6.424242424,1.820547703,56,5.589285714,1.970480197,69,4.173913043,2.17577925,82,5.43902439,2.189185321,68,6.647058824,1.937568147,70,3.385714286,1.950792163,61,5.672131148,2.006001923
agresif,aggressive ,26,4.730769231,2.237099771,38,6.236842105,1.651112819,36,5.472222222,2.535306249,32,5.125,2.028029395,34,5.088235294,1.831833773,28,5.535714286,2.168497395,30,3.766666667,1.75545128,31,6.290322581,1.96966238,46,5.47826087,2.545052983,36,5.666666667,2.461126339,36,4.805555556,2.723647181,33,6.606060606,1.919299904,56,4.214285714,2.033485907,69,6.260869565,1.787638715,82,5.475609756,2.52506257,68,5.411764706,2.267454975,70,4.942857143,2.321204799,61,6.114754098,2.090441426
air,water ,26,5.038461538,2.34061136,38,4.026315789,2.14963029,36,5.222222222,2.3435152,32,6.34375,2.322531642,34,3.294117647,1.624237103,28,6.178571429,2.195172674,30,6.3,2.119694187,31,3.322580645,1.938850119,46,5.543478261,2.257890084,36,6.888888889,1.953425969,36,2.722222222,2.262881994,33,7.363636364,1.746750229,56,5.714285714,2.293978566,69,3.710144928,2.072945115,82,5.402439024,2.287160923,68,6.632352941,2.13642477,70,3,1.985454352,61,6.819672131,2.037221938
air terjun,waterfall ,26,4.961538462,1.076318512,38,4.684210526,2.483516069,36,4.888888889,1.720095974,32,5.96875,2.375742668,34,3.558823529,1.956979374,28,4.25,1.818118686,30,6.5,2.177470852,31,4.225806452,2.728976333,46,5.630434783,2.416229346,36,6.666666667,2.083952289,36,2.694444444,2.108749724,33,5.666666667,2.203217344,56,5.785714286,1.904199051,69,4.47826087,2.587348721,82,5.304878049,2.158468961,68,6.338235294,2.236804051,70,3.114285714,2.067995299,61,5.016393443,2.140808284
akal,"mind, intellect, reason",26,5.769230769,1.773306343,38,5.421052632,1.897816369,36,5.527777778,1.963758948,32,5.375,2.511264943,34,4.852941176,2.57178576,28,5.357142857,2.280582864,30,6.533333333,1.696514344,31,4.64516129,2.470470766,46,6.97826087,1.914728068,36,6.777777778,2.043961296,36,6.222222222,2.619826724,33,6.151515152,2.45103565,56,6.178571429,1.759205842,69,5.072463768,2.191687777,82,6.341463415,2.056123118,68,6.117647059,2.365986663,70,5.557142857,2.668309535,61,5.786885246,2.38826823
aksi,action ,26,5.846153846,1.713296418,38,4.736842105,2.201770915,36,5.055555556,2.069429796,32,6.125,1.995963669,34,4.676470588,2.142224675,28,4.214285714,1.969341737,30,6.333333333,1.604591114,31,5.451612903,2.248535963,46,5.97826087,2.144648435,36,5.972222222,2.37229378,36,4.527777778,3.028305619,33,5.696969697,2.20063696,56,6.107142857,1.658899651,69,5.057971014,2.235305335,82,5.573170732,2.148961781,68,6.044117647,2.188394242,70,4.6,2.617665737,61,5.016393443,2.209764718
akta,official document,26,4.653846154,1.573335506,38,3.631578947,2.00568183,36,5.111111111,1.93874448,32,6.03125,1.925790579,34,3.382352941,1.842506624,28,4.357142857,1.76832806,30,5.266666667,1.25762045,31,4,2.065591118,46,6.086956522,2.21937015,36,6.055555556,2.041630223,36,3.333333333,2.683281573,33,5.121212121,2.08802502,56,4.982142857,1.433255308,69,3.797101449,2.026150437,82,5.658536585,2.144297705,68,6.044117647,1.97320728,70,3.357142857,2.297041035,61,4.770491803,1.969716076
aktivis,activist,26,5.576923077,2.265799231,38,4.157894737,2.060258653,36,5.277777778,1.782632261,32,5.28125,2.53026041,34,4.264705882,1.503709021,28,5.428571429,2.1846022,30,6.266666667,1.837039097,31,5.064516129,2.515756796,46,6.108695652,1.888306247,36,6.361111111,2.153439478,36,3.777777778,2.243862882,33,6.090909091,2.170305802,56,5.946428571,2.057532881,69,4.565217391,2.303949683,82,5.743902439,1.877817065,68,5.852941176,2.383179276,70,4.014285714,1.922354061,61,5.786885246,2.184145555
alam,nature,26,5.192307692,2.698432593,38,5.631578947,1.777046633,36,5.111111111,2.226820639,32,5.28125,2.617982171,34,3.970588235,1.749204046,28,5.107142857,1.950105139,30,7.066666667,2.033060091,31,4.064516129,2.542118328,46,5.282608696,2.65550199,36,7.416666667,1.872736729,36,3.972222222,2.823231291,33,6.787878788,2.161561585,56,6.196428571,2.52564766,69,4.927536232,2.27724576,82,5.207317073,2.46324991,68,6.411764706,2.481184684,70,3.971428571,2.34657585,61,6.016393443,2.217294171
alami,natural ,26,6.076923077,1.467598771,38,5.315789474,1.612539765,36,4.694444444,1.618101965,32,5.96875,2.292827174,34,4.911764706,1.729733682,28,5.25,1.77690951,30,7.233333333,1.430778263,31,3.193548387,2.400268802,46,6.130434783,2.186917624,36,6.666666667,2.390457219,36,4.916666667,2.760693495,33,6.696969697,2.1430826,56,6.696428571,1.548249955,69,4.362318841,2.255522729,82,5.5,2.074239411,68,6.338235294,2.353849144,70,4.914285714,2.301498297,61,6.032786885,2.097357171
alasan,"reason, excuse, alibi",26,4.5,2.004993766,38,4.552631579,2.22634555,36,5.111111111,2.039296486,32,5.90625,1.940391962,34,4.911764706,2.193207794,28,4.5,2.045772516,30,4.966666667,1.159171325,31,4.806451613,2.135717753,46,5.543478261,2.218172639,36,6.694444444,2.423921786,36,5.888888889,2.627087228,33,7.090909091,2.097075886,56,4.75,1.60963011,69,4.666666667,2.173819265,82,5.353658537,2.139412353,68,6.323529412,2.228989306,70,5.414285714,2.458306576,61,5.901639344,2.43382359
alat,"tool, instrument, device",26,4.384615385,1.471785938,38,4.210526316,1.757730335,36,5.361111111,2.218787027,32,5.34375,2.134348507,34,3.970588235,1.866536155,28,5,2.211083194,30,5.6,1.588753578,31,3.483870968,2.030943422,46,5.891304348,1.900038138,36,6.305555556,2.214490518,36,2.972222222,2.14457603,33,6.818181818,1.911389309,56,5.035714286,1.640003168,69,3.884057971,1.906152823,82,5.658536585,2.050109977,68,5.852941176,2.214367643,70,3.457142857,2.061979591,61,5.983606557,2.232276889
alergi,allergy,26,2.461538462,1.0288156,38,4.578947368,2.308990407,36,4.916666667,2.075365716,32,4.625,2.39286574,34,4.647058824,2.028319994,28,4.857142857,1.757824533,30,3.166666667,1.821013991,31,4.774193548,2.011793187,46,4.47826087,2.545052983,36,6.472222222,2.021118659,36,4.305555556,2.796114084,33,6.484848485,1.970425273,56,2.839285714,1.534770172,69,4.666666667,2.167043708,82,4.670731707,2.346812275,68,5.602941176,2.376123181,70,4.471428571,2.441913176,61,5.737704918,2.032253588
alis,eyebrow,26,4.653846154,2.331391133,38,4.315789474,1.890306184,36,5.055555556,1.655198641,32,6.75,1.646109784,34,3.705882353,1.915319607,28,5.071428571,1.719788347,30,4.866666667,1.332183412,31,3.258064516,2.12865751,46,5.826086957,2.214139891,36,7.222222222,1.987261017,36,2.583333333,2.075365716,33,5.96969697,2.284251087,56,4.767857143,1.848744748,69,3.84057971,2.055288647,82,5.487804878,2.013803615,68,7,1.836609465,70,3.128571429,2.063635659,61,5.557377049,2.077856188
aljabar,algebra ,26,4.615384615,2.099084049,38,4.368421053,1.866070487,36,5.722222222,1.750283424,32,5.34375,2.404423008,34,4.382352941,1.969690114,28,4.25,2.221527669,30,5.266666667,1.964044619,31,4.838709677,2.11497477,46,5.586956522,2.305318363,36,4.833333333,2.823371844,36,4.888888889,2.905932629,33,5.181818182,2.256304299,56,4.964285714,2.035719982,69,4.579710145,1.980833137,82,5.646341463,2.069006747,68,5.073529412,2.627729151,70,4.642857143,2.49076971,61,4.754098361,2.270504626
alkohol,alcohol ,26,5.038461538,2.199650322,38,4.736842105,1.968456804,36,5.444444444,2.130653078,32,4.96875,2.811088355,34,3.558823529,2.077165558,28,4.285714286,2.2584351,30,3.766666667,2.095698934,31,5.064516129,1.931070236,46,5.847826087,2.309087278,36,6.027777778,1.731821685,36,3.027777778,2.131211743,33,5.757575758,2.449876311,56,4.357142857,2.219160951,69,4.884057971,1.944344982,82,5.670731707,2.228074949,68,5.529411765,2.346611328,70,3.285714286,2.106875268,61,5.081967213,2.458285866
alun-alun,town square,26,4.5,2.004993766,38,5.157894737,1.952494119,36,5.361111111,1.929511822,32,5.0625,2.781708688,34,3.911764706,1.896849814,28,4.25,1.974372849,30,5.4,1.714039391,31,4.451612903,1.929399037,46,5.434782609,1.809262267,36,6.388888889,2.018171418,36,3.527777778,2.311290439,33,4.939393939,2.16418856,56,4.982142857,1.892483423,69,4.84057971,1.960065938,82,5.402439024,1.851657623,68,5.764705882,2.480476886,70,3.714285714,2.113742866,61,4.62295082,2.090964167
aman,safe ,26,5.538461538,1.702486869,38,4.868421053,1.630305105,36,4.722222222,2.300448541,32,6.03125,2.292827174,34,5.705882353,1.946705247,28,5,2.194268629,30,7.666666667,1.667815696,31,5,2.323790008,46,6.543478261,2.040768066,36,7.694444444,1.28328695,36,6.25,2.522753598,33,6.818181818,2.429693209,56,6.678571429,1.982717537,69,4.927536232,1.957781161,82,5.743902439,2.329684849,68,6.911764706,1.998023606,70,5.985714286,2.26179906,61,5.983606557,2.479864266
ambisi,ambition ,26,6.038461538,1.84349167,38,5.289473684,1.858623361,36,4.777777778,2.043961296,32,6.0625,2.124169667,34,4.323529412,1.949678889,28,5.785714286,1.969341737,30,5.766666667,1.994532757,31,4.741935484,2.159749089,46,6.5,2.157673644,36,6.694444444,1.924569628,36,5.805555556,2.594713796,33,6,2.165063509,56,5.892857143,1.913384165,69,5.043478261,2.00319438,82,5.743902439,2.265200918,68,6.397058824,2.030658344,70,5.085714286,2.406168746,61,5.901639344,2.063208812
ambisius,ambitious ,26,5.384615385,1.940658096,38,5.078947368,1.978008539,36,5,2.028370211,32,6.15625,2.329465881,34,4.882352941,1.512868155,28,5.214285714,2.061231974,30,5.233333333,2.176414852,31,5.677419355,2.548033186,46,6.108695652,2.162593719,36,6.611111111,1.975243606,36,6.055555556,2.096860843,33,5.818181818,2.007089707,56,5.303571429,2.053109773,69,5.347826087,2.254577611,82,5.62195122,2.163902761,68,6.397058824,2.145037354,70,5.485714286,1.916691421,61,5.540983607,2.037758331
amis,"fishy, putrid",26,3.538461538,2.102013687,38,4.763157895,2.045881962,36,5.055555556,1.655198641,32,4.21875,2.027780846,34,4.735294118,1.974209831,28,4.357142857,1.909319943,30,2.733333333,1.529780993,31,5.612903226,1.977834158,46,4.956521739,2.347163979,36,6.027777778,2.286433419,36,4.777777778,2.231093404,33,5.090909091,2.428523682,56,3.107142857,1.845668851,69,5.144927536,2.045622028,82,5,2.06080411,68,5.176470588,2.336863419,70,4.757142857,2.09509928,61,4.754098361,2.21852607
amok,"amuck, rage violently",26,4.115384615,2.006527808,38,6.026315789,2.098736326,36,4.888888889,1.909042808,32,4.34375,1.944543648,34,5.117647059,1.38749187,28,3.428571429,1.730522752,30,3.8,1.808028074,31,6.193548387,1.661713069,46,4.717391304,1.614696992,36,3.694444444,2.447382794,36,4.805555556,1.508441854,33,3.515151515,1.986221477,56,3.946428571,1.891797057,69,6.101449275,1.903131533,82,4.792682927,1.740851253,68,4,2.232728068,70,4.957142857,1.448994797,61,3.475409836,1.858373459
amoral,unscrupulous,26,3.307692308,1.913514688,38,5.631578947,2.198538244,36,5.166666667,1.828348201,32,4.0625,2.804805784,34,5.676470588,2.010888364,28,3.964285714,2.134064855,30,2.433333333,1.568731825,31,5.967741935,1.81629423,46,5.282608696,2.197605196,36,5.277777778,2.300448541,36,6.805555556,1.983063207,33,4.333333333,2.188987589,56,2.839285714,1.776378192,69,5.782608696,2.028253126,82,5.231707317,2.032445346,68,4.705882353,2.603435294,70,6.257142857,2.061979591,61,4.163934426,2.153913708
anak,child,26,5.5,2.249444376,38,5.052631579,2.117461106,36,4.583333333,1.556094011,32,5.375,2.485441481,34,3.529411765,1.691964863,28,5.25,2.488864087,30,7,1.761660659,31,5.129032258,2.591549543,46,6.108695652,2.213376113,36,6.972222222,1.383290303,36,2.388888889,2.101397872,33,7.151515152,2.251682872,56,6.303571429,2.122773853,69,5.086956522,2.324670315,82,5.43902439,2.085206926,68,6.220588235,2.121992785,70,2.942857143,1.984619953,61,6.278688525,2.530685991
anak-anak,children ,26,6.153846154,1.461295526,38,4.973684211,2.046577131,36,4.75,2.169595091,32,5.5,2.63964807,34,3.735294118,1.711083717,28,5.5,2.151657415,30,7,1.553638666,31,5.64516129,2.288352932,46,6.02173913,2.235959952,36,6.777777778,2.015810523,36,2.833333333,2.035400978,33,7,2.222048604,56,6.607142857,1.5571369,69,5.275362319,2.168518456,82,5.463414634,2.283570531,68,6.176470588,2.399882935,70,3.271428571,1.925582378,61,6.31147541,2.298847419
ancaman,threat ,26,3.423076923,1.390627971,38,5.473684211,2.321891611,36,4.888888889,2.226820639,32,4.21875,2.523877905,34,4.382352941,1.758351602,28,4.714285714,1.739670954,30,2.3,1.417866294,31,6.419354839,1.82161455,46,5,2.201009869,36,5.277777778,2.710941967,36,6.083333333,2.102719328,33,6.060606061,1.951592202,56,2.821428571,1.502811218,69,5.898550725,2.149862701,82,4.951219512,2.199340187,68,4.779411765,2.658950462,70,5.257142857,2.110606165,61,5.442622951,1.962350548
aneh,"strange, weird",26,4.692307692,2.204889671,38,4.789473684,2.195300813,36,4.833333333,2.049390153,32,6.28125,1.921598377,34,6.029411765,2.528447771,28,4.535714286,1.914508792,30,4.266666667,1.680175141,31,4.322580645,2.055676641,46,4.934782609,2.133355978,36,5.75,2.358873823,36,6.638888889,2.392282565,33,6.757575758,2.345611634,56,4.464285714,1.93498213,69,4.579710145,2.131043635,82,4.890243902,2.084665338,68,6,2.16484807,70,6.342857143,2.460621544,61,5.737704918,2.414550609
anggun,"elegant, graceful",26,5.884615385,1.336470668,38,4.631578947,1.514275362,36,4.777777778,1.987261017,32,5.90625,2.619521934,34,6.411764706,2.076092587,28,4.214285714,1.988059595,30,6.7,1.822275955,31,4.193548387,2.182038112,46,6.173913043,1.841549442,36,7.305555556,1.983063207,36,6.361111111,2.331802219,33,5.939393939,2.075743751,56,6.321428571,1.652624831,69,4.434782609,1.842937719,82,5.56097561,2.01903021,68,6.647058824,2.392555031,70,6.385714286,2.195468701,61,5.147540984,2.197241191
anggur,wine ,26,5.269230769,1.686598762,38,4.421052632,2.574632789,36,4.916666667,1.962141687,32,5.0625,2.614321598,34,3.411764706,2.189750879,28,4.964285714,2.301080951,30,6.333333333,1.881549862,31,4.612903226,2.590719583,46,6.282608696,1.985089346,36,6.333333333,2.596701204,36,2.638888889,2.404196067,33,6.424242424,2.305296931,56,5.839285714,1.856455917,69,4.507246377,2.564595992,82,5.682926829,2.077974137,68,5.735294118,2.663280701,70,3.014285714,2.318750645,61,5.754098361,2.398997969
angin,wind ,26,4.5,2.121320344,38,4.526315789,2.575737544,36,4.833333333,2.336052837,32,6.53125,1.722420933,34,4.382352941,1.688009512,28,4.607142857,2.558056058,30,5.4,2.010318211,31,3.096774194,2.022454593,46,5.391304348,2.703727968,36,6.916666667,1.5,36,4,2.607680962,33,7,2,56,4.982142857,2.093201736,69,3.884057971,2.434653206,82,5.146341463,2.548889621,68,6.735294118,1.607980536,70,4.185714286,2.202060018,61,5.901639344,2.554113793
anjing,dog ,26,4.576923077,2.081789171,38,4.473684211,2.114772266,36,5.638888889,1.791292874,32,4.15625,2.329465881,34,3.235294118,1.724314946,28,5.25,2.319402861,30,4.8,2.657455355,31,4.709677419,2.132190554,46,5.065217391,2.33240147,36,6.638888889,2.166666667,36,2.194444444,1.653039528,33,6.454545455,2.180752581,56,4.696428571,2.388758847,69,4.579710145,2.110239721,82,5.317073171,2.119154553,68,5.470588235,2.55372475,70,2.7,1.755735941,61,5.901639344,2.307270523
anjing kecil,small dog ,26,5.076923077,1.598075766,38,4.736842105,1.968456804,36,4.444444444,1.963152631,32,5.09375,2.1755144,34,3.794117647,2.212627832,28,4.25,2.011540777,30,5.833333333,2.035602653,31,4.35483871,2.288352932,46,5.02173913,2.611845924,36,6.583333333,2.129721645,36,2.611111111,2.321056136,33,5.696969697,2.430082927,56,5.482142857,1.868310578,69,4.565217391,2.110744647,82,4.768292683,2.353346871,68,5.882352941,2.26280378,70,3.185714286,2.32997392,61,5.032786885,2.344974862
antarnegara,international,26,5.115384615,1.275207374,38,4.289473684,2.204514958,36,5.222222222,2.179267388,32,5.09375,2.631807609,34,6.823529412,1.96130118,28,4.321428571,2.126613922,30,5.666666667,1.688364508,31,4.35483871,2.510622593,46,5.260869565,2.195295805,36,6.416666667,2.061552813,36,5.444444444,2.645151299,33,5.03030303,2.038456041,56,5.410714286,1.522877488,69,4.31884058,2.329432862,82,5.243902439,2.174833472,68,5.794117647,2.422277352,70,6.114285714,2.422974918,61,4.704918033,2.092401031
api,fire ,26,4.576923077,2.119869372,38,4.263157895,1.884276484,36,4.777777778,1.972831339,32,4.6875,2.669269563,34,3.617647059,2.296436051,28,4.964285714,2.348871169,30,4.566666667,1.612095089,31,5.096774194,2.285531867,46,5.02173913,2.389692034,36,5.583333333,2.247220505,36,2.777777778,2.355675349,33,6.818181818,2.142640682,56,4.571428571,1.847427133,69,4.637681159,2.100217177,82,4.914634146,2.206618661,68,5.161764706,2.477422193,70,3.185714286,2.348560195,61,5.967213115,2.408092005
arah,direction ,26,3.961538462,1.586966143,38,4.684210526,1.832223035,36,4.916666667,2.061552813,32,5.46875,2.313834619,34,5.823529412,1.97669127,28,4.964285714,2.235772182,30,6.366666667,1.473521078,31,4.290322581,2.163231354,46,6.804347826,1.771622799,36,5.611111111,2.220396075,36,5.722222222,2.646950926,33,6.424242424,2.179883928,56,5.25,1.937664949,69,4.507246377,1.982446412,82,5.975609756,2.113890625,68,5.544117647,2.248938878,70,5.771428571,2.329218495,61,5.754098361,2.30691524
arang,charcoal ,26,4.807692308,1.265519048,38,4.184210526,2.228261511,36,4.5,2.348251629,32,5.75,2.199706725,34,3.882352941,1.981195016,28,5.607142857,1.707050428,30,4.666666667,1.422318004,31,3.967741935,1.834554823,46,5.108695652,2.046441474,36,6.361111111,2.416050825,36,2.5,1.796822592,33,4.939393939,2.249158092,56,4.732142857,1.341519782,69,4.086956522,2.048953323,82,4.841463415,2.191281897,68,6.073529412,2.320037162,70,3.171428571,1.99979295,61,5.245901639,2.030235928
arif,"wise, clever",26,4.576923077,1.501281504,38,3.789473684,2.17053854,36,5.222222222,1.623243862,32,6.03125,2.007797301,34,4.735294118,1.958800244,28,5.142857143,1.778769565,30,6.966666667,1.751518225,31,3.903225806,2.256174324,46,6.152173913,1.873409148,36,6.416666667,2.442188714,36,6.583333333,2.309916511,33,5,2.680951324,56,5.857142857,2.02195739,69,3.84057971,2.193728953,82,5.743902439,1.817683885,68,6.235294118,2.240186873,70,5.685714286,2.325304139,61,5.06557377,2.293969285
aritmetika,arithmetic ,26,3.807692308,1.855138394,38,5.263157895,2.457027544,36,5.361111111,2.3071662,32,4.0625,2.19878999,34,6.470588235,2.31248645,28,3.678571429,2.126613922,30,5.266666667,1.998850244,31,4.64516129,2.106314112,46,5.326086957,2.201558517,36,4.444444444,2.130653078,36,5.972222222,2.634779591,33,4.666666667,1.994784867,56,4.589285714,2.051844277,69,4.985507246,2.310416016,82,5.341463415,2.234518824,68,4.264705882,2.155296475,70,6.214285714,2.47826995,61,4.213114754,2.098529279
arogan,arrogant ,26,4.615384615,1.940658096,38,5.421052632,2.237657788,36,4.916666667,2.143095225,32,4.5625,2.638884173,34,4.735294118,2.093407018,28,4.892857143,2.060911084,30,2.933333333,1.507071454,31,5.64516129,2.523864591,46,5.195652174,2.455104118,36,5.138888889,2.368275778,36,6.305555556,2.40023147,33,4.424242424,2.208369068,56,3.714285714,1.904199051,69,5.52173913,2.35527378,82,5.073170732,2.313569674,68,4.867647059,2.497188938,70,5.542857143,2.375513457,61,4.639344262,2.137231752
asam,"sour, acid",26,4.346153846,1.521638793,38,5.052631579,1.930514123,36,4.805555556,2.227355183,32,5.3125,2.494348451,34,3.911764706,2.27459816,28,4.714285714,2.307108867,30,3.8,1.606023146,31,4.709677419,1.865360526,46,5.456521739,2.277489083,36,7.027777778,1.764509015,36,4.222222222,2.619826724,33,6.393939394,1.919299904,56,4.053571429,1.577335415,69,4.898550725,1.89538858,82,5.170731707,2.265167685,68,6.220588235,2.291096252,70,4.071428571,2.445471583,61,5.62295082,2.252139238
asap,"smoke, fumes",26,4.307692308,1.59422033,38,4.868421053,2.055592933,36,4.944444444,1.819645875,32,5.09375,2.832522813,34,2.823529412,1.486720781,28,4.857142857,1.97604704,30,3.666666667,1.688364508,31,5.612903226,2.185976812,46,4.891304348,2.405810197,36,5.833333333,2.286606969,36,2.916666667,2.322252601,33,6.575757576,2.222474733,56,3.964285714,1.662028177,69,5.202898551,2.132243434,82,4.914634146,2.155677084,68,5.485294118,2.565515555,70,2.871428571,1.948030805,61,5.786885246,2.266530051
asing,"strange, foreign, remote, different",26,3.923076923,1.647375535,38,4.894736842,2.063707942,36,4.805555556,2.435680538,32,5.84375,1.868402371,34,4.441176471,1.972403187,28,5.535714286,2.333049869,30,4.566666667,1.715715058,31,5.258064516,2.265211424,46,4.760869565,2.25274926,36,6.25,2.182724379,36,5.222222222,2.630709965,33,6.363636364,2.219490113,56,4.267857143,1.700171878,69,5.057971014,2.148077512,82,4.780487805,2.320197896,68,6.058823529,2.036109496,70,4.842857143,2.350674983,61,5.983606557,2.291228224
asmara,romantic love,26,6.807692308,1.357032963,38,5.473684211,2.140179862,36,5,2.317634262,32,4.28125,2.43938616,34,4.647058824,1.872971273,28,4.785714286,1.595297322,30,7.3,1.368361719,31,5.774193548,2.231735908,46,5.869565217,2.445937181,36,6.833333333,1.521277659,36,6.111111111,2.264985371,33,6.424242424,1.871334802,56,7.071428571,1.373213125,69,5.608695652,2.17077779,82,5.487804878,2.415198289,68,5.632352941,2.368351097,70,5.4,2.196175859,61,5.672131148,1.921122168
astronot,astronaut,26,6,1.697056275,38,4.368421053,2.59334963,36,4.944444444,2.041630223,32,4.875,2.106058848,34,4.117647059,1.719138366,28,3.785714286,1.853068383,30,6.166666667,1.085431214,31,4.032258065,2.198239765,46,5.717391304,1.708320078,36,6.777777778,1.569551549,36,2.888888889,1.894017314,33,4.424242424,2.424230587,56,6.089285714,1.391882776,69,4.217391304,2.412404007,82,5.37804878,1.889805293,68,5.882352941,2.062670431,70,3.485714286,1.901508609,61,4.131147541,2.186895896
asyik,fun,26,6.230769231,1.58259767,38,6.131578947,1.98876646,36,5.222222222,2.015810523,32,6.3125,2.740820456,34,4.852941176,1.893087152,28,4.607142857,2.249926513,30,7.1,1.7878903,31,6.193548387,1.922140384,46,6.195652174,2.050686229,36,6.944444444,1.866156393,36,5.944444444,2.365761061,33,6.878787879,1.866774889,56,6.696428571,1.736450328,69,6.15942029,1.945002559,82,5.768292683,2.08047229,68,6.647058824,2.32292087,70,5.414285714,2.203375915,61,5.836065574,2.332240181
